wpm,accuracy,time,game_num,racers_num,points
68.33,0.95,2021-10-11T02:53:12Z,2952,5,37.58
78.04,0.98,2021-10-11T02:52:22Z,2951,5,67.63
68.86,0.95,2021-10-11T02:51:26Z,2950,5,56.23
73.28,0.97,2021-09-11T07:03:11Z,2949,5,65.95
66.08,0.93,2021-09-11T06:58:50Z,2948,5,60.58
77.12,0.97,2021-09-11T06:57:35Z,2947,5,61.7
84.88,0.98,2021-09-11T06:33:32Z,2946,5,60.83
72.76,0.96,2021-08-19T02:04:28Z,2945,5,53.35
78.17,0.98,2021-08-19T02:03:39Z,2944,4,37.78
66.9,0.96,2021-08-18T14:22:01Z,2943,4,44.6
81.67,0.97,2021-08-18T14:21:06Z,2942,5,95.29
83.08,0.96,2021-08-18T14:20:01Z,2941,5,41.54
79,0.96,2021-08-18T14:12:30Z,2940,5,59.25
88.03,0.98,2021-08-18T14:10:56Z,2939,5,90.97
94.54,0.98,2021-08-18T14:07:32Z,2938,5,78.78
93.14,0.97,2021-08-18T14:06:41Z,2937,4,72.96
65.4,0.94,2021-08-11T19:46:22Z,2936,5,50.14
88.08,0.97,2021-08-11T19:33:10Z,2935,5,49.91
64.13,0.95,2021-08-09T14:13:51Z,2934,5,64.13
89.71,0.98,2021-08-09T14:12:39Z,2933,4,107.65
83.54,0.97,2021-08-09T14:11:39Z,2932,5,65.44
71.83,0.95,2021-08-09T14:10:52Z,2931,5,63.45
92.74,0.98,2021-08-08T17:55:04Z,2930,5,88.1
88.41,0.97,2021-08-08T17:54:05Z,2929,5,60.41
69.4,0.94,2021-08-08T17:53:20Z,2928,5,32.39
83.7,0.97,2021-08-08T17:52:37Z,2927,5,51.61
95.12,0.97,2021-08-08T17:51:52Z,2926,5,90.36
82.79,0.98,2021-08-08T17:51:03Z,2925,5,45.53
80.42,0.96,2021-08-05T16:50:19Z,2924,5,53.61
76.92,0.97,2021-08-05T16:49:25Z,2923,4,73.07
74.76,0.96,2021-08-05T16:48:24Z,2922,4,99.69
79.26,0.94,2021-08-05T16:44:15Z,2921,5,63.41
70.4,0.97,2021-08-05T16:43:21Z,2920,5,44.59
75.43,0.96,2021-08-05T13:01:36Z,2919,5,79.2
82.86,0.97,2021-08-05T13:00:17Z,2918,4,88.38
86.71,0.97,2021-08-03T10:25:50Z,2917,5,79.48
84.73,0.98,2021-08-03T10:24:58Z,2916,5,60.72
96.69,0.98,2021-08-03T10:23:24Z,2915,4,96.69
74.13,0.97,2021-08-01T17:18:57Z,2914,5,71.65
79.27,0.96,2021-08-01T17:17:52Z,2913,5,60.77
81.84,0.96,2021-07-31T03:52:24Z,2912,5,100.93
74.76,0.96,2021-07-31T03:51:20Z,2911,5,47.35
83.02,0.97,2021-07-31T03:50:28Z,2910,5,70.57
91.02,0.98,2021-07-31T03:49:39Z,2909,5,66.75
94.68,0.97,2021-07-31T03:47:53Z,2908,5,89.95
85.78,0.96,2021-07-31T03:46:51Z,2907,5,70.05
78.8,0.95,2021-07-31T03:45:58Z,2906,5,102.44
83.65,0.97,2021-07-29T01:14:25Z,2905,5,111.54
80.41,0.97,2021-07-29T01:13:10Z,2904,3,91.13
89.29,0.97,2021-07-29T01:09:11Z,2903,5,119.06
85.99,0.97,2021-07-29T01:08:03Z,2902,5,81.69
88.12,0.97,2021-07-29T01:06:46Z,2901,5,79.31
68.53,0.94,2021-07-29T01:05:48Z,2900,5,74.24
76.34,0.97,2021-07-28T07:43:04Z,2899,5,75.07
71.82,0.95,2021-07-28T07:42:04Z,2898,4,44.29
84.29,0.97,2021-07-28T07:41:22Z,2897,5,71.64
79.47,0.97,2021-07-28T07:40:23Z,2896,5,132.44
73.72,0.97,2021-07-28T07:38:36Z,2895,5,44.23
72.97,0.95,2021-07-28T07:37:21Z,2894,5,62.03
70.44,0.94,2021-07-28T07:36:20Z,2893,5,56.35
84.4,0.97,2021-07-28T07:34:58Z,2892,5,54.86
77.59,0.96,2021-07-28T07:34:09Z,2891,5,46.55
81.84,0.97,2021-07-28T07:33:18Z,2890,5,65.47
82.61,0.96,2021-07-28T07:32:09Z,2889,5,119.79
81.38,0.97,2021-07-28T07:30:24Z,2888,5,55.61
61.52,0.97,2021-07-28T07:29:36Z,2887,5,60.49
87.61,0.97,2021-07-28T07:28:18Z,2886,5,51.11
80.43,0.97,2021-07-28T04:02:34Z,2885,4,117.96
77.86,0.96,2021-07-28T04:01:01Z,2884,5,66.18
116.72,1,2021-07-26T23:29:05Z,2883,5,73.92
91.12,0.97,2021-07-26T23:28:26Z,2882,5,174.65
82.14,0.96,2021-07-26T23:27:03Z,2881,5,101.3
82.15,0.98,2021-07-26T23:25:41Z,2880,5,68.46
74.21,0.96,2021-07-26T23:24:45Z,2879,5,58.13
89.38,0.98,2021-07-26T23:23:44Z,2878,5,114.7
68.34,0.96,2021-07-26T23:22:38Z,2877,5,52.4
65.87,0.96,2021-07-26T23:21:50Z,2876,4,109.78
94.28,0.98,2021-07-26T23:19:56Z,2875,5,91.14
82.68,0.97,2021-07-24T23:52:33Z,2874,5,99.22
75.98,0.96,2021-07-24T23:51:11Z,2873,4,58.25
87.62,0.97,2021-07-24T23:50:24Z,2872,5,172.32
79.28,0.96,2021-07-24T23:48:47Z,2871,4,96.46
83.3,0.97,2021-07-24T23:47:39Z,2870,5,52.75
73.24,0.95,2021-07-24T23:46:54Z,2869,3,63.47
85.04,0.96,2021-07-24T23:45:36Z,2868,4,167.24
92.66,0.98,2021-07-24T23:43:59Z,2867,5,81.85
73.72,0.95,2021-07-24T23:43:14Z,2866,5,44.23
96.02,0.98,2021-07-24T23:42:25Z,2865,5,121.62
78.78,0.97,2021-07-24T23:41:23Z,2864,4,49.9
68.89,0.95,2021-07-22T14:02:04Z,2863,5,70.04
69.8,0.95,2021-07-22T14:00:50Z,2862,5,43.05
82.99,0.97,2021-07-22T14:00:03Z,2861,4,82.99
66.09,0.97,2021-07-16T05:59:55Z,2860,5,42.96
72.15,0.96,2021-07-14T06:59:29Z,2859,5,66.14
84.68,0.98,2021-07-14T06:58:21Z,2858,4,77.63
77.99,0.98,2021-07-14T06:57:21Z,2857,5,44.19
81.43,0.96,2021-07-11T23:44:09Z,2856,5,130.28
72.83,0.95,2021-07-11T23:42:43Z,2855,5,50.98
72.5,0.96,2021-07-11T23:41:49Z,2854,5,54.37
81.15,0.96,2021-07-11T23:40:52Z,2853,5,78.45
82.85,0.97,2021-07-03T19:19:52Z,2852,5,63.52
73.24,0.95,2021-07-03T19:19:08Z,2851,4,75.68
73.05,0.94,2021-07-03T19:18:04Z,2850,4,35.31
91.13,0.98,2021-07-03T19:17:09Z,2849,4,65.31
88.65,0.97,2021-07-03T15:37:58Z,2848,5,85.7
87.18,0.98,2021-07-03T15:37:05Z,2847,5,75.55
81.58,0.97,2021-06-29T18:22:16Z,2846,5,58.46
72.97,0.96,2021-06-29T18:21:27Z,2845,5,40.13
88.78,0.97,2021-06-29T18:20:40Z,2844,5,44.39
89.29,0.99,2021-06-29T18:20:02Z,2843,5,50.6
94.31,0.99,2021-06-29T18:19:29Z,2842,5,105.31
73.19,0.96,2021-06-28T06:01:39Z,2841,5,98.81
84.59,0.97,2021-06-28T06:00:08Z,2840,5,136.76
84.17,0.97,2021-06-28T05:58:34Z,2839,4,68.74
80.23,0.95,2021-06-27T05:12:38Z,2838,5,110.98
94.28,0.99,2021-06-27T05:11:14Z,2837,4,62.85
81.01,0.96,2021-06-27T05:10:34Z,2836,5,82.36
83.74,0.96,2021-06-27T05:09:35Z,2835,5,86.53
90.88,0.98,2021-06-27T05:08:30Z,2834,5,87.85
70.83,0.96,2021-06-27T05:07:40Z,2833,4,40.13
74.76,0.96,2021-06-27T05:06:55Z,2832,5,53.58
80.57,0.96,2021-06-27T05:06:05Z,2831,5,68.48
61.55,0.95,2021-06-17T01:14:58Z,2830,5,31.8
72.02,0.96,2021-06-17T01:12:26Z,2829,4,34.81
90.01,0.98,2021-06-17T01:11:45Z,2828,5,63.01
69.06,0.94,2021-06-15T16:55:21Z,2827,5,27.62
80.63,0.98,2021-06-13T21:49:05Z,2826,5,38.97
74.47,0.97,2021-06-13T21:48:01Z,2825,5,68.27
72.06,0.97,2021-06-13T21:47:04Z,2824,4,75.66
86.1,0.98,2021-06-13T18:15:12Z,2823,5,63.14
81.19,0.96,2021-06-13T18:14:26Z,2822,5,60.9
89.61,0.97,2021-06-13T18:13:32Z,2821,5,82.14
62.14,0.95,2021-06-07T11:02:29Z,2820,5,22.79
72.9,0.95,2021-06-07T11:01:47Z,2819,4,48.6
83.59,0.96,2021-06-07T11:00:58Z,2818,5,76.62
83.26,0.95,2021-06-07T11:00:00Z,2817,5,87.42
85.12,0.97,2021-06-07T10:58:49Z,2816,4,100.73
88.22,0.97,2021-06-07T10:57:44Z,2815,5,73.52
79.19,0.96,2021-06-07T10:57:00Z,2814,5,62.03
80.29,0.95,2021-06-07T10:55:52Z,2813,4,44.16
71.2,0.93,2021-06-07T10:55:09Z,2812,5,43.9
94.11,0.97,2021-06-01T22:27:12Z,2811,4,86.26
80.58,0.97,2021-06-01T22:26:32Z,2810,4,60.43
62.29,0.94,2021-06-01T22:25:46Z,2809,5,47.75
87.12,0.98,2021-06-01T22:24:48Z,2808,5,76.96
94.83,0.99,2021-06-01T10:33:35Z,2807,5,80.6
93.2,0.98,2021-06-01T10:32:46Z,2806,5,94.76
88.49,0.98,2021-06-01T07:52:42Z,2805,5,75.22
90.56,0.97,2021-06-01T07:51:51Z,2804,5,69.43
75.19,0.96,2021-06-01T07:50:34Z,2803,5,45.11
75.07,0.96,2021-06-01T07:49:16Z,2802,4,98.85
71.88,0.95,2021-06-01T07:47:30Z,2801,4,41.93
89.61,0.97,2021-06-01T07:46:41Z,2800,2,135.91
85.07,0.97,2021-06-01T07:45:26Z,2799,5,121.93
74.35,0.96,2021-06-01T07:44:02Z,2798,5,47.09
71.22,0.94,2021-05-31T21:53:28Z,2797,5,41.55
76.7,0.95,2021-05-31T21:52:40Z,2796,5,51.13
74.72,0.95,2021-05-31T21:51:52Z,2795,5,59.78
74.19,0.96,2021-05-31T21:50:53Z,2794,5,54.4
90.96,0.96,2021-05-31T21:50:02Z,2793,5,47
82.92,0.96,2021-05-31T21:49:28Z,2792,4,64.96
82.42,0.97,2021-05-18T16:02:36Z,2791,4,68.69
78.66,0.96,2021-05-18T16:01:42Z,2790,5,56.38
81.34,0.97,2021-05-18T16:00:52Z,2789,5,70.49
75.9,0.96,2021-05-18T15:59:53Z,2788,5,101.2
67.19,0.95,2021-05-18T15:58:34Z,2787,5,39.19
67.73,0.95,2021-05-18T15:57:42Z,2786,5,33.87
73.77,0.96,2021-05-18T15:56:59Z,2785,5,44.26
77.88,0.97,2021-05-18T15:56:14Z,2784,5,44.13
61.45,0.95,2021-05-18T15:55:32Z,2783,5,37.9
71.65,0.96,2021-05-05T21:39:10Z,2782,5,33.43
72.3,0.96,2021-05-05T21:38:27Z,2781,5,47
82.57,0.98,2021-04-28T09:20:51Z,2780,5,49.54
75.18,0.97,2021-04-28T09:20:09Z,2779,5,46.36
