wpm,accuracy,time,game_num,racers_num,points
90.67,0.97,2021-11-21T15:42:38Z,2839,4,86.14
90.26,0.98,2021-10-31T13:59:30Z,2838,5,54.15
90.97,0.98,2021-10-31T13:55:46Z,2837,5,16.68
91.22,0.98,2021-10-31T13:53:43Z,2836,5,63.86
90.29,0.99,2021-10-31T13:52:51Z,2835,5,106.85
88.27,0.98,2021-10-31T13:51:04Z,2834,5,57.38
95.45,0.99,2021-10-31T13:46:57Z,2833,5,42.95
87.19,0.98,2021-10-17T11:36:11Z,2832,5,56.67
92.65,0.98,2021-10-17T11:34:06Z,2831,5,98.82
91.06,0.96,2021-10-17T11:33:02Z,2830,5,53.12
88.9,0.98,2021-10-17T11:32:17Z,2829,5,57.78
89.18,0.97,2021-10-07T20:54:03Z,2828,5,44.59
83.33,0.98,2021-10-07T20:53:28Z,2827,5,45.83
87.73,0.98,2021-09-27T10:17:05Z,2826,5,64.34
79.15,0.97,2021-09-27T10:16:06Z,2825,5,51.45
80.03,0.98,2021-09-24T14:16:36Z,2824,5,98.7
76.14,0.98,2021-09-24T14:15:11Z,2823,5,49.49
80.29,0.99,2021-09-24T14:14:23Z,2822,5,60.22
81.25,0.98,2021-09-24T14:12:38Z,2821,5,63.65
82.03,0.97,2021-09-24T13:49:51Z,2820,5,69.72
88.99,0.98,2021-09-24T13:48:40Z,2819,5,143.87
88.9,0.99,2021-09-24T11:37:38Z,2818,5,60.75
85.94,0.98,2021-09-23T15:54:36Z,2817,5,88.81
90.26,0.99,2021-09-23T15:52:31Z,2816,5,78.23
82.4,0.99,2021-09-23T15:51:45Z,2815,5,59.05
83.61,0.97,2021-09-23T15:50:47Z,2814,5,43.2
82.55,0.99,2021-09-23T15:50:08Z,2813,5,44.03
96.27,0.99,2021-09-23T12:04:14Z,2812,5,67.39
82.86,0.98,2021-09-23T12:03:21Z,2811,5,70.43
80.49,0.98,2021-09-23T12:02:22Z,2810,5,68.42
91.89,0.99,2021-09-23T12:00:25Z,2809,5,47.48
87.1,0.97,2021-09-22T19:10:14Z,2808,5,79.84
95.91,0.99,2021-09-22T19:09:13Z,2807,5,65.54
81.18,0.97,2021-09-22T19:08:29Z,2806,5,75.77
85.56,0.97,2021-09-22T19:06:32Z,2805,5,79.85
94.09,0.98,2021-09-22T19:05:31Z,2804,4,67.43
94.51,0.99,2021-09-22T19:04:41Z,2803,5,85.06
82.43,0.98,2021-09-22T19:03:44Z,2802,5,50.83
