wpm,accuracy,time,game_num,racers_num,points
107.39,0.98,2021-10-12T19:25:23Z,2615,5,82.34
101.08,0.97,2021-10-12T19:24:38Z,2614,3,40.43
103.03,0.96,2021-10-12T19:23:40Z,2613,5,109.9
111.31,0.98,2021-10-12T19:22:45Z,2612,5,81.62
104.26,0.96,2021-10-12T19:22:00Z,2611,5,59.08
101.07,0.96,2021-10-12T19:21:27Z,2610,4,42.11
116.17,0.99,2021-10-12T19:16:52Z,2609,5,156.83
113.83,0.99,2021-10-12T19:15:13Z,2608,5,136.59
107.36,0.98,2021-10-12T19:12:43Z,2607,5,94.83
106.66,0.97,2021-10-12T19:11:58Z,2606,4,207.98
98.67,0.96,2021-10-10T19:19:06Z,2605,5,116.76
96.32,0.97,2021-10-10T19:18:12Z,2604,5,56.19
98.13,0.97,2021-10-10T19:17:20Z,2603,2,130.85
104.19,0.97,2021-10-10T19:15:07Z,2602,2,78.14
96.31,0.97,2021-10-10T19:13:37Z,2601,2,81.86
105.07,0.98,2021-10-08T20:26:34Z,2600,4,120.83
107.82,0.97,2021-10-08T20:25:36Z,2599,5,55.71
103.12,0.96,2021-10-08T20:25:05Z,2598,5,82.49
123.02,0.99,2021-10-08T20:20:34Z,2597,5,55.36
111,0.97,2021-10-08T20:20:05Z,2596,5,75.85
107.45,0.98,2021-10-08T20:19:14Z,2595,5,77.01
116.44,0.96,2021-10-08T20:18:25Z,2594,5,60.16
102.17,0.97,2021-10-08T20:17:35Z,2593,5,131.12
110.03,0.97,2021-10-08T20:16:20Z,2592,4,128.36
108.35,0.98,2021-10-08T20:15:27Z,2591,5,83.07
120.38,0.98,2021-10-08T20:14:05Z,2590,5,90.29
107.72,0.98,2021-10-08T20:13:31Z,2589,5,86.17
100.57,0.96,2021-10-08T20:12:46Z,2588,5,117.33
104.21,0.96,2021-10-08T20:11:03Z,2587,3,107.68
111.58,0.98,2021-07-24T15:41:04Z,2586,3,107.86
120.16,0.99,2021-07-24T15:39:52Z,2585,5,68.09
110.56,0.98,2021-07-24T15:38:19Z,2584,5,127.14
106.15,0.96,2021-07-24T15:37:22Z,2583,5,86.69
108.56,0.97,2021-07-24T15:36:43Z,2582,4,92.27
109.54,0.98,2021-07-24T15:36:07Z,2581,5,91.29
114.18,0.97,2021-07-24T15:35:23Z,2580,5,152.24
110.59,0.97,2021-07-24T15:34:26Z,2579,5,82.94
107.02,0.97,2021-07-24T15:33:25Z,2578,4,319.28
115.17,0.98,2021-07-24T15:31:31Z,2577,5,88.29
110.9,0.99,2021-07-24T15:30:52Z,2576,5,75.78
110.34,0.98,2021-07-20T03:41:56Z,2575,5,108.5
114.46,0.98,2021-07-15T02:22:38Z,2574,5,185.04
117.38,0.98,2021-07-15T02:18:27Z,2573,4,107.59
105.52,0.98,2021-04-03T18:44:58Z,2572,5,52.76
105.94,0.98,2021-04-03T18:44:20Z,2571,5,79.46
99.87,0.96,2021-02-04T20:57:36Z,2570,5,129.83
102.69,0.97,2021-02-04T20:55:50Z,2569,5,80.44
107.27,0.98,2020-11-29T20:18:25Z,2568,5,146.6
105.82,0.98,2020-11-29T20:16:34Z,2567,5,107.58
104.12,0.97,2020-11-29T20:14:25Z,2566,5,62.47
110.02,0.98,2020-11-08T07:45:05Z,2565,5,99.02
109.63,0.97,2020-11-08T07:44:09Z,2564,4,74.91
111.24,0.97,2020-11-08T07:42:53Z,2563,4,76.01
109.36,0.97,2020-11-08T07:40:53Z,2562,5,58.32
105.18,0.98,2020-11-08T07:39:36Z,2561,4,82.39
106.43,0.98,2020-11-08T07:38:57Z,2560,5,99.33
105.55,0.98,2020-11-08T07:38:10Z,2559,4,65.09
103.94,0.97,2020-11-08T07:37:23Z,2558,3,131.66
108.99,0.99,2020-11-08T07:36:25Z,2557,5,79.93
115.55,0.98,2020-10-29T20:53:27Z,2556,5,69.33
109.3,0.99,2020-10-29T20:52:48Z,2555,5,98.37
118.33,0.99,2020-10-29T20:51:35Z,2554,3,140.03
99.55,0.97,2020-10-29T20:50:41Z,2553,5,71.35
110.2,0.99,2020-10-29T20:49:50Z,2552,4,108.37
115.52,0.99,2020-10-29T20:47:51Z,2551,5,80.87
112.31,0.98,2020-10-29T20:47:12Z,2550,3,112.31
104.24,0.99,2020-10-29T20:46:20Z,2549,5,57.33
103.42,0.96,2020-10-29T20:45:48Z,2548,4,120.66
109.63,0.99,2020-10-29T20:44:54Z,2547,5,98.67
108.81,0.97,2020-10-29T20:42:25Z,2546,5,87.04
107.34,0.97,2020-10-02T00:59:01Z,2545,4,132.39
107.02,0.97,2020-08-03T14:52:18Z,2544,5,80.26
110.23,0.98,2020-07-27T18:59:18Z,2543,5,106.56
107.72,0.97,2020-07-27T18:57:46Z,2542,4,93.36
124.17,0.98,2020-07-27T18:56:59Z,2541,2,97.26
111.5,0.97,2020-07-27T18:55:08Z,2540,5,105.93
