wpm,accuracy,time,game_num,racers_num,points
67.95,0.98,2021-11-13T15:34:38Z,2633,5,54.36
65.72,0.96,2021-11-13T15:32:57Z,2632,4,74.49
71.49,0.98,2021-11-13T15:31:19Z,2631,4,41.7
69.27,0.98,2021-11-13T15:30:09Z,2630,5,34.64
70.69,0.98,2021-11-13T15:28:50Z,2629,5,76.58
66.17,0.98,2021-11-13T15:27:31Z,2628,5,103.66
71.86,0.98,2021-11-13T15:25:10Z,2627,5,44.31
59.67,0.96,2021-11-13T15:24:17Z,2626,5,28.84
70.1,0.98,2021-11-13T15:23:19Z,2625,5,72.44
56.36,0.98,2021-11-13T15:22:18Z,2624,5,22.54
62.95,0.98,2021-05-25T06:12:03Z,2623,5,53.51
58.77,0.98,2021-05-25T06:02:50Z,2622,5,40.16
61.95,0.98,2021-05-25T05:47:26Z,2621,5,57.82
47.03,0.98,2021-05-25T05:45:41Z,2620,5,43.11
61.67,0.98,2021-05-23T16:04:14Z,2619,4,76.06
68.74,0.98,2021-05-23T16:02:30Z,2618,5,80.19
68.3,0.98,2021-05-22T06:08:17Z,2617,5,77.41
59.77,0.98,2021-05-19T18:14:01Z,2616,4,80.69
63.87,0.97,2021-05-19T06:26:03Z,2615,5,75.57
66.78,0.99,2021-05-19T06:01:08Z,2614,5,74.58
58.59,0.98,2021-05-18T18:02:25Z,2613,5,45.89
57.61,0.97,2021-05-18T17:59:50Z,2612,4,53.77
56.78,0.98,2021-05-18T17:55:48Z,2611,5,53.94
55.01,0.97,2021-05-17T04:47:59Z,2610,4,44.01
62.91,0.99,2021-05-17T04:42:47Z,2609,5,48.23
66.15,0.98,2021-05-17T04:41:11Z,2608,4,69.46
59.22,0.97,2021-05-17T04:38:59Z,2607,5,67.12
61.66,0.97,2020-09-17T10:31:21Z,2606,5,46.25
60.94,0.98,2020-07-15T05:25:14Z,2605,5,47.74
64.14,0.98,2020-07-15T05:24:05Z,2604,5,63.07
56.16,0.94,2020-07-15T05:20:30Z,2603,5,26.21
54.72,0.96,2020-07-15T05:19:34Z,2602,3,50.16
62.44,0.98,2020-07-15T05:17:50Z,2601,4,98.86
