wpm,accuracy,time,game_num,racers_num,points
39.61,0.93,2019-08-26T03:44:34Z,2884,5,23.1
45.48,0.95,2019-08-26T03:43:10Z,2883,5,49.27
44.56,0.96,2019-08-26T03:41:30Z,2882,5,27.48
41.54,0.95,2019-08-26T03:40:11Z,2881,5,40.16
45.88,0.96,2019-08-26T03:38:33Z,2880,5,19.88
42.23,0.96,2019-08-26T03:37:36Z,2879,5,35.19
45.71,0.95,2019-08-26T03:36:03Z,2878,2,23.62
33.73,0.96,2019-08-26T03:35:05Z,2877,5,23.05
44.26,0.93,2019-08-26T03:33:33Z,2876,5,30.98
34.61,0.92,2019-08-26T03:32:28Z,2875,4,24.8
46.14,0.95,2019-08-26T03:31:01Z,2874,5,63.06
36.29,0.95,2019-08-26T03:28:27Z,2873,5,26.01
45.66,0.96,2019-08-25T16:24:40Z,2872,3,53.27
43.69,0.96,2019-08-25T16:22:42Z,2871,3,29.13
47.44,0.96,2019-08-25T16:21:28Z,2870,5,25.3
37.99,0.95,2019-08-25T16:20:35Z,2869,5,14.56
53.48,0.99,2019-08-25T16:19:41Z,2868,5,30.3
47.57,0.97,2019-08-25T16:18:46Z,2867,5,33.3
41.7,0.96,2019-08-25T16:17:25Z,2866,5,38.92
54.38,0.98,2019-08-23T05:24:44Z,2865,5,39.88
44.55,0.96,2019-08-23T05:23:21Z,2864,4,59.4
50.02,0.96,2019-08-23T05:21:06Z,2863,3,32.51
39.09,0.94,2019-08-23T05:20:16Z,2862,4,26.71
34.51,0.95,2019-08-23T05:18:35Z,2861,5,24.16
48.15,0.96,2019-08-22T11:16:44Z,2860,4,48.15
54.76,0.98,2019-08-22T11:15:18Z,2859,5,27.38
50.53,0.96,2019-08-22T11:13:28Z,2858,5,59.8
54.67,0.96,2019-08-22T11:11:47Z,2857,5,43.74
50.41,0.96,2019-08-22T11:10:32Z,2856,5,42.01
38.35,0.95,2019-08-22T11:07:01Z,2855,5,13.42
50.06,0.97,2019-08-22T11:05:58Z,2854,5,43.38
49.1,0.95,2019-08-22T11:04:30Z,2853,5,39.28
47.56,0.96,2019-08-22T11:03:14Z,2852,5,40.42
38.01,0.95,2019-08-22T11:01:58Z,2851,4,38.01
50.73,0.96,2019-08-22T10:49:46Z,2850,5,38.89
43.46,0.95,2019-08-22T10:48:38Z,2849,5,21
50.76,0.98,2019-08-22T10:47:40Z,2848,5,38.92
38.35,0.95,2019-08-22T10:46:31Z,2847,5,22.37
48.45,0.96,2019-08-22T10:45:27Z,2846,5,12.11
37.72,0.95,2019-08-22T10:42:35Z,2845,5,27.66
46.49,0.96,2019-08-22T10:41:00Z,2844,5,28.67
47.46,0.97,2019-08-22T10:39:50Z,2843,5,34.81
43.75,0.95,2019-08-22T10:38:38Z,2842,5,18.23
47.71,0.98,2019-08-22T10:37:49Z,2841,5,15.9
37.89,0.94,2019-08-21T12:38:30Z,2840,4,29.68
34.75,0.93,2019-08-21T12:37:01Z,2839,5,22.01
38.09,0.95,2019-08-21T12:35:29Z,2838,5,34.91
43.21,0.95,2019-08-20T11:24:18Z,2837,4,36.73
44.63,0.95,2019-08-20T11:22:37Z,2836,5,27.52
47.92,0.97,2019-08-20T11:21:33Z,2835,4,23.16
47.77,0.96,2019-08-20T11:20:41Z,2834,3,44.59
42.4,0.95,2019-08-20T11:19:03Z,2833,3,40.28
43.59,0.96,2019-08-20T11:17:14Z,2832,5,53.76
46.62,0.96,2019-08-20T11:15:20Z,2831,4,35.74
40.86,0.96,2019-08-20T11:13:55Z,2830,5,20.43
48.41,0.95,2019-08-20T07:54:48Z,2829,5,49.21
53.96,0.95,2019-08-20T07:51:34Z,2828,5,89.93
54.91,0.96,2019-08-20T07:49:26Z,2827,5,23.8
51.69,0.94,2019-08-20T07:48:43Z,2826,3,30.15
54.46,0.96,2019-08-20T07:47:25Z,2825,5,54.46
43.07,0.97,2019-08-20T06:37:34Z,2824,5,20.1
52.17,0.95,2019-08-20T06:36:43Z,2823,5,28.69
60.53,0.98,2019-08-20T06:35:56Z,2822,5,19.17
46.27,0.97,2019-08-20T06:35:21Z,2821,5,54.75
47.73,0.96,2019-08-20T06:33:39Z,2820,2,25.45
56.22,0.97,2019-08-20T06:30:50Z,2819,5,27.17
49.15,0.96,2019-08-20T06:29:46Z,2818,5,34.4
32.92,0.95,2019-08-20T06:28:14Z,2817,5,17.01
52.01,0.96,2019-08-20T04:21:19Z,2816,5,26.87
48.56,0.96,2019-08-20T04:20:32Z,2815,5,46.13
46.16,0.95,2019-08-20T04:19:08Z,2814,5,24.62
43.08,0.97,2019-08-20T04:17:08Z,2813,5,36.61
44.44,0.96,2019-08-20T04:15:42Z,2812,5,22.96
35.84,0.93,2019-08-20T04:12:36Z,2811,4,26.29
39.9,0.93,2019-08-20T04:11:10Z,2810,5,14.63
43.23,0.95,2019-08-20T03:51:05Z,2809,5,39.62
47.07,0.97,2019-08-20T03:49:38Z,2808,5,18.04
50.31,0.97,2019-08-20T03:48:54Z,2807,3,35.22
42.46,0.96,2019-08-20T03:47:42Z,2806,4,18.4
43.78,0.96,2019-08-20T03:46:48Z,2805,5,53.99
44.31,0.93,2019-08-20T03:44:53Z,2804,4,12.56
50.04,0.95,2019-08-20T03:44:13Z,2803,5,22.52
38.29,0.98,2019-08-20T03:43:26Z,2802,4,11.49
50.86,0.96,2019-08-20T03:42:47Z,2801,5,36.45
44.38,0.96,2019-08-20T03:41:45Z,2800,5,26.63
45.47,0.96,2019-08-20T03:35:45Z,2799,5,35.62
46.24,0.97,2019-08-20T03:34:26Z,2798,5,56.26
53.4,0.97,2019-08-20T03:32:23Z,2797,5,19.58
48.96,0.97,2019-08-20T03:29:22Z,2796,5,55.49
41.41,0.95,2019-08-20T03:27:41Z,2795,5,12.42
40.28,0.94,2019-08-19T06:19:19Z,2794,4,32.89
52.19,0.98,2019-08-19T06:17:46Z,2793,4,21.75
46.98,0.97,2019-08-19T06:17:03Z,2792,5,68.91
43.97,0.96,2019-08-19T06:15:02Z,2791,4,39.58
45.84,0.96,2019-08-19T06:13:33Z,2790,4,55.77
54.93,0.98,2019-08-19T06:11:44Z,2789,3,20.14
49.06,0.98,2019-08-19T06:11:00Z,2788,5,31.89
45.34,0.95,2019-08-19T06:05:39Z,2787,5,20.41
36.11,0.92,2019-08-19T06:04:41Z,2786,4,28.29
39.66,0.95,2019-08-19T05:53:33Z,2785,3,23.79
45.47,0.96,2019-08-19T04:01:44Z,2784,5,26.53
42.62,0.94,2019-08-19T04:00:47Z,2783,5,30.54
40.96,0.94,2019-08-19T03:59:20Z,2782,5,25.26
39.85,0.96,2019-08-19T03:57:55Z,2781,5,24.57
47.95,0.95,2019-08-19T03:56:39Z,2780,5,49.55
34.02,0.95,2019-08-19T03:54:57Z,2779,5,44.8
37.16,0.94,2019-08-18T12:57:50Z,2778,5,17.34
49.99,0.96,2019-08-18T12:56:38Z,2777,4,37.5
42.86,0.94,2019-08-18T12:55:25Z,2776,4,27.14
30.5,0.93,2019-08-18T12:54:16Z,2775,4,14.23
52.97,0.97,2019-08-18T12:53:06Z,2774,5,25.6
49.4,0.97,2019-08-18T12:52:18Z,2773,5,40.35
44.33,0.96,2019-08-18T12:50:59Z,2772,5,42.85
46.91,0.96,2019-08-18T12:48:08Z,2771,5,33.62
48.89,0.95,2019-08-18T12:46:54Z,2770,3,21.18
48.65,0.95,2019-08-18T12:46:07Z,2769,5,14.59
49.07,0.95,2019-08-18T12:45:30Z,2768,5,14.72
53.46,0.97,2019-08-18T12:44:55Z,2767,4,31.19
42.95,0.94,2019-08-18T12:44:03Z,2766,5,23.62
34.41,0.94,2019-08-18T12:43:03Z,2765,5,13.76
39.92,0.94,2019-08-18T12:05:43Z,2764,5,25.29
44.3,0.96,2019-08-18T12:04:35Z,2763,2,47.25
49.48,0.96,2019-08-18T12:02:37Z,2762,5,40.41
45.99,0.98,2019-08-18T12:01:24Z,2761,5,20.7
46.6,0.97,2019-08-18T12:00:25Z,2760,5,36.5
53.19,0.97,2019-08-18T11:59:17Z,2759,4,32.8
43.06,0.96,2019-08-18T11:58:26Z,2758,4,38.76
54.69,0.98,2019-08-18T11:57:03Z,2757,2,39.19
49.52,0.96,2019-08-18T11:56:06Z,2756,5,47.87
45.75,0.97,2019-08-18T11:54:43Z,2755,5,37.36
40.45,0.96,2019-08-18T11:53:29Z,2754,2,45.84
43.29,0.96,2019-08-18T11:51:19Z,2753,4,50.5
45.22,0.97,2019-08-18T11:49:14Z,2752,5,45.97
51.74,0.96,2019-08-18T11:47:25Z,2751,3,25.87
41.5,0.96,2019-08-18T11:46:29Z,2750,5,25.59
55.12,0.98,2019-08-18T11:45:22Z,2749,3,39.5
45.98,0.98,2019-08-18T11:44:20Z,2748,4,19.92
39.95,0.95,2019-08-18T11:43:36Z,2747,5,36.62
55.56,0.99,2019-08-18T11:42:00Z,2746,5,28.71
56.77,0.99,2019-08-18T11:41:06Z,2745,5,37.85
49,0.97,2019-08-18T11:40:08Z,2744,5,28.58
41.5,0.96,2019-08-18T11:39:02Z,2743,3,38.73
38.3,0.94,2019-08-18T11:36:54Z,2742,5,26.17
49.17,0.96,2019-08-18T11:32:29Z,2741,5,32.78
48.36,0.98,2019-08-18T11:31:33Z,2740,3,32.24
55.71,0.97,2019-08-18T11:30:30Z,2739,5,30.64
44.3,0.96,2019-08-18T11:28:23Z,2738,5,17.72
50.91,0.97,2019-08-18T11:27:21Z,2737,5,36.49
37.47,0.94,2019-08-18T11:26:02Z,2736,5,25.61
56.45,0.98,2019-08-18T11:24:46Z,2735,3,36.69
52.06,0.97,2019-08-18T11:23:54Z,2734,5,31.23
40.7,0.96,2019-08-18T11:22:57Z,2733,5,31.89
43.51,0.94,2019-08-18T10:49:44Z,2732,3,24.65
45.3,0.95,2019-08-18T10:48:36Z,2731,5,17.36
33.36,0.95,2019-08-18T10:47:31Z,2730,5,20.57
50.98,0.97,2019-08-18T10:46:03Z,2729,5,46.73
42.95,0.97,2019-08-18T10:44:37Z,2728,4,10.74
50.72,0.98,2019-08-18T07:52:16Z,2727,5,25.36
40.99,0.96,2019-08-18T07:50:37Z,2726,4,40.99
43.25,0.95,2019-08-18T07:48:48Z,2725,5,39.65
52.09,0.98,2019-08-18T07:44:45Z,2724,5,30.39
44.58,0.96,2019-08-18T07:43:56Z,2723,5,31.95
34.35,0.95,2019-08-18T07:42:42Z,2722,5,18.32
49.87,0.95,2019-08-18T07:40:51Z,2721,4,41.56
40.41,0.95,2019-08-18T07:39:33Z,2720,4,28.29
55.42,0.96,2019-08-18T07:38:06Z,2719,5,25.86
46.94,0.95,2019-08-18T07:37:16Z,2718,4,15.65
40.36,0.95,2019-08-18T07:36:26Z,2717,5,37.67
47.08,0.95,2019-08-18T07:34:23Z,2716,3,33.74
47.36,0.96,2019-08-18T07:32:51Z,2715,5,48.94
50.49,0.97,2019-08-18T07:31:08Z,2714,5,25.24
44.09,0.96,2019-08-14T18:43:59Z,2713,5,22.05
43.87,0.96,2019-08-14T18:42:13Z,2712,5,16.82
52.94,0.98,2019-08-14T18:41:22Z,2711,5,19.41
51.77,0.98,2019-08-14T18:40:41Z,2710,5,32.79
44.12,0.95,2019-08-14T18:38:52Z,2709,5,38.24
35.58,0.94,2019-08-14T18:37:15Z,2708,5,43.29
47.13,0.98,2019-08-14T18:35:03Z,2707,4,21.21
46.49,0.96,2019-08-14T18:31:49Z,2706,5,44.16
43.01,0.96,2019-08-14T18:30:06Z,2705,5,54.48
47.26,0.96,2019-08-14T18:27:50Z,2704,5,33.87
46.12,0.97,2019-08-14T18:26:39Z,2703,5,30.74
35.65,0.95,2019-08-14T18:25:24Z,2702,5,13.67
46.99,0.96,2019-08-14T18:24:18Z,2701,5,50.9
40.6,0.96,2019-08-14T18:21:43Z,2700,5,32.48
53.11,0.97,2019-08-14T03:52:20Z,2699,5,61.08
52.69,0.97,2019-08-14T03:50:51Z,2698,4,26.34
