accuracy,racers_num,wpm,time,game_num,points
0.98,5,85.8,2021-11-14T16:52:06Z,2748,57.2
1,4,103.48,2021-11-14T16:51:21Z,2747,91.41
0.99,5,91.15,2021-11-14T16:50:31Z,2746,82.03
0.99,5,82.83,2021-11-13T05:52:07Z,2745,74.54
1,5,97.91,2021-11-13T05:50:18Z,2744,76.7
0.99,5,91.56,2021-11-13T05:49:33Z,2743,73.25
1,5,87.71,2021-11-12T14:42:26Z,2742,125.72
0.98,5,90.13,2021-11-11T23:05:40Z,2741,160.73
0.98,5,85.21,2021-11-09T22:17:25Z,2740,56.81
0.99,5,91.76,2021-11-09T22:15:24Z,2739,142.22
1,5,103.23,2021-11-09T22:14:09Z,2738,61.94
0.97,5,87.49,2021-11-09T22:13:36Z,2737,55.41
1,4,90.24,2021-11-09T22:12:26Z,2736,61.66
1,5,95.64,2021-11-09T22:11:39Z,2735,78.11
0.99,5,88.95,2021-11-09T22:10:07Z,2734,56.34
0.99,5,87.93,2021-11-09T22:09:26Z,2733,102.58
1,5,93.6,2021-11-09T22:04:36Z,2732,53.04
0.98,5,85.96,2021-11-01T17:40:03Z,2731,61.61
0.98,5,87.58,2021-10-25T18:55:07Z,2730,74.44
0.98,5,71.47,2021-10-25T18:47:00Z,2729,101.26
1,5,100.42,2021-10-25T18:45:14Z,2728,80.34
0.99,4,93.98,2021-10-25T18:44:30Z,2727,62.65
0.99,5,83.24,2021-10-25T18:43:47Z,2726,98.5
1,5,95.49,2021-10-22T21:35:23Z,2725,79.58
0.99,5,88.06,2021-10-22T21:34:09Z,2724,74.85
0.97,5,80.08,2021-10-21T15:09:06Z,2723,49.39
0.99,5,98.06,2021-10-21T15:08:22Z,2722,89.89
0.99,5,93.49,2021-10-21T15:07:33Z,2721,60.77
0.99,5,103.76,2021-10-21T15:06:45Z,2720,110.68
0.99,5,95.58,2021-10-18T19:56:05Z,2719,58.94
0.98,5,88.41,2021-10-18T17:39:56Z,2718,128.2
0.99,5,90.73,2021-10-18T17:38:36Z,2717,65.02
0.99,5,88.17,2021-10-18T17:23:52Z,2716,67.6
1,5,86.45,2021-10-18T17:22:06Z,2715,76.36
0.98,5,88.03,2021-10-18T17:10:35Z,2714,49.88
0.99,5,89.55,2021-10-18T17:09:57Z,2713,46.27
0.98,4,73.8,2021-10-18T17:08:57Z,2712,62.73
0.99,5,91.7,2021-10-18T17:08:01Z,2711,71.83
0.99,5,97.44,2021-10-18T17:07:19Z,2710,68.21
0.98,5,79.15,2021-10-18T17:06:33Z,2709,76.51
0.98,4,86.61,2021-10-18T17:05:30Z,2708,121.26
0.99,5,95.07,2021-10-12T16:58:58Z,2707,152.12
1,5,98,2021-10-12T14:05:15Z,2706,75.13
0.98,4,87.63,2021-10-11T22:18:05Z,2705,131.44
0.99,5,86.47,2021-10-11T22:16:46Z,2704,73.5
0.98,4,77.86,2021-10-11T22:15:57Z,2703,83.05
0.99,5,89.94,2021-10-11T22:14:48Z,2702,77.95
0.98,5,85.15,2021-10-11T22:13:51Z,2701,22.71
0.99,4,92.37,2021-10-11T22:13:24Z,2700,73.9
0.99,5,88.01,2021-10-11T22:12:28Z,2699,76.27
0.99,3,91.04,2021-10-11T22:11:35Z,2698,121.38
0.99,5,99.75,2021-10-11T22:10:30Z,2697,151.29
0.99,5,87.91,2021-10-11T22:09:26Z,2696,61.53
0.99,4,92.95,2021-10-11T22:08:47Z,2695,167.31
0.99,5,97.34,2021-10-11T22:07:20Z,2694,84.36
0.98,5,86.49,2021-10-11T22:06:29Z,2693,59.1
1,4,95.65,2021-10-11T22:05:37Z,2692,78.12
0.98,5,86.46,2021-10-11T22:04:56Z,2691,155.64
0.99,5,83.42,2021-10-06T13:56:35Z,2690,102.88
0.98,5,78.53,2021-10-06T13:55:21Z,2689,51.05
1,5,87.35,2021-10-06T13:54:26Z,2688,48.04
1,5,92.14,2021-10-06T13:53:44Z,2687,56.82
0.99,5,84.95,2021-10-06T13:53:01Z,2686,66.55
1,5,106.39,2021-10-06T13:52:13Z,2685,63.83
0.99,5,98.2,2021-10-06T13:50:55Z,2684,45.83
0.99,5,92.44,2021-10-06T13:50:24Z,2683,66.25
0.99,5,86.59,2021-10-06T13:49:44Z,2682,112.56
0.99,4,81.46,2021-10-06T13:48:31Z,2681,81.46
0.99,5,88.54,2021-10-06T13:45:56Z,2680,98.87
1,5,102.93,2021-10-06T13:44:55Z,2679,60.04
0.99,5,84.28,2021-10-06T13:42:06Z,2678,91.3
0.98,5,77.4,2021-09-30T20:46:26Z,2677,56.76
0.99,5,94.39,2021-09-30T20:45:23Z,2676,55.06
1,5,106.5,2021-09-29T17:53:01Z,2675,124.25
0.98,5,92.53,2021-09-29T17:52:03Z,2674,53.97
1,5,103.83,2021-09-29T17:51:30Z,2673,74.41
0.99,5,99.85,2021-09-29T17:50:49Z,2672,61.57
0.99,5,103.51,2021-09-29T17:50:16Z,2671,60.38
1,5,103.32,2021-09-29T17:49:36Z,2670,77.49
0.99,5,90.36,2021-09-29T17:48:54Z,2669,54.22
0.98,4,86.51,2021-09-29T17:48:06Z,2668,89.39
1,5,89.57,2021-09-29T17:25:06Z,2667,58.22
0.99,5,92.66,2021-09-29T17:24:27Z,2666,89.57
0.99,4,89.02,2021-09-29T17:23:32Z,2665,106.82
1,5,106.32,2021-09-29T17:22:25Z,2664,67.33
0.99,4,95.44,2021-09-29T17:21:52Z,2663,58.85
0.99,4,87.01,2021-09-29T17:21:15Z,2662,46.4
1,4,91.23,2021-09-29T17:20:38Z,2661,79.07
0.98,5,97.01,2021-09-29T17:19:44Z,2660,66.29
1,5,98.8,2021-09-29T17:18:58Z,2659,74.1
0.98,5,90.05,2021-09-29T17:18:13Z,2658,55.53
0.99,4,89.05,2021-09-29T17:17:23Z,2657,133.57
1,5,99.74,2021-09-29T17:15:12Z,2656,66.5
0.99,5,91.25,2021-09-29T17:13:51Z,2655,164.26
0.99,5,92.83,2021-09-29T17:12:23Z,2654,83.54
0.99,5,90.59,2021-09-29T17:11:31Z,2653,48.32
1,5,84.69,2021-09-29T17:10:51Z,2652,38.11
1,5,93.99,2021-09-29T17:10:06Z,2651,64.23
1,5,104.79,2021-09-29T17:09:23Z,2650,99.55
1,5,102.16,2021-09-29T17:08:33Z,2649,52.78
0.99,5,89.21,2021-09-29T17:07:58Z,2648,72.86
0.99,5,82.71,2021-09-29T17:07:08Z,2647,62.03
1,5,96.3,2021-09-29T17:06:07Z,2646,48.15
0.99,4,80.32,2021-09-29T17:05:32Z,2645,37.48
1,4,98.8,2021-09-29T17:04:46Z,2644,131.73
1,5,91.5,2021-09-29T17:03:09Z,2643,111.32
1,5,100.53,2021-09-29T17:01:58Z,2642,98.85
0.99,4,98.73,2021-09-29T17:01:04Z,2641,60.89
0.99,5,82.92,2021-09-29T16:59:26Z,2640,93.98
1,5,106.38,2021-09-29T16:58:10Z,2639,88.65
0.99,5,91.17,2021-09-29T16:57:26Z,2638,44.07
0.99,4,86.09,2021-09-29T16:56:49Z,2637,47.35
1,5,103.35,2021-09-29T16:56:10Z,2636,65.45
0.99,5,91.75,2021-09-29T16:55:29Z,2635,97.87
0.99,5,89.48,2021-09-29T16:54:28Z,2634,62.63
0.98,5,90.46,2021-09-29T16:53:44Z,2633,51.26
0.99,5,94.68,2021-09-29T16:53:07Z,2632,58.39
0.99,5,88.45,2021-09-29T14:29:20Z,2631,107.61
0.99,5,92.41,2021-09-29T14:28:14Z,2630,66.23
0.99,5,92.64,2021-09-29T14:27:28Z,2629,46.32
1,5,97.48,2021-09-29T14:26:49Z,2628,51.99
0.99,3,94.96,2021-09-29T14:26:05Z,2627,110.79
0.99,5,91.04,2021-09-29T14:25:02Z,2626,53.11
0.99,3,87.67,2021-09-29T14:24:24Z,2625,73.06
0.98,5,93.01,2021-09-29T14:23:27Z,2624,55.81
1,5,103.03,2021-09-29T14:22:41Z,2623,70.4
0.98,5,88.97,2021-09-29T14:22:00Z,2622,75.63
0.99,5,89.31,2021-09-29T14:00:14Z,2621,95.27
0.99,4,74.76,2021-09-29T13:50:30Z,2620,93.45
1,5,101.15,2021-09-29T13:48:22Z,2619,84.29
1,5,103.93,2021-09-29T13:47:29Z,2618,53.7
0.98,5,85.31,2021-09-29T13:46:57Z,2617,54.03
1,5,103.69,2021-09-29T13:44:13Z,2616,77.77
0.99,5,89.16,2021-09-29T13:43:33Z,2615,53.5
0.98,4,76.09,2021-09-29T13:42:33Z,2614,55.8
0.99,5,89.73,2021-09-28T21:35:12Z,2613,140.58
0.99,5,89.82,2021-09-28T21:22:52Z,2612,88.32
0.99,4,92.53,2021-09-28T15:18:11Z,2611,83.28
0.99,5,104.16,2021-09-28T15:17:01Z,2610,62.49
0.98,5,89.73,2021-09-28T15:16:17Z,2609,164.51
1,5,90.26,2021-09-28T15:09:16Z,2608,60.17
0.99,4,88.26,2021-09-28T15:00:23Z,2607,85.31
0.99,5,95.57,2021-09-27T20:53:33Z,2606,90.8
0.99,5,97.8,2021-09-27T20:52:07Z,2605,84.76
0.99,3,101.47,2021-09-27T20:51:14Z,2604,62.57
0.99,5,98.96,2021-09-27T20:50:21Z,2603,107.21
0.99,5,96.34,2021-09-27T20:49:22Z,2602,102.76
1,5,120.17,2021-09-27T20:47:55Z,2601,34.05
0.98,5,86.87,2021-09-27T20:46:56Z,2600,85.42
1,5,100.43,2021-09-27T20:45:02Z,2599,71.98
0.99,5,81.74,2021-09-27T20:44:16Z,2598,85.82
0.99,5,73.91,2021-09-27T20:41:50Z,2597,68.98
0.97,5,85.56,2021-09-27T20:36:15Z,2596,31.37
0.98,5,87.57,2021-09-27T20:35:09Z,2595,68.6
0.98,5,81.11,2021-09-27T20:34:05Z,2594,98.69
1,5,101.09,2021-09-27T20:27:14Z,2593,60.65
0.99,4,77.16,2021-09-27T18:53:27Z,2592,73.3
0.99,3,82.38,2021-09-27T18:52:00Z,2591,64.53
0.98,4,75.42,2021-09-27T14:22:33Z,2590,79.19
0.99,5,89.67,2021-09-27T14:15:20Z,2589,115.07
1,5,94.76,2021-09-27T14:11:32Z,2588,164.26
0.99,4,83.44,2021-09-24T14:45:18Z,2587,77.88
0.98,5,91.63,2021-09-23T21:00:33Z,2586,48.87
0.99,5,79.09,2021-09-23T20:59:50Z,2585,71.18
0.98,5,79.49,2021-09-23T20:56:42Z,2584,64.92
0.99,5,89.94,2021-09-23T20:55:00Z,2583,88.44
1,5,89.2,2021-09-23T20:12:00Z,2582,66.9
0.98,4,68.96,2021-09-23T19:52:50Z,2581,64.36
0.99,5,94.16,2021-09-23T19:08:59Z,2580,134.97
0.99,4,76.44,2021-09-23T17:43:09Z,2579,53.51
0.98,4,75.89,2021-09-23T17:23:15Z,2578,74.63
0.99,5,79.89,2021-09-23T17:21:56Z,2577,39.94
0.99,5,85.15,2021-09-23T17:20:31Z,2576,87.98
0.99,5,87.23,2021-09-23T13:39:38Z,2575,74.14
0.99,5,91.74,2021-09-23T13:38:38Z,2574,77.98
0.99,5,91.88,2021-09-23T13:37:48Z,2573,62.78
0.99,5,96.62,2021-09-23T13:37:10Z,2572,91.79
0.98,5,86.54,2021-09-23T13:36:08Z,2571,69.23
0.99,5,78.12,2021-09-23T13:34:37Z,2570,106.76
0.99,5,96.38,2021-09-23T13:33:19Z,2569,61.04
0.98,5,92.29,2021-09-23T13:32:40Z,2568,58.45
0.97,5,73.03,2021-09-23T13:31:58Z,2567,46.26
1,4,91.57,2021-09-23T13:31:11Z,2566,48.84
0.99,5,91.04,2021-09-23T13:30:35Z,2565,100.14
1,4,93.74,2021-09-23T13:29:18Z,2564,109.37
1,5,101.65,2021-09-23T13:28:21Z,2563,55.91
0.98,4,79.55,2021-09-23T13:27:00Z,2562,96.79
0.99,5,88.48,2021-09-23T13:25:51Z,2561,54.56
0.99,5,81.94,2021-09-23T13:25:12Z,2560,122.91
0.99,5,88.32,2021-09-23T13:23:52Z,2559,88.32
1,5,93.83,2021-09-23T13:22:55Z,2558,73.5
0.98,5,79.49,2021-09-22T21:47:49Z,2557,74.2
1,5,81.6,2021-09-22T21:44:30Z,2556,46.24
0.98,5,81.86,2021-09-22T21:36:43Z,2555,91.41
1,5,82.57,2021-09-22T19:02:39Z,2554,67.43
0.97,5,72.41,2021-09-22T19:01:46Z,2553,56.72
0.99,5,92.37,2021-09-22T18:55:45Z,2552,124.71
0.99,5,81.37,2021-09-22T18:12:35Z,2551,47.47
0.99,5,92.39,2021-09-22T18:11:06Z,2550,83.15
1,5,98.98,2021-09-22T18:10:05Z,2549,39.59
0.99,5,87.72,2021-09-22T18:08:43Z,2548,116.96
0.98,5,79.23,2021-09-22T18:06:56Z,2547,118.85
1,5,96.52,2021-09-22T18:05:31Z,2546,62.74
0.99,5,83.36,2021-09-22T18:04:48Z,2545,93.09
0.99,5,80.26,2021-09-22T18:02:29Z,2544,42.81
1,4,98.47,2021-09-22T17:41:10Z,2543,72.21
0.99,5,76.66,2021-09-22T17:40:27Z,2542,76.66
0.99,5,85.27,2021-09-22T17:39:16Z,2541,123.64
1,5,101.14,2021-09-22T17:37:47Z,2540,77.54
1,5,86.7,2021-09-22T17:37:04Z,2539,62.13
0.99,5,85.11,2021-09-22T17:36:00Z,2538,69.51
1,5,87.09,2021-09-22T17:35:00Z,2537,45
0.98,4,79.33,2021-09-22T17:34:07Z,2536,78
0.99,5,85.74,2021-09-22T17:32:55Z,2535,91.46
0.99,5,84.26,2021-09-22T17:29:13Z,2534,56.17
1,5,92.03,2021-09-22T17:27:04Z,2533,47.55
0.98,4,82.25,2021-09-22T17:26:29Z,2532,123.37
1,5,71.94,2021-09-22T17:24:59Z,2531,61.15
0.98,4,86.98,2021-09-22T17:23:53Z,2530,82.63
0.99,5,89.38,2021-09-22T17:23:00Z,2529,74.48
0.98,5,80.89,2021-09-22T17:21:54Z,2528,56.62
0.98,4,84.42,2021-09-22T17:20:49Z,2527,75.98
0.98,5,74.92,2021-09-22T17:19:34Z,2526,48.7
0.99,5,92.06,2021-09-22T03:59:28Z,2525,65.98
0.99,4,84.22,2021-09-22T03:58:41Z,2524,40.71
0.99,5,83.99,2021-09-22T03:58:00Z,2523,69.99
0.99,5,93.47,2021-09-22T03:57:05Z,2522,96.59
0.97,5,86.32,2021-09-22T03:56:06Z,2521,77.69
0.99,5,87.05,2021-09-22T03:55:14Z,2520,71.09
1,5,96.11,2021-09-22T03:53:23Z,2519,59.27
1,5,89.54,2021-09-22T03:48:55Z,2518,107.45
0.98,5,83.49,2021-09-22T03:46:21Z,2517,111.32
1,5,95.78,2021-09-22T03:44:26Z,2516,73.43
0.99,5,91.41,2021-09-22T03:42:20Z,2515,41.13
0.98,5,75.51,2021-09-22T03:39:26Z,2514,52.86
0.98,5,83.95,2021-09-22T03:32:13Z,2513,67.16
0.98,5,81.66,2021-09-22T03:26:22Z,2512,106.15
0.99,5,89.22,2021-09-22T02:55:33Z,2511,69.89
0.99,5,92.04,2021-09-22T02:35:25Z,2510,101.25
0.98,5,90.12,2021-09-22T02:28:43Z,2509,96.13
0.99,5,80.4,2021-09-22T02:27:19Z,2508,72.36
0.99,5,78.72,2021-09-22T02:26:14Z,2507,70.85
0.99,5,106.61,2021-09-22T02:24:59Z,2506,83.51
0.99,5,92.72,2021-09-22T02:24:04Z,2505,63.36
0.98,5,81.35,2021-09-22T02:23:22Z,2504,42.03
0.99,5,85.33,2021-09-22T02:22:13Z,2503,79.64
0.98,5,78.42,2021-09-22T02:20:59Z,2502,31.37
0.97,5,95.54,2021-09-20T02:56:35Z,2501,62.1
1,5,97.74,2021-09-20T02:55:54Z,2500,102.63
0.97,5,82.79,2021-09-20T02:55:00Z,2499,48.29
1,4,84.08,2021-09-20T02:53:41Z,2498,103.7
1,5,96.42,2021-09-20T02:52:19Z,2497,91.6
1,5,86.9,2021-09-20T02:50:44Z,2496,39.1
0.98,4,75.35,2021-09-20T02:50:01Z,2495,46.47
0.99,5,88.97,2021-09-20T02:49:13Z,2494,78.59
0.99,5,93.13,2021-09-20T02:48:26Z,2493,68.3
0.98,4,78.32,2021-09-20T02:47:12Z,2492,74.4
0.98,5,78.57,2021-09-20T02:46:12Z,2491,64.16
0.99,5,91.28,2021-09-20T02:45:03Z,2490,112.58
