wpm,accuracy,time,game_num,racers_num,points
89.1,0.97,2021-03-11T04:17:40Z,2561,5,118.8
95,0.97,2021-02-28T23:08:19Z,2560,5,55.42
93.45,0.96,2021-02-27T15:56:15Z,2559,5,65.41
95.34,0.96,2021-02-27T15:55:32Z,2558,5,57.2
94.76,0.98,2021-02-23T15:03:40Z,2557,5,107.4
87.52,0.96,2021-02-22T02:17:15Z,2556,5,52.51
94.48,0.97,2021-02-20T16:17:47Z,2555,4,105.5
83.06,0.95,2021-02-16T14:58:27Z,2554,5,73.37
108.21,0.98,2021-02-15T16:14:00Z,2553,5,97.39
112.55,0.99,2021-02-13T16:09:14Z,2552,5,99.42
93.76,0.97,2021-02-12T17:51:14Z,2551,4,165.64
93.89,0.98,2021-02-12T17:49:12Z,2550,5,67.28
81.77,0.96,2021-02-10T13:58:45Z,2549,5,66.78
92.67,0.98,2021-02-07T19:04:44Z,2548,5,98.85
92.65,0.96,2021-02-07T19:03:22Z,2547,5,148.23
93.03,0.97,2021-02-06T20:34:47Z,2546,5,89.92
93.58,0.97,2021-02-05T20:07:40Z,2545,5,60.83
92.9,0.97,2021-02-01T15:52:56Z,2544,5,139.35
97.75,0.98,2021-02-01T15:51:08Z,2543,5,71.68
94.03,0.97,2021-02-01T15:39:06Z,2542,5,89.33
90.65,0.97,2021-01-31T15:44:32Z,2541,5,71.01
86.41,0.97,2021-01-30T17:23:46Z,2540,5,72.01
97.24,0.97,2021-01-29T15:25:01Z,2539,5,111.82
98.64,0.99,2021-01-29T15:19:53Z,2538,4,62.47
96.32,0.97,2021-01-29T15:19:17Z,2537,5,73.85
101.78,0.98,2021-01-26T16:28:09Z,2536,5,81.42
95.92,0.96,2021-01-26T16:24:02Z,2535,4,155.06
101.96,0.98,2021-01-26T14:15:06Z,2534,5,86.66
103.13,0.98,2021-01-23T16:18:52Z,2533,5,123.76
101.45,0.98,2021-01-22T18:42:25Z,2532,5,94.68
90.02,0.98,2021-01-22T16:01:43Z,2531,5,82.52
90.57,0.97,2021-01-22T16:00:54Z,2530,5,67.93
89.95,0.97,2021-01-22T16:00:07Z,2529,5,53.97
86.24,0.96,2021-01-22T15:59:27Z,2528,5,54.62
98.45,0.97,2021-01-21T14:59:40Z,2527,5,129.63
