wpm,accuracy,time,game_num,racers_num,points
84.45,0.95,2021-10-16T04:43:07Z,2655,5,46.45
91.63,0.97,2021-09-23T05:48:34Z,2654,5,73.31
99.76,0.98,2021-09-12T06:20:00Z,2653,5,58.19
89.8,0.96,2021-09-11T01:26:53Z,2652,5,62.86
99.75,0.98,2021-08-22T03:16:12Z,2651,5,59.85
91.62,0.97,2021-08-22T03:15:33Z,2650,5,77.88
89.06,0.97,2021-08-21T04:16:19Z,2649,5,66.79
87.36,0.97,2021-07-16T03:27:55Z,2648,5,97.56
87.22,0.97,2021-07-16T03:26:56Z,2647,4,97.4
98.17,0.98,2021-07-16T03:21:12Z,2646,5,63.81
108.45,0.99,2021-07-15T17:10:16Z,2645,5,72.3
84.52,0.96,2021-07-05T21:04:30Z,2644,4,162
92.2,0.96,2021-07-05T21:02:49Z,2643,5,116.79
90.47,0.98,2021-07-05T20:59:35Z,2642,4,125.15
86.06,0.98,2021-07-05T20:58:23Z,2641,5,61.68
83.1,0.96,2021-06-11T04:05:57Z,2640,5,54.01
92.32,0.97,2021-06-11T04:05:13Z,2639,5,41.55
99,0.99,2021-06-08T04:16:01Z,2638,5,56.1
92.38,0.96,2021-06-05T17:23:09Z,2637,5,50.81
87.28,0.97,2021-06-04T17:53:30Z,2636,5,93.09
84.44,0.97,2021-06-03T05:10:18Z,2635,4,59.11
109.21,0.99,2021-05-28T17:10:12Z,2634,5,69.16
86.53,0.97,2021-05-28T17:05:32Z,2633,5,37.49
96.96,0.97,2021-05-28T17:03:56Z,2632,5,84.04
89.93,0.97,2021-05-28T17:03:07Z,2631,4,86.93
89.07,0.97,2021-05-28T17:01:42Z,2630,5,90.55
93.75,0.97,2021-05-24T19:13:51Z,2629,5,57.81
92.15,0.98,2021-05-18T01:40:12Z,2628,4,52.22
91.26,0.96,2021-05-14T20:41:14Z,2627,5,48.67
83.91,0.97,2021-05-14T16:38:24Z,2626,5,107.69
81.8,0.97,2021-05-14T16:35:15Z,2625,5,69.53
101.35,0.98,2021-05-14T16:34:21Z,2624,5,77.71
86.37,0.97,2021-05-13T16:03:30Z,2623,5,53.26
99.59,0.98,2021-05-13T15:58:42Z,2622,5,63.08
88.45,0.97,2021-05-06T17:13:08Z,2621,5,101.71
91.58,0.97,2021-05-06T17:12:09Z,2620,4,141.95
83.96,0.95,2021-05-06T17:10:51Z,2619,5,47.57
93.37,0.98,2021-05-06T17:10:13Z,2618,5,70.03
87,0.97,2021-05-06T17:09:06Z,2617,5,117.45
78.51,0.95,2021-05-06T17:07:52Z,2616,5,44.49
101.01,0.97,2021-05-06T17:07:09Z,2615,5,58.92
100.65,0.98,2021-05-06T17:05:52Z,2614,5,82.2
95.19,0.98,2021-05-06T05:29:37Z,2613,5,82.49
91.03,0.98,2021-05-05T16:02:31Z,2612,5,71.31
86.77,0.97,2021-05-02T18:35:43Z,2611,5,65.08
87.96,0.98,2021-04-29T20:28:32Z,2610,5,82.1
84.98,0.98,2021-04-29T02:43:32Z,2609,5,46.74
91.51,0.97,2021-04-29T02:42:30Z,2608,5,73.21
88.26,0.98,2021-04-28T22:45:06Z,2607,5,111.79
88.11,0.96,2021-04-26T18:02:35Z,2606,5,51.4
95.55,0.97,2021-04-26T18:01:58Z,2605,5,46.18
96.04,0.98,2021-04-22T18:48:47Z,2604,5,72.03
88.71,0.98,2021-04-22T18:46:09Z,2603,5,102.02
86.49,0.98,2021-04-16T18:35:08Z,2602,5,67.75
92.2,0.98,2021-04-16T03:52:26Z,2601,5,115.25
85.72,0.95,2021-04-13T23:41:44Z,2600,5,45.72
89.06,0.97,2021-04-13T23:41:01Z,2599,5,62.34
98.82,0.98,2021-04-13T23:21:05Z,2598,4,79.05
92.26,0.98,2021-04-13T23:20:16Z,2597,5,83.03
90.89,0.99,2021-04-13T23:15:49Z,2596,5,54.53
86.18,0.97,2021-04-13T23:14:27Z,2595,5,91.92
93.17,0.98,2021-04-13T18:43:20Z,2594,5,69.88
94.12,0.98,2021-04-13T04:42:34Z,2593,5,64.32
84.91,0.98,2021-04-10T20:21:40Z,2592,5,36.79
93.32,0.99,2021-04-10T20:19:49Z,2591,5,77.76
85.51,0.98,2021-04-10T20:18:40Z,2590,4,99.76
84.63,0.97,2021-04-10T04:45:02Z,2589,5,40.9
80.93,0.97,2021-04-10T04:32:58Z,2588,5,136.23
88.85,0.96,2021-04-10T04:31:10Z,2587,5,51.83
90.95,0.97,2021-04-09T19:16:19Z,2586,4,68.21
78.24,0.96,2021-04-04T23:02:21Z,2585,4,52.16
84.99,0.98,2021-04-04T23:01:24Z,2584,5,86.4
85.66,0.97,2021-04-04T23:00:25Z,2583,5,64.24
82.19,0.95,2021-04-01T19:41:16Z,2582,5,54.8
86.49,0.96,2021-04-01T19:38:43Z,2581,5,54.78
93.03,0.97,2021-04-01T19:38:02Z,2580,5,65.12
85.89,0.98,2021-04-01T15:02:03Z,2579,5,40.08
95.21,0.98,2021-04-01T01:38:05Z,2578,5,57.12
87.28,0.96,2021-04-01T01:37:28Z,2577,5,62.55
79.86,0.96,2021-03-30T01:28:38Z,2576,4,117.13
85.39,0.97,2021-03-30T01:27:14Z,2575,4,39.85
85.52,0.95,2021-03-30T01:26:33Z,2574,5,71.27
85.51,0.97,2021-03-30T01:25:06Z,2573,5,39.9
80.92,0.96,2021-03-29T18:31:07Z,2572,5,47.2
87.37,0.97,2021-03-28T22:41:32Z,2571,4,53.88
82.09,0.97,2021-03-26T18:52:38Z,2570,5,36.94
82.67,0.96,2021-03-26T18:51:59Z,2569,5,66.13
82.7,0.97,2021-03-26T18:51:06Z,2568,5,90.97
83.8,0.97,2021-03-26T18:49:55Z,2567,5,43.29
88.22,0.95,2021-03-26T18:49:13Z,2566,5,33.82
81.25,0.96,2021-03-26T18:48:42Z,2565,4,113.76
81.88,0.95,2021-03-26T18:47:14Z,2564,5,54.58
86.13,0.97,2021-03-26T18:44:47Z,2563,5,109.09
83.62,0.96,2021-03-26T18:43:29Z,2562,4,90.59
88.16,0.97,2021-03-26T17:46:21Z,2561,5,158.69
78.8,0.96,2021-03-26T17:07:31Z,2560,5,63.04
92.16,0.98,2021-03-26T17:05:43Z,2559,5,61.44
82.73,0.96,2021-03-26T17:05:03Z,2558,5,99.28
86.02,0.97,2021-03-26T17:03:50Z,2557,4,54.48
93.47,0.99,2021-03-26T17:03:02Z,2556,4,105.93
99.27,0.98,2021-03-26T04:20:55Z,2555,5,81.07
90.58,0.98,2021-03-26T04:20:00Z,2554,4,111.71
85.03,0.98,2021-03-25T15:30:50Z,2553,4,73.69
84.25,0.97,2021-03-25T15:28:34Z,2552,5,60.38
84.09,0.98,2021-03-23T23:56:24Z,2551,5,60.27
