wpm,accuracy,time,game_num,racers_num,points
64.15,0.95,2021-11-17T17:01:02Z,2666,5,49.18
58.91,0.95,2021-11-17T17:00:02Z,2665,5,50.07
66.29,0.96,2021-11-17T16:58:49Z,2664,4,72.91
68.37,0.97,2021-11-17T16:57:30Z,2663,5,83.18
64.95,0.96,2021-11-17T16:55:15Z,2662,5,56.29
67.6,0.97,2021-11-17T16:54:06Z,2661,5,41.69
59.42,0.95,2021-11-17T16:53:16Z,2660,5,23.77
61.86,0.96,2021-11-17T16:52:31Z,2659,5,41.24
65.2,0.98,2021-11-17T13:43:04Z,2658,5,43.47
59.97,0.96,2021-11-17T13:42:09Z,2657,5,40.98
58.95,0.95,2021-11-17T13:41:12Z,2656,5,69.75
66.47,0.97,2021-11-17T13:39:33Z,2655,4,68.68
71.65,0.98,2021-11-17T13:38:12Z,2654,5,51.35
68.86,0.97,2021-11-17T13:34:15Z,2653,5,43.61
65.52,0.97,2021-11-17T13:33:09Z,2652,5,80.81
65.46,0.97,2021-11-17T13:31:36Z,2651,5,51.28
68.01,0.98,2021-11-17T13:30:07Z,2650,5,52.14
62.76,0.95,2021-11-16T15:25:58Z,2649,5,35.56
68.15,0.96,2021-11-15T18:15:02Z,2648,4,49.98
84.57,1,2021-11-15T18:12:38Z,2647,5,31.01
69.33,0.95,2021-11-15T18:11:54Z,2646,5,55.47
68.8,0.96,2021-11-15T15:10:56Z,2645,5,45.87
63.84,0.97,2021-11-15T15:10:04Z,2644,5,41.5
58.31,0.94,2021-11-15T15:09:11Z,2643,5,24.3
70.04,0.97,2021-11-15T15:08:25Z,2642,5,52.53
78.44,0.99,2021-11-15T15:07:23Z,2641,5,47.07
64.52,0.97,2021-11-15T15:06:40Z,2640,5,40.86
57.47,0.96,2021-11-12T19:52:31Z,2639,4,64.17
70.93,0.98,2021-11-12T19:50:59Z,2638,5,55.56
67.41,0.98,2021-11-12T19:50:12Z,2637,5,48.31
69.26,0.99,2021-11-12T19:49:16Z,2636,5,32.32
59.03,0.95,2021-11-12T19:48:35Z,2635,5,48.21
63.83,0.96,2021-11-11T13:10:17Z,2634,5,26.6
60.54,0.96,2021-11-11T13:09:32Z,2633,5,30.27
71.28,0.98,2021-11-11T13:08:42Z,2632,5,46.33
65.48,0.97,2021-11-11T13:07:47Z,2631,5,46.93
63.27,0.95,2021-11-11T13:06:49Z,2630,5,58
61.3,0.95,2021-11-11T13:05:46Z,2629,5,81.74
64.67,0.96,2021-11-10T16:41:18Z,2628,5,68.98
69.49,0.96,2021-11-10T16:39:59Z,2627,4,62.54
63.42,0.96,2021-11-09T14:06:36Z,2626,5,43.34
