wpm,accuracy,time,game_num,racers_num,points
34.73,0.98,2021-11-10T01:00:34Z,2751,5,30.68
33.06,0.97,2021-11-10T00:58:33Z,2750,5,18.73
35.35,0.99,2021-11-10T00:57:04Z,2749,5,30.04
34.54,0.99,2021-11-10T00:54:38Z,2748,5,12.09
39.32,0.99,2021-11-10T00:53:40Z,2747,5,16.38
34.16,0.98,2021-11-10T00:52:40Z,2746,5,29.03
29.25,0.95,2021-11-10T00:50:49Z,2745,5,12.19
31.64,0.98,2021-11-10T00:49:32Z,2744,5,28.48
28.4,0.96,2021-11-10T00:46:40Z,2743,5,10.41
33.35,0.98,2021-11-10T00:27:22Z,2742,4,20.01
35.3,0.98,2021-11-10T00:25:44Z,2741,5,22.94
29.47,0.97,2021-11-10T00:24:06Z,2740,4,17.68
27.29,0.94,2021-11-10T00:22:17Z,2739,5,12.74
34.89,0.98,2021-11-10T00:20:54Z,2738,5,19.77
30.81,0.97,2021-11-10T00:07:16Z,2737,5,17.97
27.19,0.95,2021-11-10T00:05:44Z,2736,5,27.19
36.81,0.97,2021-11-10T00:03:02Z,2735,5,22.7
37.12,0.98,2021-11-10T00:01:33Z,2734,5,27.84
32.18,0.97,2021-11-09T23:59:54Z,2733,5,22.53
36.23,0.98,2021-11-09T23:58:08Z,2732,5,30.8
29.29,0.96,2021-11-09T23:56:02Z,2731,4,19.53
34.25,0.99,2021-11-09T23:54:14Z,2730,4,25.11
28.95,0.96,2021-11-09T23:52:21Z,2729,4,13.51
33.98,0.98,2021-11-09T23:50:55Z,2728,5,16.42
31.35,0.99,2021-11-09T23:49:36Z,2727,3,21.42
33,0.97,2021-11-03T16:20:06Z,2726,5,17.05
32.77,0.99,2021-11-03T16:18:15Z,2725,5,13.11
32.64,0.96,2021-11-03T16:17:12Z,2724,4,7.62
26.66,0.95,2021-11-03T16:14:47Z,2723,4,24
31.42,0.97,2021-11-03T16:08:07Z,2722,5,18.33
36.07,0.99,2021-11-03T16:06:19Z,2721,4,15.63
31.79,0.97,2021-11-03T15:50:15Z,2720,5,14.31
31.08,0.97,2021-11-03T15:48:50Z,2719,5,25.39
30.32,0.97,2021-11-03T15:41:40Z,2718,5,30.83
32.23,0.97,2021-11-03T15:27:20Z,2717,4,24.17
31.84,0.98,2021-11-03T15:25:14Z,2716,5,9.55
31.11,0.97,2021-11-03T15:18:12Z,2715,5,17.63
30.09,0.97,2021-11-03T15:16:48Z,2714,5,25.58
30.97,0.96,2021-11-03T15:14:46Z,2713,5,24.26
36.58,0.97,2021-10-22T17:34:50Z,2712,5,31.7
31.34,0.97,2021-10-22T17:32:58Z,2711,5,17.24
33.22,0.99,2021-10-22T17:31:35Z,2710,5,16.61
26.71,0.95,2021-10-22T17:13:27Z,2709,5,13.8
43.67,1,2021-10-22T16:44:37Z,2708,5,13.83
32.47,0.98,2021-10-22T16:43:53Z,2707,5,21.1
32.9,0.97,2021-10-22T16:42:09Z,2706,5,27.97
31.23,0.97,2021-10-22T16:40:17Z,2705,5,12.49
32.03,0.99,2021-10-22T16:38:43Z,2704,5,20.82
29.47,0.97,2021-10-22T16:23:44Z,2703,4,5.89
34.36,0.99,2021-10-22T16:20:09Z,2702,4,12.6
30.12,0.97,2021-10-22T16:18:41Z,2701,5,12.55
28.38,0.97,2021-10-22T16:17:16Z,2700,5,18.92
36.3,0.99,2021-10-22T16:01:01Z,2699,5,10.89
30.54,0.96,2021-10-22T16:00:07Z,2698,5,23.41
31.86,0.98,2021-10-22T15:56:32Z,2697,5,30.26
26.73,0.98,2021-10-22T15:51:48Z,2696,5,14.7
33.74,0.99,2021-10-22T15:49:59Z,2695,5,23.61
30.04,0.98,2021-10-22T15:43:16Z,2694,5,10.51
27.33,0.98,2021-10-22T01:13:41Z,2693,5,18.68
27.6,0.97,2021-10-22T00:41:04Z,2692,5,23.92
31.5,0.98,2021-10-06T00:19:52Z,2691,5,22.05
33.37,0.98,2021-10-06T00:17:07Z,2690,4,30.59
31.77,0.97,2021-10-06T00:12:59Z,2689,3,18
29.74,0.98,2021-10-06T00:11:32Z,2688,5,23.3
34.42,0.99,2021-10-06T00:09:35Z,2687,5,13.2
28.93,0.97,2021-10-06T00:07:39Z,2686,5,16.39
27.4,0.97,2021-10-06T00:05:24Z,2685,5,16.89
29.68,0.96,2021-10-06T00:03:25Z,2684,5,30.18
