wpm,accuracy,time,game_num,racers_num,points
79.26,0.96,2018-03-11T14:56:07Z,2602,5,47.56
70.53,0.94,2017-12-08T01:18:21Z,2601,4,50.55
76.48,0.95,2017-08-16T09:20:53Z,2600,5,43.34
96.72,0.98,2017-08-16T09:20:13Z,2599,3,112.84
98.51,0.98,2017-08-16T09:19:10Z,2598,3,96.87
108.91,0.97,2017-08-16T09:18:13Z,2597,5,38.12
92.38,0.95,2017-08-16T09:17:46Z,2596,5,56.96
83.68,0.96,2017-08-16T09:17:02Z,2595,5,90.65
94.41,0.96,2017-08-16T09:15:57Z,2594,2,64.51
81.88,0.95,2017-08-16T09:15:00Z,2593,4,51.86
86.37,0.97,2017-08-16T09:13:21Z,2592,5,86.37
95.08,0.97,2017-08-16T09:09:39Z,2591,3,99.84
94.78,0.97,2017-08-16T09:08:35Z,2590,2,83.72
76.91,0.96,2017-08-16T09:07:48Z,2589,5,65.37
88.96,0.96,2017-08-16T09:05:48Z,2588,5,77.09
74.63,0.96,2017-08-16T09:04:59Z,2587,5,64.68
84.36,0.96,2017-08-16T09:04:00Z,2586,5,63.27
83.75,0.96,2017-08-16T09:03:12Z,2585,5,39.08
87.43,0.97,2017-08-16T09:02:39Z,2584,5,97.63
99.57,0.98,2017-08-16T09:01:38Z,2583,5,86.3
83.79,0.96,2017-08-16T09:00:47Z,2582,5,41.9
87.43,0.96,2017-08-16T09:00:08Z,2581,5,110.74
111.16,0.99,2017-08-15T07:51:41Z,2580,5,40.76
82,0.96,2017-08-15T07:49:41Z,2579,3,68.34
82.76,0.96,2017-08-15T07:48:58Z,2578,3,75.86
88.05,0.97,2017-08-15T07:47:29Z,2577,2,83.65
85,0.97,2017-08-15T07:46:23Z,2576,5,65.16
78.13,0.95,2017-08-15T07:45:39Z,2575,3,80.73
77.39,0.96,2017-08-15T07:44:30Z,2574,4,51.59
89.66,0.97,2017-08-15T07:43:46Z,2573,4,80.7
82.69,0.97,2017-08-15T07:43:01Z,2572,2,75.8
74.51,0.94,2017-08-15T07:40:50Z,2571,5,72.02
106,0.99,2017-08-15T07:39:38Z,2570,5,54.76
84.34,0.97,2017-08-15T07:38:21Z,2569,3,89.96
89.44,0.98,2017-08-15T07:37:19Z,2568,4,35.78
74.97,0.95,2017-08-15T07:36:36Z,2567,2,154.93
86.5,0.97,2017-08-15T07:34:29Z,2566,3,53.34
90.15,0.97,2017-08-15T07:33:48Z,2565,4,67.61
111.43,0.99,2017-08-15T07:33:10Z,2564,3,76.14
96.62,0.97,2017-08-15T07:31:50Z,2563,4,88.57
86.29,0.96,2017-08-15T07:31:11Z,2562,5,70.47
72.9,0.95,2017-08-15T07:29:46Z,2561,3,91.12
83.03,0.97,2017-08-14T02:34:19Z,2560,5,119.01
80.83,0.97,2017-08-14T02:32:36Z,2559,4,68.7
