wpm,accuracy,time,game_num,racers_num,points
60.24,0.94,2021-11-18T15:18:54Z,2885,4,33.13
73.95,0.97,2021-11-18T15:17:47Z,2884,5,30.81
55.2,0.94,2021-11-18T14:10:39Z,2883,5,23
65.74,0.97,2021-11-18T14:09:21Z,2882,4,54.78
57.37,0.95,2021-11-18T14:08:00Z,2881,5,46.85
58.14,0.96,2021-11-17T13:36:26Z,2880,5,43.6
68.72,0.97,2021-11-17T12:45:18Z,2879,5,50.39
63.15,0.96,2021-11-16T14:00:23Z,2878,5,64.2
59.44,0.95,2021-11-16T13:59:04Z,2877,5,30.71
56.06,0.96,2021-11-16T13:32:19Z,2876,5,43.91
62.38,0.97,2021-11-16T13:31:21Z,2875,5,29.11
59.85,0.95,2021-11-16T13:30:35Z,2874,4,31.92
57.72,0.96,2021-11-16T13:29:31Z,2873,5,34.63
57.68,0.94,2021-11-12T12:39:47Z,2872,5,27.88
63.12,0.95,2021-11-12T12:39:00Z,2871,5,19.99
67.01,0.95,2021-11-12T12:38:16Z,2870,5,49.14
82.25,0.99,2021-11-12T12:37:18Z,2869,5,39.75
67.02,0.94,2021-11-12T12:36:24Z,2868,4,33.51
60.2,0.96,2021-11-12T12:35:45Z,2867,5,24.08
34.04,0.95,2021-11-12T12:35:00Z,2866,5,17.58
56.71,0.94,2021-11-12T12:33:44Z,2865,4,25.52
48.41,0.92,2021-11-12T05:26:02Z,2864,5,23.4
57.81,0.96,2021-11-11T15:42:10Z,2863,5,32.76
56.92,0.93,2021-11-11T15:40:28Z,2862,5,40.79
54.48,0.95,2021-11-11T13:45:04Z,2861,5,24.52
66.87,0.95,2021-11-09T13:46:42Z,2860,5,41.24
58.11,0.95,2021-11-06T00:55:34Z,2859,5,35.84
62.46,0.97,2021-11-05T19:23:36Z,2858,5,61.42
62.69,0.96,2021-11-04T13:10:32Z,2857,3,40.75
65.4,0.95,2021-11-04T13:07:20Z,2856,5,55.59
35,0.94,2021-11-04T13:03:56Z,2855,5,14.58
70.64,0.98,2021-11-04T12:48:48Z,2854,5,61.22
