wpm,accuracy,time,game_num,racers_num,points
69.08,0.98,2020-12-27T17:01:32Z,2854,5,49.51
72.53,0.98,2020-12-27T17:00:27Z,2853,4,78.57
75.9,0.99,2020-12-27T16:59:21Z,2852,5,37.95
61.73,0.95,2020-12-27T16:58:39Z,2851,5,48.35
72.41,0.97,2020-12-27T16:57:19Z,2850,5,43.45
69.34,0.96,2020-12-27T16:55:42Z,2849,5,124.82
74.47,0.98,2020-12-27T16:53:09Z,2848,5,58.34
73.52,0.98,2020-12-22T12:56:25Z,2847,5,57.59
83.19,0.99,2020-12-22T12:54:39Z,2846,4,77.64
76.64,0.99,2020-09-23T18:10:33Z,2845,5,94.52
61.77,0.94,2020-09-23T18:09:20Z,2844,5,31.91
76.21,0.96,2020-09-23T18:08:29Z,2843,5,66.05
71.86,0.98,2020-09-23T18:07:27Z,2842,5,80.25
86.34,0.98,2020-09-23T18:06:05Z,2841,5,44.61
78.89,0.97,2020-09-23T18:03:33Z,2840,5,102.56
75.62,0.98,2020-09-23T18:02:19Z,2839,4,80.67
80.91,0.98,2020-09-23T18:00:43Z,2838,4,63.38
62.62,0.95,2020-09-23T17:59:52Z,2837,5,30.26
77.08,0.97,2020-09-23T17:59:06Z,2836,5,50.1
86.09,0.99,2020-09-23T17:57:15Z,2835,5,61.7
86.85,1,2020-09-23T17:56:21Z,2834,5,65.14
71.43,0.98,2020-09-23T17:55:34Z,2833,3,70.24
80.01,0.98,2020-09-23T17:54:17Z,2832,5,77.34
78.44,0.98,2020-09-23T13:59:24Z,2831,5,58.83
72.62,0.96,2020-09-23T13:57:57Z,2830,5,16.95
72.52,0.98,2020-09-23T13:56:58Z,2829,5,38.67
69.3,0.97,2020-09-23T13:56:03Z,2828,5,73.92
83.19,0.99,2020-09-23T13:54:44Z,2827,5,72.09
76.7,0.98,2020-09-23T13:53:44Z,2826,5,103.54
69,0.97,2020-09-23T13:52:11Z,2825,5,64.4
87.16,0.98,2020-09-23T13:50:55Z,2824,5,79.9
73.26,0.98,2020-09-23T13:50:00Z,2823,4,116
70.05,0.97,2020-09-23T13:48:25Z,2822,5,50.2
80.95,0.97,2020-09-23T13:47:25Z,2821,3,53.97
74.9,0.98,2020-09-23T13:46:29Z,2820,5,79.9
87.01,0.98,2020-09-23T13:34:26Z,2819,5,52.2
80.32,0.98,2020-09-23T13:33:46Z,2818,4,107.1
77.95,0.98,2020-09-23T13:32:03Z,2817,5,63.66
81.2,0.98,2020-09-23T13:31:06Z,2816,4,75.78
80.07,0.99,2020-09-22T13:14:23Z,2815,5,65.39
69.04,0.97,2020-09-22T13:13:26Z,2814,5,72.49
81.09,0.99,2020-09-22T13:11:48Z,2813,5,39.19
79.85,0.98,2020-09-22T13:11:07Z,2812,5,53.23
78.75,0.98,2020-09-22T13:10:18Z,2811,5,43.31
82.7,0.98,2020-08-12T05:10:51Z,2810,5,44.11
68.06,0.98,2020-08-12T05:10:05Z,2809,5,127.04
75.3,0.98,2020-08-12T05:08:16Z,2808,5,61.49
66.14,0.97,2020-08-12T05:07:18Z,2807,5,35.28
75.39,0.98,2020-08-02T16:02:38Z,2806,5,41.46
58.91,0.95,2020-08-02T16:01:55Z,2805,4,53.02
68.3,0.98,2020-08-02T15:58:38Z,2804,5,105.87
68.99,0.97,2020-08-02T15:56:54Z,2803,5,47.14
72.15,0.98,2020-07-17T16:03:01Z,2802,4,50.5
76.32,0.99,2020-07-15T16:16:34Z,2801,5,39.43
70,0.98,2019-10-31T16:05:21Z,2800,5,75.83
76.98,0.97,2019-10-31T15:59:38Z,2799,5,71.85
72.54,0.98,2019-10-31T15:58:40Z,2798,4,41.11
66.34,0.97,2019-10-31T15:57:57Z,2797,4,43.12
67.76,0.96,2019-10-31T15:56:55Z,2796,5,68.88
83.82,0.99,2019-10-31T15:55:28Z,2795,5,71.25
67.5,0.97,2019-10-31T15:54:39Z,2794,4,48.37
67.96,0.96,2019-10-31T15:53:38Z,2793,5,41.91
62.6,0.98,2019-10-31T15:52:49Z,2792,3,77.21
72.4,0.98,2019-10-31T15:50:04Z,2791,5,49.47
77.24,0.98,2019-10-31T15:49:13Z,2790,5,52.78
58.5,0.95,2019-10-31T15:48:28Z,2789,5,34.13
69.95,0.98,2019-10-31T15:47:36Z,2788,5,38.47
79.04,0.98,2019-10-31T15:46:48Z,2787,5,43.47
72.01,0.98,2019-10-31T15:43:21Z,2786,4,108.01
63.23,0.97,2019-10-31T15:41:50Z,2785,5,21.08
73.91,0.96,2019-10-31T15:36:50Z,2784,5,27.1
68.5,0.98,2019-10-31T15:36:02Z,2783,5,55.94
76.37,0.98,2019-10-31T15:34:52Z,2782,5,92.92
69.57,0.97,2019-10-31T15:33:35Z,2781,5,35.95
83.6,0.98,2019-10-30T17:43:05Z,2780,5,43.19
77.88,0.98,2019-10-30T17:42:25Z,2779,3,84.37
82.67,0.98,2019-10-30T17:41:11Z,2778,5,79.91
83.43,0.99,2019-10-30T17:39:36Z,2777,5,54.23
78.01,0.98,2019-10-30T17:38:57Z,2776,5,98.81
65.36,0.96,2019-10-30T17:36:32Z,2775,3,84.96
60.62,0.97,2019-10-30T17:34:51Z,2774,5,29.3
88.94,1,2019-10-30T17:32:43Z,2773,5,42.99
74.93,0.98,2019-10-30T17:31:52Z,2772,5,44.96
70.15,0.98,2019-10-30T16:42:14Z,2771,4,116.91
72.2,0.98,2019-10-30T16:40:24Z,2770,4,61.37
69.57,0.99,2019-10-30T16:39:18Z,2769,5,89.28
70.2,0.97,2019-10-30T16:37:58Z,2768,5,72.54
80.62,0.99,2019-10-30T09:17:48Z,2767,5,43
77.86,0.97,2019-10-30T09:17:06Z,2766,4,50.61
78.89,0.99,2019-10-30T09:15:09Z,2765,3,110.44
68.59,0.97,2019-10-30T09:13:48Z,2764,4,40.01
65.94,0.96,2019-10-30T09:12:50Z,2763,4,31.87
69.13,0.97,2019-10-30T09:12:08Z,2762,5,48.39
71.6,0.97,2019-10-30T09:11:05Z,2761,4,70.41
68.2,0.97,2019-10-30T09:09:52Z,2760,4,112.54
73.57,0.97,2019-10-30T09:08:04Z,2759,5,83.38
70.06,0.97,2019-10-30T09:04:58Z,2758,4,67.72
75.95,0.97,2019-10-30T09:03:44Z,2757,5,51.9
68.7,0.98,2019-10-30T09:02:38Z,2756,5,66.41
71.88,0.98,2019-10-29T14:36:29Z,2755,4,69.48
62.35,0.99,2019-10-29T14:35:14Z,2754,3,51.96
67.77,0.97,2019-10-29T14:34:07Z,2753,5,49.7
76.04,0.98,2019-10-29T14:33:03Z,2752,4,134.34
71.84,0.97,2019-10-29T14:30:46Z,2751,5,147.27
74.81,0.98,2019-10-29T06:52:06Z,2750,5,128.43
68.02,0.98,2019-10-29T06:50:26Z,2749,5,48.75
