wpm,accuracy,time,game_num,racers_num,points
81.49,0.98,2021-11-16T11:34:56Z,2957,5,52.97
71.88,0.98,2021-11-15T15:00:12Z,2956,4,49.12
74.57,0.99,2021-11-15T14:53:58Z,2955,5,52.2
71.32,0.96,2021-11-13T13:49:11Z,2954,5,58.24
73.9,0.97,2021-11-13T13:47:49Z,2953,5,89.91
80.1,0.97,2021-11-12T15:04:59Z,2952,5,61.41
71.84,0.97,2021-11-10T15:50:09Z,2951,4,58.67
64.87,0.96,2021-11-10T15:49:12Z,2950,4,75.69
64.08,0.94,2021-11-10T15:47:44Z,2949,5,30.97
76.88,0.99,2021-11-08T14:11:16Z,2948,4,83.28
76.16,0.98,2021-11-08T13:40:43Z,2947,5,55.85
73.23,0.96,2021-11-08T13:39:51Z,2946,5,45.16
79.32,0.98,2021-11-08T13:39:02Z,2945,5,43.63
72.86,0.97,2021-11-08T12:31:55Z,2944,5,97.15
78.2,0.98,2021-11-08T12:30:32Z,2943,5,56.04
67.7,0.96,2021-11-08T11:10:48Z,2942,5,78.98
71.76,0.98,2021-11-08T11:09:21Z,2941,5,13.16
63.89,0.96,2021-11-08T11:08:55Z,2940,5,45.79
69.05,0.98,2021-11-08T11:07:55Z,2939,5,66.75
65.76,0.96,2021-11-08T11:06:39Z,2938,4,63.57
76.16,0.98,2021-11-08T11:05:21Z,2937,5,81.23
84.03,0.98,2021-11-02T10:37:18Z,2936,4,65.82
72.64,0.97,2021-10-29T11:17:20Z,2935,5,75.06
66.35,0.95,2021-10-29T11:16:09Z,2934,5,25.43
74.22,0.96,2021-10-29T11:15:30Z,2933,5,44.53
70.08,0.98,2021-10-02T10:28:31Z,2932,5,58.4
70.59,0.95,2021-06-30T08:20:56Z,2931,5,49.42
70.6,0.98,2021-06-28T10:43:39Z,2930,5,77.66
69.08,0.95,2021-06-15T15:05:43Z,2929,5,71.38
75.97,0.98,2021-06-15T15:04:30Z,2928,5,60.78
91.89,1,2021-06-15T15:03:29Z,2927,4,44.42
83.47,0.98,2021-06-15T15:02:53Z,2926,5,48.69
79.75,0.98,2021-06-15T15:02:12Z,2925,5,35.89
77.08,0.97,2021-06-10T09:03:52Z,2924,4,62.95
86.99,0.98,2021-06-10T09:02:56Z,2923,5,40.6
74.59,0.98,2021-06-09T11:34:47Z,2922,5,54.7
80.66,0.96,2021-06-04T11:35:10Z,2921,5,52.43
73.96,0.96,2021-06-04T11:34:15Z,2920,5,78.89
68.73,0.97,2021-06-03T14:28:28Z,2919,5,72.16
69.19,0.96,2021-06-03T14:27:24Z,2918,4,70.35
68.64,0.96,2021-06-03T14:25:54Z,2917,5,53.77
69.71,0.97,2021-06-03T14:24:55Z,2916,5,55.77
69.27,0.96,2021-06-03T14:23:59Z,2915,5,38.1
78.8,0.97,2021-06-03T14:23:12Z,2914,5,68.29
75.55,0.97,2021-06-03T14:22:12Z,2913,5,66.74
62.56,0.94,2021-06-03T09:46:07Z,2912,5,60.47
84.36,0.97,2021-06-03T09:44:49Z,2911,5,47.8
68.56,0.96,2021-06-02T10:57:14Z,2910,5,61.71
81.59,0.98,2021-06-02T10:56:09Z,2909,4,42.15
81.28,0.98,2021-06-02T10:55:25Z,2908,5,39.29
86.79,0.99,2021-06-02T10:54:40Z,2907,5,75.22
74.59,0.97,2021-05-20T13:47:54Z,2906,4,110.64
92.33,1,2021-05-20T13:46:13Z,2905,5,70.79
75.06,0.96,2021-05-20T13:45:20Z,2904,5,50.04
75.69,0.98,2021-05-20T13:44:12Z,2903,5,71.91
70.81,0.97,2021-05-17T09:16:05Z,2902,5,64.91
72.6,0.98,2021-05-17T09:14:50Z,2901,5,35.09
67.53,0.95,2021-05-12T08:44:52Z,2900,5,36.02
72.34,0.97,2021-05-12T08:44:06Z,2899,5,63.9
67.84,0.97,2021-05-10T08:53:02Z,2898,5,59.92
65.97,0.95,2021-05-10T08:51:58Z,2897,5,32.98
65.71,0.96,2021-05-10T08:51:12Z,2896,5,67.9
82.39,0.99,2021-05-10T08:49:50Z,2895,5,75.52
77.65,0.97,2021-04-30T13:58:19Z,2894,5,73.76
92.2,0.99,2021-04-30T13:30:18Z,2893,5,32.27
92.16,1,2021-04-30T13:29:43Z,2892,5,72.19
83.76,0.99,2021-04-30T13:28:56Z,2891,5,30.71
73.69,0.96,2021-04-30T13:28:21Z,2890,5,60.18
63.36,0.96,2021-04-30T13:27:20Z,2889,5,45.41
70.23,0.96,2021-04-30T13:26:20Z,2888,5,66.71
65.88,0.96,2021-04-29T14:52:31Z,2887,4,70.27
84.85,0.97,2021-04-29T14:42:13Z,2886,5,89.1
69.01,0.95,2021-04-29T14:40:50Z,2885,5,64.41
80.52,0.98,2021-04-28T12:46:11Z,2884,5,44.29
78.22,0.98,2021-04-28T12:45:17Z,2883,5,104.29
80.38,0.97,2021-04-15T11:43:24Z,2882,5,32.15
74.5,0.98,2021-04-06T12:05:33Z,2881,5,63.33
77.47,0.97,2021-04-06T12:04:33Z,2880,5,94.25
73,0.97,2021-04-06T12:03:20Z,2879,5,48.67
72.83,0.97,2021-04-06T12:02:35Z,2878,5,52.19
87,1,2021-04-06T12:01:37Z,2877,5,47.85
77.51,0.98,2021-04-06T12:00:59Z,2876,5,124.02
71.61,0.98,2021-03-30T09:39:38Z,2875,5,47.74
74,0.98,2021-03-30T09:38:51Z,2874,5,60.44
64.01,0.96,2021-03-30T09:37:53Z,2873,5,51.2
74.06,0.96,2021-03-30T09:36:52Z,2872,5,51.84
66.59,0.94,2021-03-30T09:36:05Z,2871,4,55.49
66.5,0.97,2021-03-30T09:35:03Z,2870,5,26.6
76.29,0.97,2021-03-30T09:34:21Z,2869,5,45.77
76,0.97,2021-03-30T09:33:36Z,2868,4,69.67
76.27,0.97,2021-03-30T09:32:36Z,2867,5,69.92
80.47,0.98,2021-03-29T11:19:53Z,2866,5,64.37
60.11,0.95,2021-03-04T16:00:23Z,2865,5,36.06
52.87,0.96,2021-03-04T15:59:25Z,2864,5,54.63
59.25,0.97,2021-03-04T15:57:59Z,2863,5,35.55
62.36,0.96,2021-03-04T15:56:59Z,2862,4,54.05
64.41,0.97,2021-03-04T15:55:40Z,2861,4,79.44
66.75,0.97,2021-03-04T15:54:14Z,2860,4,65.64
55.69,0.95,2021-03-04T15:52:56Z,2859,5,54.76
72.56,0.98,2021-03-04T15:51:28Z,2858,4,79.81
64.17,0.95,2021-03-04T15:50:12Z,2857,5,82.35
77.94,0.97,2021-03-03T13:16:44Z,2856,5,67.55
82.18,0.99,2021-03-03T13:14:55Z,2855,4,67.11
67.01,0.95,2021-02-16T10:37:56Z,2854,5,27.92
67.26,0.97,2021-02-16T10:37:08Z,2853,5,50.45
72.62,0.96,2021-02-16T10:36:11Z,2852,5,37.52
77.88,0.99,2021-02-16T10:35:18Z,2851,5,54.52
73.5,0.97,2021-02-09T14:36:53Z,2850,2,49
65.79,0.95,2021-02-09T14:35:28Z,2849,2,46.05
60.84,0.96,2021-02-02T10:50:49Z,2848,5,40.56
70.69,0.97,2021-02-02T10:49:45Z,2847,5,28.28
80.77,1,2021-02-02T10:49:05Z,2846,5,48.46
71.72,0.97,2021-01-28T10:34:12Z,2845,5,63.35
81.69,0.98,2021-01-28T10:32:40Z,2844,5,36.76
77.61,0.97,2021-01-28T10:32:02Z,2843,4,37.51
76.44,0.97,2021-01-28T10:31:18Z,2842,5,64.97
65.75,0.96,2021-01-28T10:30:14Z,2841,5,106.29
69.09,0.96,2021-01-28T10:28:25Z,2840,5,71.39
76.89,0.98,2021-01-28T10:27:18Z,2839,5,55.1
64.36,0.95,2021-01-28T10:26:27Z,2838,5,55.78
77.14,0.97,2021-01-28T10:25:09Z,2837,5,63
69.12,0.97,2021-01-27T13:01:33Z,2836,5,79.48
80.91,0.98,2021-01-27T13:00:12Z,2835,3,63.38
81.36,0.98,2021-01-15T15:26:39Z,2834,5,40.68
76.5,0.98,2021-01-12T19:59:50Z,2833,5,61.2
66.54,0.97,2021-01-05T13:00:30Z,2832,5,75.41
72.34,0.98,2021-01-05T12:59:12Z,2831,5,107.3
60.95,0.96,2021-01-05T12:57:37Z,2830,5,40.63
58.41,0.96,2021-01-05T12:56:40Z,2829,5,39.91
71.33,0.96,2021-01-05T12:55:44Z,2828,4,52.31
72.8,0.97,2021-01-05T12:54:48Z,2827,5,60.66
65.18,0.96,2021-01-05T12:53:47Z,2826,4,73.87
73.12,0.98,2021-01-05T10:16:21Z,2825,4,49.97
69.81,0.98,2021-01-05T10:15:22Z,2824,5,60.5
80.29,0.97,2020-12-19T13:32:41Z,2823,5,34.79
58.34,0.96,2020-12-11T09:02:28Z,2822,5,51.54
71.77,0.98,2020-12-11T09:01:05Z,2821,5,61.01
70.28,0.98,2020-12-11T09:00:08Z,2820,5,70.28
73.16,0.96,2020-12-09T10:18:44Z,2819,5,48.78
80.11,0.98,2020-12-09T10:17:54Z,2818,5,53.41
74.27,0.98,2020-12-09T10:16:54Z,2817,4,74.27
74.67,0.97,2020-12-08T15:16:55Z,2816,5,72.18
77.79,0.99,2020-12-08T10:47:15Z,2815,5,37.6
64.93,0.96,2020-12-08T10:46:32Z,2814,4,50.86
62.59,0.94,2020-11-29T13:38:37Z,2813,5,52.16
63.44,0.96,2020-11-29T13:37:33Z,2812,4,48.64
71.7,0.97,2020-11-29T13:35:01Z,2811,5,35.85
81.27,0.99,2020-11-29T13:34:11Z,2810,5,69.08
62.8,0.95,2020-11-24T13:16:44Z,2809,5,60.71
65.2,0.97,2020-11-24T13:15:33Z,2808,5,33.69
62.26,0.97,2020-11-24T13:14:48Z,2807,5,68.49
69.43,0.96,2020-11-24T13:13:38Z,2806,5,100.68
72.79,0.96,2020-11-20T11:34:31Z,2805,5,49.74
72.56,0.96,2020-11-19T15:41:28Z,2804,4,83.45
73.34,0.97,2020-11-19T15:40:08Z,2803,5,75.78
72.61,0.97,2020-11-19T15:39:05Z,2802,5,89.55
74.95,0.97,2020-11-19T09:57:58Z,2801,5,61.21
56.89,0.95,2020-11-18T13:07:34Z,2800,5,39.82
38.64,0.97,2020-11-18T13:06:34Z,2799,5,36.07
82.71,0.98,2020-11-18T13:04:51Z,2798,5,56.52
69.88,0.96,2020-11-18T11:21:03Z,2797,5,81.52
66.79,0.96,2020-11-18T11:19:43Z,2796,5,48.98
82.62,0.99,2020-11-18T11:18:46Z,2795,5,30.29
55.96,0.96,2020-11-18T11:18:11Z,2794,4,55.96
69.6,0.97,2020-11-18T11:16:45Z,2793,4,81.2
57.4,0.97,2020-11-18T11:15:27Z,2792,5,36.35
71.88,0.99,2020-11-18T11:14:32Z,2791,5,47.92
52.7,0.97,2020-11-18T11:13:46Z,2790,5,25.47
60.92,0.97,2020-11-18T11:12:52Z,2789,5,82.24
68.2,0.98,2020-11-18T11:10:18Z,2788,4,53.43
43.47,0.96,2020-11-18T11:09:20Z,2787,5,30.43
72.63,0.94,2020-11-18T11:08:02Z,2786,5,37.53
67.84,0.97,2020-11-18T11:07:15Z,2785,5,50.88
77.61,0.98,2020-11-18T11:06:12Z,2784,5,90.54
66.08,0.96,2020-11-17T17:00:06Z,2783,4,71.59
76.42,0.98,2020-11-17T16:58:44Z,2782,5,63.68
79.46,0.98,2020-11-17T16:57:01Z,2781,5,50.32
68.44,0.97,2020-11-17T16:48:49Z,2780,4,66.16
73.59,0.99,2020-11-17T16:47:41Z,2779,5,39.25
77.05,0.98,2020-11-17T16:46:51Z,2778,5,43.66
69.19,0.97,2020-11-17T16:46:05Z,2777,5,99.17
69.13,0.96,2020-11-17T16:44:31Z,2776,5,89.87
65.58,0.96,2020-11-17T14:15:50Z,2775,5,33.88
80.47,0.97,2020-11-17T14:15:00Z,2774,5,115.33
61.88,0.95,2020-11-17T14:13:25Z,2773,3,66.01
72.81,0.96,2020-11-17T14:12:02Z,2772,4,33.98
89.53,0.98,2020-11-17T14:11:08Z,2771,5,52.22
92.16,0.99,2020-11-17T14:10:14Z,2770,5,44.54
69.27,0.97,2020-11-17T14:01:35Z,2769,5,60.03
68.42,0.96,2020-11-16T16:22:39Z,2768,5,80.97
78.95,0.98,2020-11-16T16:21:13Z,2767,5,84.21
77.2,0.97,2020-11-16T16:11:10Z,2766,4,57.9
75.28,0.96,2020-11-16T16:10:20Z,2765,5,76.54
72.1,0.97,2020-11-16T16:09:19Z,2764,5,44.46
68.67,0.96,2020-11-16T16:08:25Z,2763,5,74.39
74.46,0.97,2020-11-16T16:07:04Z,2762,5,40.95
84.53,0.99,2020-11-16T14:23:44Z,2761,5,50.72
77.76,0.97,2020-11-16T14:23:00Z,2760,5,81.65
88.41,0.98,2020-11-16T14:21:47Z,2759,5,47.15
75.41,0.97,2020-11-16T14:20:40Z,2758,5,75.41
78.25,0.99,2020-11-16T14:19:17Z,2757,5,29.99
74.46,0.97,2020-11-16T14:18:34Z,2756,5,50.88
69.81,0.96,2020-11-16T14:17:42Z,2755,5,76.79
55.14,0.94,2020-11-16T14:16:23Z,2754,5,29.41
75.62,0.97,2020-11-16T14:15:20Z,2753,4,39.07
75.88,0.97,2020-11-16T14:14:36Z,2752,5,55.65
84.88,0.98,2020-11-16T14:13:31Z,2751,5,56.58
76.83,0.97,2020-11-16T14:12:42Z,2750,5,44.82
77.17,0.96,2020-11-16T14:11:53Z,2749,5,45.01
74.75,0.97,2020-11-13T16:03:49Z,2748,5,64.78
70.73,0.96,2020-11-13T16:02:39Z,2747,5,76.62
67.72,0.98,2020-11-13T16:01:28Z,2746,4,40.63
76.96,0.99,2020-11-13T15:59:08Z,2745,5,59
70.36,0.96,2020-11-13T14:02:59Z,2744,5,104.37
69.59,0.96,2020-11-13T14:00:37Z,2743,5,51.03
67.88,0.97,2020-11-13T13:59:32Z,2742,4,62.22
70.25,0.96,2020-11-13T13:58:19Z,2741,5,87.81
71.66,0.97,2020-11-13T13:45:13Z,2740,5,113.47
65.28,0.96,2020-11-10T13:37:40Z,2739,5,83.78
81.16,0.97,2020-11-10T12:35:46Z,2738,5,68.99
72.39,0.97,2020-11-10T12:34:52Z,2737,5,66.36
76.77,0.99,2020-11-10T12:33:38Z,2736,5,53.74
68.35,0.96,2020-11-10T12:32:40Z,2735,5,41.01
70.08,0.97,2020-11-10T12:31:43Z,2734,5,35.04
71.23,0.96,2020-11-10T12:31:01Z,2733,5,30.87
81.99,0.99,2020-11-10T12:30:21Z,2732,5,73.79
66.95,0.97,2020-11-10T12:28:34Z,2731,5,47.98
70.92,0.98,2020-11-10T12:27:30Z,2730,5,40.19
69.18,0.99,2020-11-10T11:26:31Z,2729,4,89.93
71.33,0.97,2020-11-10T11:25:00Z,2728,5,30.91
65.92,0.96,2020-11-06T15:40:47Z,2727,4,74.71
65.46,0.95,2020-11-06T15:39:22Z,2726,5,73.1
80.51,0.99,2020-11-06T15:37:58Z,2725,5,36.23
81.21,0.98,2020-11-05T11:44:14Z,2724,5,44.66
58.03,0.94,2020-11-05T11:43:37Z,2723,5,29.02
71.77,0.97,2020-11-05T11:42:45Z,2722,5,84.93
72.95,0.97,2020-11-03T14:10:33Z,2721,5,44.98
75.83,0.98,2020-11-03T14:09:41Z,2720,5,56.88
76.72,0.98,2020-11-03T14:08:45Z,2719,5,98.46
61.1,0.98,2020-11-03T14:01:19Z,2718,5,24.44
64.9,0.96,2020-11-02T10:58:18Z,2717,4,69.22
67.55,0.98,2020-10-30T11:19:05Z,2716,4,50.66
63.21,0.96,2020-10-30T11:18:04Z,2715,4,89.54
65.8,0.96,2020-10-30T11:16:33Z,2714,5,109.66
67.18,0.97,2020-10-30T11:14:34Z,2713,5,75.02
69.73,0.96,2020-10-30T10:49:13Z,2712,5,55.78
73.01,0.97,2020-10-30T10:48:14Z,2711,4,40.16
77.61,0.96,2020-10-30T10:17:55Z,2710,5,65.97
75.84,0.98,2020-10-30T10:16:58Z,2709,5,111.23
