wpm,accuracy,time,game_num,racers_num,points
106.05,0.98,2020-10-06T16:58:17Z,2948,5,100.75
96.52,0.98,2020-10-04T05:47:02Z,2947,5,43.44
90.08,0.96,2020-10-03T21:57:41Z,2946,5,69.06
114.16,1,2020-10-01T22:18:51Z,2945,5,24.74
101.34,0.98,2020-10-01T22:18:19Z,2944,5,62.49
82.51,0.95,2020-10-01T14:50:21Z,2943,5,48.13
92.74,0.98,2020-10-01T14:49:37Z,2942,5,142.2
92.91,0.98,2020-10-01T14:44:53Z,2941,4,51.1
94.3,0.98,2020-10-01T14:44:14Z,2940,4,64.44
91,0.97,2020-09-29T17:17:03Z,2939,4,112.23
99.65,0.99,2020-09-29T07:55:06Z,2938,5,76.4
92.2,0.98,2020-09-29T02:21:56Z,2937,5,138.31
114.6,0.98,2020-09-28T21:25:46Z,2936,4,63.03
94.78,0.98,2020-09-28T21:25:14Z,2935,5,67.93
100.79,0.98,2020-09-28T21:13:40Z,2934,5,55.43
94.93,0.96,2020-09-28T21:13:03Z,2933,5,107.59
106.41,0.98,2020-09-28T21:11:50Z,2932,4,88.68
103.04,0.97,2020-09-28T21:11:02Z,2931,5,132.23
109.39,0.98,2020-09-28T21:09:49Z,2930,5,111.21
101.15,0.96,2020-09-28T21:08:54Z,2929,5,72.49
100.6,0.97,2020-09-28T21:08:08Z,2928,5,186.11
96.23,0.98,2020-09-28T21:06:42Z,2927,5,70.57
96.53,0.98,2020-09-28T19:29:20Z,2926,5,77.22
93.37,0.98,2020-09-28T19:28:34Z,2925,5,57.58
102.23,0.98,2020-09-28T19:27:56Z,2924,5,73.26
95.84,0.98,2020-09-28T19:27:14Z,2923,5,54.31
86.97,0.97,2020-09-28T19:26:34Z,2922,5,127.56
98.86,0.99,2020-09-28T19:25:12Z,2921,5,62.61
110.92,0.99,2020-09-28T19:24:34Z,2920,5,123.86
105.6,0.98,2020-09-28T19:23:42Z,2919,5,105.6
99.41,0.98,2020-09-28T19:22:52Z,2918,5,91.13
92.47,0.97,2020-09-28T19:21:10Z,2917,4,134.08
103.17,0.98,2020-09-28T19:19:55Z,2916,5,61.9
92.81,0.97,2020-09-27T23:39:16Z,2915,5,94.36
107.97,0.99,2020-09-27T23:38:18Z,2914,5,75.58
87.21,0.98,2020-09-27T23:37:39Z,2913,4,101.75
85.65,0.95,2020-09-27T19:07:41Z,2912,5,135.62
104.02,0.98,2020-09-27T04:33:17Z,2911,5,124.83
93.26,0.98,2020-09-27T04:32:09Z,2910,5,66.84
91.97,0.97,2020-09-27T04:28:13Z,2909,5,121.09
84.65,0.97,2020-09-27T04:27:03Z,2908,5,91.71
98.5,0.98,2020-09-27T04:25:11Z,2907,5,121.49
87.78,0.97,2020-09-26T23:21:04Z,2906,5,81.93
110.92,0.99,2020-09-25T20:28:22Z,2905,4,118.32
104.78,0.97,2020-09-25T20:27:32Z,2904,5,59.37
101.07,0.98,2020-09-25T20:26:49Z,2903,5,176.88
116.35,1,2020-09-25T20:25:02Z,2902,3,73.69
119.24,0.99,2020-09-25T20:24:30Z,2901,5,83.47
88.48,0.96,2020-09-25T20:23:51Z,2900,5,56.04
95.1,0.97,2020-09-25T20:23:10Z,2899,5,98.27
106.25,0.99,2020-09-25T20:22:14Z,2898,5,100.94
107.08,0.98,2020-09-25T20:19:34Z,2897,5,89.23
96.37,0.98,2020-09-25T19:29:45Z,2896,4,88.34
92.17,0.98,2020-09-25T19:27:39Z,2895,5,93.71
108.43,0.99,2020-09-25T19:26:38Z,2894,5,117.47
101.62,0.98,2020-09-25T19:25:14Z,2893,5,98.23
93.02,0.97,2020-09-25T18:14:49Z,2892,4,83.71
104.37,0.98,2020-09-25T18:12:22Z,2891,5,81.76
94.28,0.97,2020-09-25T18:11:02Z,2890,4,122.56
96.79,0.98,2020-09-25T16:40:15Z,2889,5,74.2
94.74,0.98,2020-09-25T16:39:32Z,2888,5,93.16
89.75,0.97,2020-09-25T16:38:45Z,2887,5,59.83
94.7,0.98,2020-09-25T16:37:59Z,2886,4,64.71
100.51,0.99,2020-09-25T16:35:01Z,2885,5,93.81
97.22,0.98,2020-09-25T16:34:03Z,2884,5,98.84
121.18,0.98,2020-09-24T19:23:51Z,2883,5,76.75
103.83,0.98,2020-09-24T19:23:20Z,2882,5,100.37
91.1,0.97,2020-09-24T19:22:30Z,2881,5,71.36
107.92,0.98,2020-09-24T19:21:41Z,2880,4,80.94
93.07,0.98,2020-09-24T19:21:03Z,2879,5,65.15
105.93,0.99,2020-09-24T19:20:25Z,2878,5,74.15
85.21,0.96,2020-09-24T19:19:45Z,2877,5,38.34
97.21,0.98,2020-09-24T19:19:09Z,2876,5,97.21
93.66,0.97,2020-09-24T19:17:30Z,2875,5,71.81
98.81,0.97,2020-09-24T19:16:41Z,2874,5,70.82
91.52,0.97,2020-09-24T19:16:03Z,2873,5,96.09
96.2,0.98,2020-09-24T19:15:03Z,2872,5,109.02
98.6,0.98,2020-09-24T15:44:43Z,2871,5,110.1
95.67,0.98,2020-09-24T15:43:32Z,2870,5,137.13
90.31,0.97,2020-09-24T15:39:55Z,2869,5,60.21
91.29,0.98,2020-09-24T15:35:23Z,2868,5,82.17
89.6,0.97,2020-09-23T20:40:52Z,2867,5,95.57
102.34,0.99,2020-09-23T20:39:46Z,2866,5,54.58
85.5,0.97,2020-09-23T20:39:13Z,2865,5,34.2
98.7,0.97,2020-09-23T20:38:37Z,2864,5,64.15
114.47,0.99,2020-09-23T20:38:04Z,2863,5,83.95
92.34,0.97,2020-09-23T20:37:28Z,2862,5,89.26
99.37,0.99,2020-09-23T19:42:09Z,2861,5,76.19
96.73,0.99,2020-09-23T06:33:58Z,2860,4,91.9
97.29,0.97,2020-09-23T06:32:24Z,2859,5,152.42
91.69,0.98,2020-09-23T06:31:00Z,2858,5,93.21
88.56,0.98,2020-09-23T06:30:08Z,2857,5,100.37
92.72,0.98,2020-09-23T03:20:09Z,2856,4,100.45
104.86,0.99,2020-09-23T03:19:01Z,2855,4,113.6
102.73,0.99,2020-09-23T03:17:50Z,2854,5,68.49
88.42,0.97,2020-09-23T03:16:56Z,2853,4,66.31
103.6,0.99,2020-09-23T03:15:15Z,2852,5,75.98
92.41,0.97,2020-09-23T03:14:30Z,2851,5,95.49
99.08,0.98,2020-09-23T03:13:21Z,2850,5,75.96
91.61,0.97,2020-09-23T03:12:34Z,2849,5,67.18
100.7,0.98,2020-09-23T01:28:31Z,2848,5,110.77
89.72,0.98,2020-09-23T01:27:34Z,2847,4,80.75
100.35,0.97,2020-09-23T01:26:44Z,2846,4,97
95.45,0.98,2020-09-23T01:25:50Z,2845,5,82.72
91.54,0.97,2020-09-23T01:25:03Z,2844,4,96.12
91.83,0.97,2020-09-23T01:23:58Z,2843,5,97.96
99.17,0.98,2020-09-23T01:22:51Z,2842,5,64.46
96.24,0.98,2020-09-23T01:22:01Z,2841,5,65.77
102.46,0.98,2020-09-23T01:21:09Z,2840,5,56.35
92.06,0.98,2020-09-23T01:20:28Z,2839,4,107.4
95.85,0.99,2020-09-23T00:22:39Z,2838,5,59.11
92.29,0.97,2020-09-23T00:22:00Z,2837,5,109.21
100.17,0.98,2020-09-23T00:21:00Z,2836,5,168.62
91.15,0.97,2020-09-23T00:19:44Z,2835,5,110.9
93.65,0.97,2020-09-22T02:35:50Z,2834,5,79.6
100.42,0.98,2020-09-21T18:14:59Z,2833,5,75.31
92.68,0.98,2020-09-21T04:13:58Z,2832,5,63.33
91.85,0.97,2020-09-21T01:33:25Z,2831,5,104.1
91.3,0.98,2020-09-21T01:32:25Z,2830,5,66.95
98.39,0.98,2020-09-21T00:24:43Z,2829,3,65.59
90.74,0.97,2020-09-19T03:29:21Z,2828,5,125.53
89.34,0.98,2020-09-18T18:22:36Z,2827,5,41.69
97.04,0.98,2020-09-18T18:22:01Z,2826,5,121.3
85.88,0.97,2020-09-18T18:21:02Z,2825,5,50.1
100.85,0.99,2020-09-18T18:20:20Z,2824,4,87.41
104.75,0.99,2020-09-18T18:19:33Z,2823,5,66.34
82.17,0.96,2020-09-18T18:18:58Z,2822,5,57.52
98.96,0.99,2020-09-18T18:18:10Z,2821,5,79.17
89.81,0.98,2020-09-18T18:17:26Z,2820,4,134.72
92.12,0.98,2020-09-18T18:15:05Z,2819,5,44.53
93.02,0.98,2020-09-18T18:06:40Z,2818,5,71.31
97.49,0.99,2020-09-18T18:05:57Z,2817,4,69.87
90.12,0.98,2020-09-18T15:38:18Z,2816,5,67.59
88.34,0.98,2020-09-17T21:00:20Z,2815,4,69.2
104.85,0.98,2020-09-17T19:17:54Z,2814,5,69.9
87.81,0.97,2020-09-17T03:14:08Z,2813,5,54.15
87.48,0.98,2020-09-17T02:34:06Z,2812,5,61.24
93.38,0.99,2020-09-16T22:47:58Z,2811,4,74.71
99.31,0.98,2020-09-16T18:54:26Z,2810,4,52.96
88.48,0.97,2020-09-16T18:18:14Z,2809,3,94.38
90.74,0.98,2020-09-16T18:03:53Z,2808,5,90.74
91.87,0.97,2020-09-16T18:02:48Z,2807,4,93.4
94.74,0.97,2020-09-16T18:01:52Z,2806,5,67.9
98.35,0.97,2020-09-16T18:00:58Z,2805,5,145.89
91.81,0.98,2020-09-16T17:59:15Z,2804,5,42.85
113.67,0.99,2020-09-16T17:57:59Z,2803,5,200.81
110.32,0.98,2020-09-16T17:56:49Z,2802,4,150.77
97.43,1,2020-09-16T17:55:48Z,2801,5,47.09
79.89,0.98,2020-09-16T15:42:35Z,2800,4,39.95
88.31,0.98,2020-09-16T15:39:29Z,2799,5,72.12
100.81,0.98,2020-09-16T15:38:35Z,2798,4,120.97
82.57,0.98,2020-09-16T15:37:31Z,2797,5,77.07
95.16,0.98,2020-09-16T15:34:31Z,2796,5,118.95
77,0.97,2020-09-16T04:52:37Z,2795,5,79.57
95.32,0.98,2020-09-15T23:29:47Z,2794,5,63.55
94.4,0.97,2020-09-14T15:52:18Z,2793,5,53.5
100.86,0.98,2020-09-14T15:46:25Z,2792,4,117.67
83.85,0.98,2020-09-14T05:41:25Z,2791,5,55.9
85.25,0.97,2020-09-14T03:29:36Z,2790,5,85.25
92.43,0.95,2020-09-14T03:26:55Z,2789,5,66.24
104.19,0.99,2020-09-14T03:26:11Z,2788,5,98.98
104.97,0.99,2020-09-14T02:31:15Z,2787,4,211.68
106.66,0.98,2020-09-14T02:27:35Z,2786,5,106.66
94.84,0.99,2020-09-14T02:26:33Z,2785,5,96.42
96.73,0.98,2020-09-14T02:24:45Z,2784,5,51.59
90.84,0.98,2020-09-13T23:38:02Z,2783,4,96.89
83.05,0.98,2020-09-13T23:31:09Z,2782,5,123.2
99.3,0.96,2020-09-13T17:18:41Z,2781,5,69.51
123.37,0.99,2020-09-13T17:16:51Z,2780,5,145.99
99.32,0.98,2020-09-13T17:15:59Z,2779,5,127.47
96.77,0.97,2020-09-13T17:14:49Z,2778,4,158.05
101.23,0.99,2020-09-13T17:13:34Z,2777,5,70.86
93.72,0.97,2020-09-13T17:12:45Z,2776,5,62.48
101.6,0.99,2020-09-13T17:12:01Z,2775,4,110.07
99.2,0.98,2020-09-13T17:11:07Z,2774,5,72.75
96.91,0.96,2020-09-13T17:10:26Z,2773,4,66.22
108.76,1,2020-09-13T17:07:46Z,2772,3,96.07
96.29,0.98,2020-09-13T17:07:04Z,2771,5,72.21
85.27,0.98,2020-09-13T05:41:13Z,2770,5,79.58
106.65,0.97,2020-09-13T05:39:06Z,2769,5,39.1
89.86,0.97,2020-09-13T05:38:30Z,2768,5,65.89
103.09,0.98,2020-09-13T05:36:41Z,2767,5,94.5
109.27,0.99,2020-09-13T05:35:15Z,2766,4,122.02
95.11,0.98,2020-09-13T05:34:21Z,2765,5,79.26
112.33,0.98,2020-09-13T05:33:26Z,2764,5,74.89
111.23,0.99,2020-09-13T05:32:40Z,2763,4,187.23
102.76,0.98,2020-09-13T05:31:11Z,2762,5,125.02
113.28,0.99,2020-09-13T05:29:55Z,2761,3,92.51
88.13,0.97,2020-09-13T05:28:58Z,2760,5,74.91
86.18,0.95,2020-09-13T05:27:47Z,2759,5,38.78
108.95,0.99,2020-09-13T05:23:41Z,2758,5,72.63
84.74,0.98,2020-09-13T05:22:42Z,2757,3,59.32
79.31,0.96,2020-09-13T04:09:21Z,2756,5,47.59
91.6,0.97,2020-09-13T04:02:47Z,2755,5,138.92
97.05,0.98,2020-09-13T04:01:17Z,2754,5,69.55
96.78,0.98,2020-09-13T03:59:37Z,2753,5,75.81
110.77,0.99,2020-09-13T03:58:56Z,2752,5,70.15
95.8,0.98,2020-09-13T03:58:17Z,2751,5,47.9
88.19,0.97,2020-09-13T03:57:11Z,2750,5,49.98
