wpm,accuracy,time,game_num,racers_num,points
52.36,0.96,2021-05-08T14:59:54Z,2992,5,43.64
57.26,0.95,2021-05-08T14:58:37Z,2991,5,52.49
61.28,0.97,2021-05-08T14:57:22Z,2990,5,52.09
58.03,0.96,2021-04-27T05:17:11Z,2989,5,50.29
58.45,0.96,2021-04-27T05:16:04Z,2988,5,45.79
59.01,0.98,2021-04-27T05:14:54Z,2987,5,40.32
55.71,0.96,2021-04-27T05:13:46Z,2986,5,36.21
47.32,0.93,2021-04-27T05:00:39Z,2985,5,43.38
61.95,0.97,2021-04-25T07:07:24Z,2984,5,39.23
51.65,0.95,2021-04-25T07:06:41Z,2983,5,40.46
56.06,0.96,2021-04-25T07:05:26Z,2982,5,48.58
53.49,0.96,2021-04-25T07:04:13Z,2981,5,37.45
57.47,0.96,2021-04-25T07:03:01Z,2980,5,30.65
70.73,0.98,2021-04-25T07:01:48Z,2979,5,81.33
58.39,0.96,2021-04-15T06:26:19Z,2978,5,89.53
58.74,0.97,2021-04-15T03:23:26Z,2977,5,67.55
56.02,0.96,2021-04-15T03:21:58Z,2976,5,36.42
55.62,0.97,2021-04-15T03:20:57Z,2975,5,30.59
56.71,0.96,2021-04-14T06:11:27Z,2974,5,38.75
61.58,0.96,2021-04-14T06:09:59Z,2973,5,41.05
61.51,0.97,2021-04-14T06:09:06Z,2972,5,36.91
53.7,0.95,2021-04-14T06:07:57Z,2971,5,32.22
57.35,0.96,2021-04-14T06:06:52Z,2970,4,77.43
60.78,0.96,2021-04-14T06:04:51Z,2969,5,30.39
59.21,0.97,2021-04-14T06:03:51Z,2968,5,45.39
59.27,0.96,2021-04-14T06:02:31Z,2967,5,45.44
56.73,0.97,2021-04-13T08:28:59Z,2966,5,30.26
54.34,0.96,2021-04-13T08:28:04Z,2965,5,44.38
53.5,0.95,2021-04-13T08:26:26Z,2964,4,41.02
48.13,0.95,2021-04-13T08:23:36Z,2963,4,43.32
57.25,0.96,2021-04-13T08:21:56Z,2962,5,33.4
57.21,0.97,2021-04-13T08:20:54Z,2961,5,51.49
60.6,0.97,2021-04-13T08:19:41Z,2960,5,47.47
58.84,0.99,2021-04-13T08:18:38Z,2959,5,24.52
56.26,0.96,2021-04-13T08:17:09Z,2958,5,90.01
59.11,0.97,2021-04-13T08:15:01Z,2957,5,56.15
51.74,0.95,2021-04-13T08:11:54Z,2956,4,35.36
59.59,0.97,2021-04-13T08:07:59Z,2955,5,21.85
48.29,0.95,2021-04-13T08:07:23Z,2954,4,45.88
45.48,0.95,2021-04-13T08:05:40Z,2953,5,28.05
53.66,0.96,2021-04-10T09:03:00Z,2952,5,61.71
61.34,0.97,2021-04-10T09:01:16Z,2951,4,66.45
61.67,0.98,2021-04-10T08:59:26Z,2950,5,70.92
59.79,0.96,2021-04-10T08:57:36Z,2949,5,42.85
59.29,0.97,2021-04-10T08:56:31Z,2948,5,29.64
60.14,0.98,2021-04-10T08:55:39Z,2947,5,57.13
56.28,0.96,2021-04-10T08:54:28Z,2946,4,36.58
52.79,0.96,2021-04-10T08:53:30Z,2945,5,44.87
58.62,0.95,2021-04-10T08:52:11Z,2944,5,24.42
54.32,0.96,2021-04-09T03:02:50Z,2943,5,59.75
64.35,0.98,2021-04-07T12:04:18Z,2942,4,75.08
61.14,0.97,2021-04-07T12:02:51Z,2941,5,32.61
67.4,0.98,2021-04-07T12:01:59Z,2940,5,35.95
59.48,0.97,2021-04-07T12:01:10Z,2939,5,41.63
56.53,0.96,2021-04-07T12:00:11Z,2938,5,79.14
54.79,0.96,2021-04-07T10:33:44Z,2937,5,65.75
64.93,0.99,2021-04-07T10:31:49Z,2936,5,33.55
60.07,0.98,2021-04-07T10:30:43Z,2935,5,43.05
61.93,0.99,2021-04-07T10:29:44Z,2934,5,45.42
54.56,0.95,2021-04-07T10:28:45Z,2933,5,28.19
55.22,0.97,2021-04-07T10:27:00Z,2932,5,28.53
52.01,0.96,2021-04-07T01:35:20Z,2931,5,21.67
55.45,0.98,2021-04-06T06:50:37Z,2930,5,31.42
58.94,0.97,2021-04-06T06:47:23Z,2929,5,51.08
57.38,0.97,2021-04-06T06:45:06Z,2928,5,49.73
58.71,0.96,2021-04-05T11:34:57Z,2927,5,56.76
60.6,0.98,2021-04-05T11:33:29Z,2926,5,54.54
65.41,0.98,2021-04-05T11:31:46Z,2925,5,75.22
53.76,0.95,2021-04-05T11:30:24Z,2924,5,19.71
53.18,0.96,2021-04-05T11:29:42Z,2923,5,54.95
61.67,0.96,2021-04-05T11:28:14Z,2922,5,24.67
66.65,0.97,2021-04-05T11:27:13Z,2921,5,56.65
53.1,0.96,2021-04-05T11:25:59Z,2920,5,34.52
67.22,0.97,2021-04-05T11:24:58Z,2919,5,38.09
57.01,0.97,2021-04-05T11:24:09Z,2918,5,36.11
57.56,0.95,2021-04-05T11:23:06Z,2917,5,57.56
59.52,0.96,2021-04-05T11:17:02Z,2916,4,105.15
60.88,0.96,2021-04-05T11:13:36Z,2915,5,87.27
78.45,0.99,2021-04-05T11:11:47Z,2914,5,35.3
58.13,0.97,2021-04-05T11:10:51Z,2913,5,58.13
65.34,0.97,2021-04-05T11:09:10Z,2912,5,40.29
65.53,0.99,2021-04-05T11:07:57Z,2911,5,39.32
47.92,0.95,2021-03-31T12:10:13Z,2910,5,43.92
53.93,0.96,2021-03-31T12:08:39Z,2909,5,40.44
50.14,0.94,2021-03-31T12:07:31Z,2908,5,30.08
66.17,0.98,2021-03-31T11:58:08Z,2907,5,43.01
67.85,0.98,2021-03-31T11:57:09Z,2906,5,61.06
56,0.96,2021-03-31T11:56:03Z,2905,5,19.6
55.54,0.95,2021-03-31T11:55:21Z,2904,5,28.7
61.31,0.98,2021-03-31T11:54:28Z,2903,5,53.13
58.34,0.96,2021-03-31T11:53:14Z,2902,4,84.59
58.03,0.97,2021-03-31T11:51:15Z,2901,5,30.95
