wpm,accuracy,time,game_num,racers_num,points
80.64,0.97,2021-11-02T03:08:15Z,2549,5,96.76
62.34,0.95,2021-11-02T03:07:04Z,2548,5,38.44
69.99,0.95,2021-11-02T03:05:56Z,2547,5,65.32
89.61,0.98,2021-11-02T03:04:26Z,2546,5,91.1
73.5,0.97,2021-09-03T05:25:47Z,2545,4,64.93
40.53,0.95,2021-08-30T08:39:44Z,2544,5,19.59
89.91,0.99,2021-08-30T07:40:18Z,2543,5,38.96
90.61,0.98,2021-08-30T07:39:24Z,2542,5,63.42
71.33,0.95,2021-08-30T07:38:42Z,2541,5,55.88
87.66,0.99,2021-08-30T07:37:44Z,2540,5,48.21
79.56,0.96,2021-08-30T07:37:07Z,2539,5,64.97
75.86,0.96,2021-08-30T07:36:11Z,2538,5,60.69
81.03,0.97,2021-08-30T07:35:15Z,2537,5,62.12
76.98,0.96,2021-08-30T07:34:17Z,2536,5,73.13
73.45,0.96,2021-08-30T07:33:14Z,2535,5,59.99
75.29,0.96,2021-08-30T07:32:25Z,2534,5,53.96
69.83,0.94,2021-08-30T07:31:21Z,2533,5,50.05
81.75,0.97,2021-05-05T22:22:16Z,2532,5,62.67
69.54,0.94,2021-05-05T22:15:41Z,2531,2,45.2
98.98,0.99,2021-05-05T22:13:29Z,2530,4,34.64
84.48,0.96,2021-05-05T22:09:31Z,2529,5,67.59
84.48,0.96,2021-03-11T21:29:12Z,2528,4,87.3
97.7,0.99,2021-03-11T21:26:20Z,2527,5,78.16
79.66,0.96,2021-03-04T23:41:37Z,2526,4,83.64
63.63,0.95,2021-02-21T23:57:00Z,2525,5,44.54
82.91,0.96,2021-02-15T21:25:42Z,2524,5,64.94
85.97,0.97,2021-02-12T11:02:42Z,2523,5,55.88
77.91,0.97,2021-02-12T11:01:49Z,2522,5,96.08
89.17,0.98,2021-02-12T11:00:05Z,2521,5,107
76.83,0.96,2021-02-10T23:01:54Z,2520,4,115.25
67.09,0.95,2021-02-10T23:00:17Z,2519,5,68.21
88.99,0.97,2021-02-10T22:58:54Z,2518,5,51.91
84.43,0.97,2021-02-08T23:57:30Z,2517,2,78.8
67.26,0.95,2021-01-22T07:44:42Z,2516,5,75.11
83.57,0.99,2021-01-13T05:10:23Z,2515,5,33.43
83.24,0.96,2020-11-02T23:57:51Z,2514,5,76.3
69.12,0.96,2020-11-02T23:56:51Z,2513,5,35.71
60.43,0.92,2020-11-02T23:56:02Z,2512,5,43.31
89.58,0.97,2020-11-02T21:32:13Z,2511,5,73.16
91.74,0.99,2020-11-02T21:30:15Z,2510,5,64.22
73.63,0.96,2020-11-02T21:28:36Z,2509,5,60.13
89.36,0.98,2020-11-02T21:27:12Z,2508,5,49.15
76.1,0.95,2020-11-02T21:26:21Z,2507,5,91.32
89.27,0.97,2020-10-29T23:10:17Z,2506,5,66.95
95.86,0.97,2020-10-29T23:08:47Z,2505,5,65.5
80.53,0.96,2020-10-29T23:07:51Z,2504,5,107.37
87.84,0.96,2020-10-22T23:05:46Z,2503,5,93.69
69.83,0.95,2020-10-22T23:04:33Z,2502,5,53.54
81.72,0.96,2020-10-22T23:03:35Z,2501,5,62.65
69.44,0.95,2020-10-22T23:02:43Z,2500,5,85.64
80.89,0.97,2020-08-18T23:51:48Z,2499,5,66.06
81.6,0.96,2020-08-18T23:51:00Z,2498,5,57.12
77.29,0.96,2020-08-18T23:50:13Z,2497,5,72.14
99.52,0.99,2020-08-18T23:48:53Z,2496,5,44.79
75.33,0.95,2020-08-18T23:48:20Z,2495,5,84.11
85.08,0.96,2020-08-18T23:46:25Z,2494,5,60.97
87.76,0.97,2020-08-17T09:31:27Z,2493,5,122.86
75.32,0.96,2020-08-17T09:30:19Z,2492,4,95.4
64.62,0.94,2020-08-17T09:28:59Z,2491,4,44.16
78.4,0.96,2020-08-17T09:27:45Z,2490,5,165.95
82.07,0.96,2020-08-17T09:25:32Z,2489,5,87.54
99.6,0.97,2020-08-17T09:22:38Z,2488,5,99.6
95.56,0.99,2020-08-17T00:37:56Z,2487,5,25.48
68.37,0.95,2020-08-17T00:37:34Z,2486,5,53.56
99.6,0.99,2020-08-17T00:36:27Z,2485,5,48.14
73.2,0.94,2020-08-17T00:35:47Z,2484,4,68.32
72.65,0.94,2020-08-17T00:34:46Z,2483,4,38.75
76.02,0.96,2020-08-17T00:34:02Z,2482,5,40.55
102.66,0.98,2020-08-08T07:44:52Z,2481,5,61.6
75.13,0.97,2020-08-08T07:44:16Z,2480,5,47.58
79.57,0.95,2020-08-08T07:43:20Z,2479,5,54.37
80.62,0.96,2020-08-03T23:33:58Z,2478,4,69.87
96.71,0.98,2020-08-03T22:45:29Z,2477,5,107.99
79.66,0.96,2020-08-03T22:44:32Z,2476,5,87.63
81.55,0.98,2020-08-03T22:42:58Z,2475,4,63.88
77.06,0.96,2020-08-03T22:15:21Z,2474,5,61.64
88.67,0.97,2020-08-03T00:37:01Z,2473,5,53.2
72.67,0.96,2020-08-03T00:35:19Z,2472,4,73.88
84.76,0.96,2020-08-03T00:33:51Z,2471,5,79.11
82.14,0.97,2020-08-03T00:31:39Z,2470,4,130.05
70.76,0.96,2020-08-03T00:29:24Z,2469,5,125.02
70.79,0.95,2020-07-27T22:56:06Z,2468,5,44.83
79.6,0.95,2020-07-22T01:49:36Z,2467,5,66.33
81.92,0.95,2020-06-25T02:56:06Z,2466,5,54.61
77.19,0.97,2020-06-25T02:54:36Z,2465,5,63.04
73.45,0.96,2020-06-24T23:33:35Z,2464,5,51.41
90.19,0.97,2020-06-24T23:31:06Z,2463,5,79.66
83.55,0.97,2020-06-24T23:29:50Z,2462,5,32.03
79.18,0.94,2020-06-24T23:29:19Z,2461,5,52.79
111.97,1,2020-06-24T01:56:50Z,2460,5,39.19
78.23,0.96,2020-06-24T01:55:24Z,2459,4,52.16
86.04,0.95,2020-06-24T01:54:23Z,2458,3,45.89
79.44,0.96,2020-06-23T10:28:13Z,2457,5,55.61
62.18,0.94,2020-06-23T10:27:25Z,2456,5,36.27
93.08,0.98,2020-06-22T10:26:17Z,2455,5,43.44
80.3,0.97,2020-06-22T10:25:29Z,2454,5,57.54
70,0.93,2020-06-18T08:11:08Z,2453,4,47.83
75.84,0.97,2020-06-18T08:10:13Z,2452,4,53.09
79.26,0.96,2020-06-18T08:09:02Z,2451,5,72.66
80.05,0.98,2020-06-18T08:08:10Z,2450,5,69.38
85.77,0.97,2020-06-18T08:07:07Z,2449,3,58.61
77.6,0.96,2020-06-18T02:19:41Z,2448,5,78.9
82.21,0.98,2020-06-18T02:18:38Z,2447,5,52.06
70.24,0.95,2020-06-16T00:28:20Z,2446,4,62.04
82.88,0.96,2020-06-11T02:56:27Z,2445,5,58.02
88.12,0.99,2020-06-11T02:55:43Z,2444,5,57.28
80.36,0.97,2020-06-11T02:52:03Z,2443,5,68.31
80.39,0.98,2020-06-11T02:51:16Z,2442,4,44.21
82.48,0.99,2020-06-11T02:49:30Z,2441,5,81.1
79.92,0.97,2020-06-11T02:48:34Z,2440,4,43.96
85.65,0.99,2020-06-11T02:47:47Z,2439,4,58.53
80.63,0.97,2020-06-08T22:15:00Z,2438,5,135.73
73.79,0.95,2020-06-07T22:42:28Z,2437,5,40.58
74.97,0.97,2020-06-04T06:13:52Z,2436,4,68.72
67.19,0.94,2020-06-04T06:12:43Z,2435,5,39.2
94.77,0.99,2020-06-04T06:11:50Z,2434,5,96.35
77.63,0.96,2020-06-04T06:10:32Z,2433,5,58.23
92.79,0.98,2020-06-04T06:09:38Z,2432,5,72.69
88.79,0.97,2020-06-04T06:07:54Z,2431,5,56.24
80.54,0.98,2020-06-04T06:06:37Z,2430,5,71.14
74.89,0.94,2020-06-04T06:04:57Z,2429,5,53.67
98.92,0.99,2020-06-04T06:03:41Z,2428,5,72.54
87.44,0.99,2020-06-04T06:02:54Z,2427,5,51.01
86.13,0.97,2020-06-04T05:59:21Z,2426,4,170.82
74.76,0.94,2020-06-04T05:57:42Z,2425,5,29.9
82.73,0.97,2020-06-04T05:56:49Z,2424,3,180.62
76.18,0.96,2020-06-04T05:55:02Z,2423,5,41.9
76.15,0.96,2020-06-04T05:48:46Z,2422,5,63.46
69.99,0.95,2020-06-04T00:50:21Z,2421,5,41.99
78.61,0.96,2020-06-04T00:48:57Z,2420,5,75.99
79.77,0.95,2020-06-04T00:44:19Z,2419,5,95.73
77.3,0.94,2020-06-04T00:42:24Z,2418,5,34.78
83.83,0.96,2020-06-04T00:36:17Z,2417,5,89.41
78.48,0.98,2020-06-04T00:27:26Z,2416,5,102.02
77.75,0.97,2020-06-02T23:47:27Z,2415,5,41.47
67.92,0.94,2020-06-02T23:44:49Z,2414,5,48.68
79.99,0.98,2020-06-02T23:32:43Z,2413,4,43.99
83.21,0.98,2020-06-02T23:32:10Z,2412,5,51.31
73.12,0.96,2020-05-28T21:19:03Z,2411,5,65.81
77.58,0.99,2020-05-28T09:42:17Z,2410,5,32.32
81.57,0.97,2020-05-28T09:25:53Z,2409,5,65.26
77.65,0.98,2020-05-28T09:24:59Z,2408,5,51.76
77.83,0.96,2020-05-28T09:24:17Z,2407,5,63.56
90.31,0.97,2020-05-28T09:21:57Z,2406,5,54.19
89.16,0.98,2020-05-28T09:21:20Z,2405,4,83.22
69.04,0.95,2020-05-28T09:18:38Z,2404,5,41.43
75.02,0.94,2020-05-28T09:17:54Z,2403,4,102.53
85.77,0.97,2020-05-28T09:16:28Z,2402,5,38.6
75.35,0.96,2020-05-28T09:15:40Z,2401,5,71.58
75.67,0.95,2020-05-28T09:14:35Z,2400,5,100.89
83.45,0.97,2020-05-28T09:11:27Z,2399,5,36.16
86.72,0.96,2020-05-28T09:10:04Z,2398,5,67.93
93.17,0.98,2020-05-28T09:08:56Z,2397,5,66.77
74.79,0.95,2020-05-28T09:08:12Z,2396,5,53.6
69.86,0.95,2020-05-28T09:07:16Z,2395,5,33.77
71.61,0.96,2020-05-28T09:06:07Z,2394,5,63.26
68.01,0.95,2020-05-28T09:04:51Z,2393,5,48.74
65.52,0.93,2020-05-28T02:29:56Z,2392,5,36.03
82.47,0.96,2020-05-28T02:25:40Z,2391,5,81.1
80.03,0.96,2020-05-28T02:24:36Z,2390,5,50.69
86.09,0.97,2020-05-28T02:22:33Z,2389,5,48.79
72.65,0.95,2020-05-28T02:21:52Z,2388,5,37.53
68.93,0.96,2020-05-28T02:21:10Z,2387,4,48.25
80.38,0.95,2020-05-28T02:20:06Z,2386,4,72.34
80.51,0.97,2020-05-28T02:19:04Z,2385,5,37.57
84.52,0.97,2020-05-28T02:17:34Z,2384,2,61.98
85.68,0.97,2020-05-28T02:15:55Z,2383,2,67.12
84.4,0.98,2020-05-28T01:18:39Z,2382,5,52.04
59.7,0.94,2020-05-28T01:17:50Z,2381,5,51.74
88.22,0.99,2020-05-28T00:52:21Z,2380,5,60.28
79.11,0.96,2020-05-28T00:51:24Z,2379,5,61.97
81.54,0.98,2020-05-28T00:50:20Z,2378,5,36.69
81.84,0.97,2020-05-28T00:49:34Z,2377,5,68.2
82.42,0.98,2020-05-28T00:48:35Z,2376,5,63.19
74.27,0.96,2020-05-28T00:47:32Z,2375,5,47.04
80.09,0.97,2020-05-28T00:46:44Z,2374,5,102.78
83.88,0.96,2020-05-28T00:39:55Z,2373,5,75.5
86.84,0.96,2020-05-28T00:38:35Z,2372,5,36.18
86.05,0.96,2020-05-28T00:37:59Z,2371,4,57.36
77.12,0.95,2020-05-28T00:36:56Z,2370,4,39.85
97.06,0.99,2020-05-28T00:35:54Z,2369,5,84.12
81.66,0.97,2020-05-28T00:35:07Z,2368,5,57.16
90.78,0.98,2020-05-28T00:33:49Z,2367,5,119.52
78.27,0.96,2020-05-28T00:32:09Z,2366,4,90.01
78,0.96,2020-05-28T00:30:53Z,2365,5,80.6
63.66,0.94,2020-05-28T00:29:35Z,2364,5,46.68
74.04,0.93,2020-05-27T02:16:16Z,2363,5,34.55
70.28,0.95,2020-05-27T02:15:24Z,2362,5,42.17
90.38,0.97,2020-05-27T02:14:36Z,2361,5,52.72
91.63,0.98,2020-05-27T02:13:51Z,2360,5,91.63
88.06,0.98,2020-05-27T02:12:51Z,2359,5,67.52
94.8,0.99,2020-05-27T02:12:05Z,2358,5,61.62
85.92,0.96,2020-05-27T02:10:27Z,2357,5,57.28
68.86,0.96,2020-05-27T02:09:45Z,2356,4,29.84
68.2,0.96,2020-05-27T02:09:01Z,2355,5,78.43
89.57,0.98,2020-05-27T02:06:15Z,2354,5,73.15
71.81,0.94,2020-05-27T02:03:49Z,2353,5,57.45
80.13,0.96,2020-05-27T02:02:44Z,2352,5,66.78
83.59,0.96,2020-05-27T02:00:15Z,2351,5,55.73
80.58,0.96,2020-05-26T00:13:22Z,2350,5,48.35
73.74,0.95,2020-05-26T00:12:27Z,2349,5,74.97
77.86,0.96,2020-05-26T00:11:06Z,2348,5,63.59
76.92,0.97,2020-05-26T00:10:12Z,2347,5,30.77
76.92,0.94,2020-05-26T00:07:50Z,2346,2,71.79
94.31,0.98,2020-05-26T00:06:34Z,2345,5,58.16
83.07,0.97,2020-05-26T00:03:40Z,2344,4,73.38
85.12,0.96,2020-05-26T00:00:56Z,2343,4,69.51
87.28,0.97,2020-05-25T23:59:30Z,2342,4,65.46
84.61,0.97,2020-05-25T23:57:59Z,2341,5,81.79
88.74,0.97,2020-05-25T23:56:04Z,2340,5,45.85
76.99,0.95,2020-05-25T23:52:19Z,2339,5,65.45
85.86,0.96,2020-05-25T23:50:21Z,2338,5,114.48
74.04,0.95,2020-05-25T23:49:04Z,2337,4,92.55
65.29,0.94,2020-05-25T23:46:15Z,2336,5,74
78.32,0.97,2020-05-25T03:03:14Z,2335,4,45.69
79.34,0.96,2020-05-25T02:55:45Z,2334,5,68.76
76.9,0.96,2020-05-25T02:52:35Z,2333,5,61.52
80.75,0.96,2020-05-25T02:43:12Z,2332,5,48.45
78,0.96,2020-05-25T02:42:13Z,2331,5,32.5
73.67,0.95,2020-05-25T02:35:53Z,2330,5,57.71
100.01,0.97,2020-05-25T02:34:26Z,2329,5,35
64.76,0.93,2020-05-25T02:33:56Z,2328,5,43.18
69.74,0.95,2020-05-25T02:33:05Z,2327,5,23.25
91.47,0.96,2020-05-25T02:30:10Z,2326,5,57.93
76.58,0.96,2020-05-25T02:29:03Z,2325,5,52.33
79.29,0.96,2020-05-25T02:28:15Z,2324,5,116.29
66.53,0.95,2020-05-25T02:24:52Z,2323,5,32.15
64.09,0.95,2020-05-25T02:23:39Z,2322,5,56.62
58.8,0.95,2020-05-20T22:22:20Z,2321,4,102.9
54.98,0.94,2020-05-20T22:15:14Z,2320,3,48.56
57.28,0.95,2020-05-20T22:13:14Z,2319,3,39.14
76.9,0.97,2020-05-11T11:01:17Z,2318,5,44.86
72.98,0.96,2020-05-03T07:22:08Z,2317,5,53.52
80.86,0.97,2020-05-03T07:14:12Z,2316,5,99.72
78.86,0.96,2020-05-03T06:26:32Z,2315,5,84.12
92.77,0.98,2020-05-03T06:24:18Z,2314,5,57.21
75.38,0.97,2020-05-03T06:23:07Z,2313,5,72.87
67.62,0.95,2020-05-03T06:20:52Z,2312,5,83.4
69.52,0.95,2020-05-03T06:18:16Z,2311,5,33.6
84.93,0.97,2020-04-27T10:35:22Z,2310,5,50.96
71.71,0.95,2020-04-27T10:34:34Z,2309,5,66.93
82.68,0.97,2020-04-27T10:33:14Z,2308,5,93.7
83.5,0.96,2020-04-27T10:30:26Z,2307,5,55.67
74.28,0.96,2020-04-27T10:29:40Z,2306,4,112.66
77.08,0.96,2020-04-27T10:27:46Z,2305,5,97.63
80.12,0.97,2020-04-21T22:34:05Z,2304,5,104.16
73.79,0.96,2020-04-21T05:11:47Z,2303,5,51.65
69.79,0.95,2020-04-21T05:10:46Z,2302,5,52.34
83.14,0.97,2020-04-21T05:09:53Z,2301,4,67.9
89.7,0.98,2020-04-21T05:08:43Z,2300,5,67.28
75.82,0.95,2020-04-21T05:06:38Z,2299,3,73.29
79.99,0.98,2020-04-21T05:05:30Z,2298,5,46.66
80.05,0.96,2020-04-21T05:04:27Z,2297,5,65.37
76.64,0.96,2020-04-21T05:03:01Z,2296,5,80.47
72.19,0.96,2020-04-21T05:01:22Z,2295,4,44.52
82.5,0.96,2020-04-21T05:00:38Z,2294,5,57.75
81.15,0.97,2020-04-21T04:59:40Z,2293,5,68.98
65.89,0.94,2020-04-21T04:58:43Z,2292,5,30.75
86.1,0.97,2020-04-21T04:56:47Z,2291,4,101.89
84.01,0.98,2020-04-21T04:55:31Z,2290,5,35.01
89.86,0.98,2020-04-21T04:54:46Z,2289,4,35.94
69.01,0.96,2020-04-21T04:54:13Z,2288,4,44.86
74.84,0.96,2020-04-21T04:53:13Z,2287,4,116.01
65.38,0.94,2020-04-21T04:51:20Z,2286,5,46.86
73.44,0.96,2020-04-17T02:44:24Z,2285,5,96.7
72.58,0.97,2020-04-17T02:43:02Z,2284,5,44.76
74.48,0.96,2020-04-17T02:42:04Z,2283,5,53.37
58.6,0.93,2020-04-17T02:41:15Z,2282,5,40.04
91.09,0.97,2020-04-17T02:40:17Z,2281,3,63.76
72.63,0.95,2020-04-17T02:39:32Z,2280,5,72.63
88.33,0.96,2020-04-17T02:37:53Z,2279,5,47.11
80.62,0.97,2020-04-16T07:02:16Z,2278,5,83.3
82.79,0.96,2020-04-16T06:59:55Z,2277,5,59.33
78.89,0.98,2020-04-16T06:14:28Z,2276,4,71
71.59,0.94,2020-04-16T06:13:36Z,2275,5,58.46
84.46,0.97,2020-04-15T08:19:55Z,2274,5,61.94
85.59,0.97,2020-04-15T03:23:07Z,2273,5,111.27
89.65,0.98,2020-04-15T03:17:28Z,2272,3,64.25
87.94,0.98,2020-04-15T03:16:40Z,2271,5,98.2
93.33,0.97,2020-04-15T03:02:36Z,2270,5,71.55
92.26,0.97,2020-04-15T03:00:36Z,2269,5,83.03
79.93,0.96,2020-04-15T02:59:47Z,2268,5,101.24
74.51,0.94,2020-04-15T02:58:45Z,2267,5,67.06
87.56,0.97,2020-04-15T02:57:34Z,2266,5,68.59
79.37,0.96,2020-04-15T02:55:41Z,2265,5,88.63
103.7,0.99,2020-04-15T02:53:40Z,2264,5,44.94
92.72,0.98,2020-04-15T02:53:09Z,2263,5,40.18
85.56,0.97,2020-04-15T02:50:46Z,2262,5,64.17
73.55,0.95,2020-04-15T02:49:51Z,2261,5,72.32
79.6,0.96,2020-04-15T02:47:40Z,2260,4,82.26
89.83,0.98,2020-04-15T02:46:25Z,2259,5,50.91
85.87,0.96,2020-04-15T02:45:33Z,2258,4,97.32
74.21,0.96,2020-04-15T02:44:29Z,2257,5,55.66
81.22,0.96,2020-04-15T02:43:37Z,2256,5,60.92
77.9,0.95,2020-04-15T02:42:37Z,2255,4,115.55
84.05,0.96,2020-04-15T02:40:55Z,2254,5,60.23
69.65,0.97,2020-04-14T08:25:12Z,2253,4,48.76
65.24,0.94,2020-04-14T08:11:16Z,2252,5,27.18
80.59,0.95,2020-04-14T08:10:03Z,2251,5,88.65
75.25,0.95,2020-04-14T08:09:03Z,2250,5,77.75
79.51,0.96,2020-04-14T08:07:50Z,2249,5,56.98
90.44,0.97,2020-04-14T08:06:47Z,2248,4,51.25
81.77,0.96,2020-04-14T08:05:42Z,2247,4,110.38
79.74,0.97,2020-04-14T08:04:01Z,2246,5,50.5
59.59,0.94,2020-04-14T08:02:21Z,2245,4,43.7
62.3,0.93,2020-04-14T07:59:13Z,2244,5,30.11
78.19,0.96,2020-04-14T07:57:59Z,2243,3,129.02
77.37,0.96,2020-04-14T07:55:58Z,2242,3,60.61
83.85,0.94,2020-04-14T07:54:22Z,2241,5,62.89
79.82,0.96,2020-04-14T07:52:26Z,2240,5,89.13
90.63,0.96,2020-04-14T07:50:11Z,2239,5,60.42
