wpm,accuracy,time,game_num,racers_num,points
105.61,0.98,2021-03-23T03:53:14Z,2892,2,96.81
94.5,0.97,2021-03-23T03:50:56Z,2891,3,114.98
80.83,0.98,2021-03-23T03:49:08Z,2890,3,51.19
94.12,0.98,2021-03-23T03:47:37Z,2889,2,70.59
107.86,0.98,2021-03-23T03:46:08Z,2888,3,89.89
51.53,0.97,2021-03-23T03:45:07Z,2887,2,46.38
60.54,0.98,2021-03-23T03:42:48Z,2886,3,47.42
60.7,0.98,2021-03-23T03:40:56Z,2885,2,54.63
91.79,0.97,2021-03-23T02:36:33Z,2884,5,47.42
105.99,0.98,2021-03-23T02:35:57Z,2883,4,74.19
101.84,0.98,2021-03-23T02:35:05Z,2882,5,113.72
87.14,0.97,2021-03-23T02:33:57Z,2881,5,50.83
92.11,0.97,2021-03-23T02:32:49Z,2880,5,39.91
103.78,0.98,2021-03-23T02:32:18Z,2879,5,64
107.24,0.99,2020-12-16T22:19:25Z,2878,5,91.15
101.18,0.99,2020-12-16T22:18:43Z,2877,5,104.55
105.16,0.99,2020-12-16T22:17:52Z,2876,5,57.84
99.59,0.98,2020-12-16T22:17:26Z,2875,5,43.16
119.62,0.99,2020-12-16T22:15:56Z,2874,5,79.75
110.89,0.99,2020-12-16T22:15:22Z,2873,5,72.08
74.24,0.95,2020-12-16T22:11:53Z,2872,5,45.78
116.25,0.99,2020-12-16T22:11:06Z,2871,5,69.75
100.56,0.99,2020-12-16T22:10:35Z,2870,5,75.42
88.26,0.95,2020-12-16T22:09:49Z,2869,5,85.32
89.55,0.98,2020-12-16T22:08:54Z,2868,5,164.17
98.67,0.98,2020-12-16T22:07:28Z,2867,4,129.92
90.46,0.98,2020-12-16T22:06:27Z,2866,5,102.52
108,0.99,2020-12-16T22:05:18Z,2865,5,93.6
86.86,0.97,2020-12-16T22:04:37Z,2864,5,91.21
112.03,0.98,2020-12-16T22:03:35Z,2863,5,97.09
102.78,0.97,2020-12-16T22:02:46Z,2862,5,56.53
92.24,0.96,2020-12-16T22:02:10Z,2861,5,46.12
82.35,0.96,2020-02-27T23:53:18Z,2860,4,57.64
108.89,0.99,2020-02-27T23:21:58Z,2859,3,141.55
87.94,0.97,2020-02-27T19:34:28Z,2858,5,63.03
99.26,0.98,2020-02-27T19:32:41Z,2857,5,100.92
96.83,0.98,2020-02-27T19:31:52Z,2856,4,74.24
96.69,0.98,2020-02-27T19:30:58Z,2855,2,87.02
94.04,0.97,2020-02-27T19:30:05Z,2854,4,84.64
94.28,0.98,2020-02-27T19:29:16Z,2853,5,91.14
106.09,0.98,2020-02-27T19:28:10Z,2852,4,88.41
112.61,0.99,2020-02-27T19:27:25Z,2851,5,93.84
102.25,0.98,2020-02-27T19:26:38Z,2850,4,78.39
115.13,0.99,2020-02-27T19:25:50Z,2849,5,82.51
101.63,0.98,2020-02-27T19:24:58Z,2848,5,81.31
95.01,0.97,2020-02-26T17:29:29Z,2847,5,109.26
112.34,0.99,2020-02-26T17:28:28Z,2846,5,86.13
97.78,0.98,2020-02-26T17:27:40Z,2845,4,81.48
92.44,0.98,2020-02-26T17:26:27Z,2844,5,218.78
103.8,0.98,2020-02-26T17:24:24Z,2843,5,81.31
104.88,0.97,2020-02-26T17:23:35Z,2842,5,120.61
108.54,0.99,2020-02-26T17:22:35Z,2841,5,85.02
107.24,0.99,2020-02-26T12:03:36Z,2840,5,103.67
102.52,0.99,2020-02-26T12:02:52Z,2839,5,66.64
111.55,0.99,2020-02-26T12:02:17Z,2838,3,79.95
96.13,0.99,2020-02-26T12:01:44Z,2837,5,68.89
108.31,0.99,2020-02-26T12:01:09Z,2836,4,175.1
97.6,0.99,2020-02-26T11:59:58Z,2835,4,53.68
89.91,0.98,2020-02-26T11:59:28Z,2834,4,64.44
