wpm,accuracy,time,game_num,racers_num,points
129.53,0.99,2021-11-18T02:18:09Z,2936,5,77.72
141.07,0.99,2021-11-18T02:17:27Z,2935,5,79.94
140.25,0.98,2021-11-18T02:16:42Z,2934,5,84.15
136.17,0.99,2021-11-18T02:15:39Z,2933,5,102.13
122.86,0.97,2021-11-18T02:14:49Z,2932,4,88.05
128.71,0.98,2021-11-18T02:13:29Z,2931,5,133
153.14,0.99,2021-11-18T02:04:58Z,2930,4,104.65
137.66,0.99,2021-11-18T02:04:28Z,2929,5,142.24
141.59,1,2021-11-18T02:01:44Z,2928,5,146.31
135.42,0.99,2021-11-18T01:59:10Z,2927,5,54.17
141.25,1,2021-11-18T01:58:45Z,2926,4,94.16
128.41,0.99,2021-11-18T01:52:20Z,2925,4,77.05
139.84,1,2021-11-18T01:50:24Z,2924,5,128.19
132.36,0.99,2021-11-18T01:47:34Z,2923,5,86.03
131.59,0.99,2021-11-17T21:11:14Z,2922,4,78.96
126.47,0.98,2021-11-17T21:10:44Z,2921,4,130.69
130.28,0.99,2021-11-17T21:00:52Z,2920,5,110.74
128.09,0.99,2021-11-17T20:56:27Z,2919,5,125.96
132.76,0.99,2021-11-17T20:54:33Z,2918,5,104
131.72,0.99,2021-11-17T20:53:45Z,2917,3,87.81
151.44,0.99,2021-11-17T01:21:09Z,2916,5,93.39
146.37,0.99,2021-11-16T01:40:19Z,2915,4,102.46
133.25,0.98,2021-11-16T01:35:36Z,2914,2,104.38
129.68,0.99,2021-11-16T01:33:03Z,2913,3,82.13
136.25,0.98,2021-11-16T01:18:12Z,2912,2,113.54
149.36,0.99,2021-11-16T00:11:48Z,2911,5,87.13
130.62,0.99,2021-11-16T00:01:34Z,2910,4,102.32
140.73,1,2021-11-16T00:00:22Z,2909,4,105.55
139.59,0.99,2021-11-15T23:57:53Z,2908,4,86.08
137.99,0.98,2021-11-15T23:57:05Z,2907,4,59.79
157.59,0.99,2021-11-15T23:55:43Z,2906,5,60.41
131.95,0.99,2021-11-15T23:39:44Z,2905,4,74.77
128.56,0.99,2021-11-15T23:37:04Z,2904,3,158.56
147.59,0.99,2021-11-15T23:36:13Z,2903,3,135.29
141.83,1,2021-11-15T23:35:32Z,2902,4,66.19
144.45,0.99,2021-11-15T23:33:58Z,2901,5,197.41
145.4,0.99,2021-11-15T23:32:29Z,2900,5,55.74
136.88,0.99,2021-11-15T23:31:59Z,2899,3,68.44
136.14,1,2021-11-15T23:31:08Z,2898,5,106.65
134.41,0.99,2021-11-15T23:30:13Z,2897,4,96.33
128.68,0.98,2021-11-15T23:29:33Z,2896,4,85.79
140.42,0.99,2021-11-15T23:27:31Z,2895,5,100.63
138.97,0.99,2021-11-15T23:25:59Z,2894,4,99.6
139.5,0.99,2021-11-15T23:24:52Z,2893,4,153.45
136.46,0.98,2021-11-15T23:22:21Z,2892,5,136.46
128.21,0.99,2021-11-15T23:20:28Z,2891,3,111.11
133.37,1,2021-11-15T23:15:01Z,2890,4,111.14
134,0.98,2021-11-15T23:13:53Z,2889,5,142.94
135.33,1,2021-11-15T18:24:11Z,2888,4,85.71
134.27,0.99,2021-11-15T17:57:01Z,2887,5,123.08
127.85,0.97,2021-11-15T17:56:24Z,2886,5,44.75
138.12,0.99,2021-11-15T17:51:51Z,2885,4,110.5
138.63,0.99,2021-11-15T17:40:52Z,2884,4,106.29
