wpm,accuracy,time,game_num,racers_num,points
72.67,0.98,2021-11-03T20:41:39Z,2581,5,46.03
81.82,0.98,2021-11-03T20:26:37Z,2580,5,58.64
98.79,0.99,2021-11-03T20:25:46Z,2579,5,60.92
78.56,0.97,2021-10-29T08:59:23Z,2578,5,51.07
75.77,0.97,2021-10-29T08:58:33Z,2577,4,89.66
87.43,0.98,2021-10-28T13:37:48Z,2576,5,68.48
81.9,0.98,2021-10-28T13:29:26Z,2575,5,80.53
94.04,0.99,2021-10-28T13:28:21Z,2574,5,50.16
92.13,0.99,2021-08-26T11:43:50Z,2573,4,87.53
81.42,0.98,2021-08-26T11:42:52Z,2572,5,84.14
94.51,1,2021-08-26T11:41:49Z,2571,5,20.48
82.58,0.98,2021-08-17T10:41:30Z,2570,5,78.46
78.97,0.96,2021-01-13T19:27:50Z,2569,5,47.38
77.26,0.97,2021-01-13T19:25:39Z,2568,5,33.48
83.3,0.98,2021-01-13T19:23:17Z,2567,5,97.19
81.79,0.97,2021-01-13T11:46:54Z,2566,5,46.35
83.84,0.98,2021-01-12T21:19:18Z,2565,2,83.84
76.65,0.97,2021-01-12T21:17:38Z,2564,5,66.43
89.79,0.98,2021-01-12T19:45:28Z,2563,5,31.43
80.31,0.96,2021-01-12T19:43:49Z,2562,5,37.48
85.26,0.98,2021-01-12T15:59:09Z,2561,5,79.57
82.47,0.97,2021-01-05T21:08:59Z,2560,5,41.24
84.83,0.99,2021-01-05T21:08:20Z,2559,5,41
85.46,0.99,2021-01-05T21:07:21Z,2558,5,85.46
86.51,0.98,2021-01-05T21:06:23Z,2557,5,50.46
72.8,0.96,2021-01-02T13:00:50Z,2556,5,35.19
79.73,0.98,2020-12-31T08:11:42Z,2555,5,41.2
77.47,0.98,2020-12-30T22:04:19Z,2554,4,63.27
81.31,0.98,2020-12-30T22:00:12Z,2553,5,51.5
74.66,0.97,2020-12-30T21:59:31Z,2552,5,39.82
76.59,0.96,2020-12-30T21:58:54Z,2551,5,58.72
83.03,0.98,2020-12-30T20:49:16Z,2550,5,83.03
76.04,0.96,2020-12-30T20:48:16Z,2549,5,46.89
78.87,0.97,2020-12-30T19:51:48Z,2548,5,49.95
71.24,0.96,2020-12-30T19:50:21Z,2547,5,35.62
74.98,0.97,2020-10-31T17:41:02Z,2546,5,84.98
73.74,0.97,2020-10-17T19:18:37Z,2545,5,62.68
81.45,0.97,2020-10-17T19:17:40Z,2544,5,90.96
80.57,0.98,2020-10-17T19:12:23Z,2543,5,108.77
98.45,1,2020-10-17T19:10:44Z,2542,5,55.79
81.32,0.97,2020-10-17T19:09:58Z,2541,5,44.73
76.31,0.96,2020-10-15T14:38:44Z,2540,5,67.4
74.72,0.97,2020-10-15T14:37:47Z,2539,5,66
74.73,0.97,2020-10-15T14:28:16Z,2538,5,29.89
80.04,0.98,2020-09-20T11:02:02Z,2537,5,38.68
80.8,0.98,2020-09-20T11:01:25Z,2536,5,56.56
77.68,0.97,2020-09-20T09:56:20Z,2535,4,108.75
77.05,0.97,2020-09-20T09:53:16Z,2534,5,79.62
75.64,0.97,2020-09-20T09:52:06Z,2533,4,79.42
80.78,0.98,2020-09-20T09:51:02Z,2532,4,43.08
93.91,1,2020-09-20T09:49:54Z,2531,5,20.35
85.9,0.98,2020-09-20T09:45:56Z,2530,5,98.78
83.75,0.98,2020-09-20T08:03:54Z,2529,5,55.83
98.35,1,2020-09-20T07:44:08Z,2528,3,67.2
86.84,0.98,2020-09-20T07:43:00Z,2527,5,96.97
77.16,0.97,2020-09-20T07:41:50Z,2526,5,55.3
83.55,0.98,2020-09-20T07:40:41Z,2525,5,41.78
81.09,0.98,2020-09-19T21:07:36Z,2524,5,62.17
79.79,0.97,2020-09-19T21:06:40Z,2523,4,45.21
82.37,0.96,2020-09-19T21:03:17Z,2522,4,38.44
72.7,0.96,2020-09-19T21:00:28Z,2521,4,69.06
71.32,0.97,2020-09-19T20:57:06Z,2520,3,77.26
81.72,0.98,2020-09-19T20:55:28Z,2519,4,59.93
89.99,0.98,2020-09-19T20:52:27Z,2518,5,65.99
78.87,0.98,2020-09-19T20:50:51Z,2517,3,135.39
83.58,0.98,2020-09-19T20:46:37Z,2516,5,44.58
94.99,0.99,2020-09-19T20:45:29Z,2515,5,58.57
80.92,0.97,2020-09-19T15:06:24Z,2514,5,74.18
74.11,0.97,2020-09-18T20:03:45Z,2513,4,49.41
84.24,0.98,2020-09-18T19:58:54Z,2512,5,33.7
74.26,0.97,2020-09-18T19:58:20Z,2511,4,42.08
82.69,0.99,2020-09-18T19:57:34Z,2510,5,60.64
81.14,0.97,2020-09-18T19:56:29Z,2509,5,68.97
78.01,0.98,2020-09-18T19:55:34Z,2508,4,89.71
78.54,0.99,2020-09-18T19:54:23Z,2507,4,70.69
75.38,0.96,2020-09-18T19:53:21Z,2506,2,38.95
79.25,0.97,2020-09-18T19:52:34Z,2505,5,67.36
86.35,0.99,2020-09-18T19:51:28Z,2504,5,97.86
81.59,0.98,2020-01-17T08:33:39Z,2503,5,63.91
77.67,0.97,2019-12-11T15:04:40Z,2502,5,133.33
79.49,0.98,2019-10-09T16:12:23Z,2501,4,51.67
79.73,0.97,2019-10-08T10:28:42Z,2500,4,97.01
86.93,0.98,2019-09-20T14:55:47Z,2499,5,70.99
83.97,0.98,2019-09-20T14:54:41Z,2498,4,109.16
79.1,0.98,2019-09-19T14:16:57Z,2497,5,101.51
70.12,0.98,2019-09-19T14:15:16Z,2496,3,75.96
83.11,0.98,2019-09-19T13:04:53Z,2495,4,102.5
74.16,0.97,2019-09-12T11:50:02Z,2494,5,53.14
89.43,0.99,2019-09-12T09:21:47Z,2493,3,37.26
74.71,0.98,2019-09-05T14:00:47Z,2492,5,145.68
77.39,0.98,2019-09-05T13:58:14Z,2491,3,91.57
80.6,0.98,2019-09-05T10:49:21Z,2490,5,73.88
76.35,0.96,2019-09-05T10:48:27Z,2489,5,59.8
76.76,0.98,2019-09-04T09:15:53Z,2488,4,40.94
84.54,0.98,2019-09-03T12:51:33Z,2487,5,53.54
80.56,0.99,2019-09-02T14:48:08Z,2486,4,56.39
72.87,0.97,2019-09-02T14:13:19Z,2485,4,89.87
76.27,0.98,2019-09-02T14:11:52Z,2484,5,75
78.49,0.98,2019-09-02T13:56:09Z,2483,5,98.11
68.71,0.96,2019-09-02T13:14:11Z,2482,3,88.18
81.18,0.97,2019-09-02T12:16:13Z,2481,5,41.94
81.78,0.98,2019-08-27T16:58:46Z,2480,5,58.61
85.33,0.98,2019-08-27T16:57:55Z,2479,5,55.46
88.61,0.98,2019-08-27T16:57:08Z,2478,5,42.83
79.47,0.96,2019-08-27T16:56:31Z,2477,5,55.63
87.43,0.99,2019-08-27T16:54:27Z,2476,5,65.57
83.63,0.98,2019-08-27T15:10:06Z,2475,4,66.91
82.72,0.97,2019-08-27T14:48:08Z,2474,4,64.8
77.42,0.98,2019-08-27T14:47:15Z,2473,5,38.71
80.82,0.98,2019-08-27T13:19:37Z,2472,5,68.7
76.03,0.97,2019-08-19T08:11:32Z,2471,5,82.37
79.23,0.97,2019-08-17T13:35:36Z,2470,4,67.34
91.17,0.97,2019-08-17T13:31:43Z,2469,5,47.1
73.42,0.97,2019-08-17T13:30:02Z,2468,5,96.66
85.21,0.98,2019-08-17T13:28:23Z,2467,5,100.84
74.31,0.96,2019-08-17T13:27:12Z,2466,4,104.03
72.33,0.98,2019-08-17T13:25:52Z,2465,5,73.54
73.59,0.99,2019-08-16T14:40:39Z,2464,5,47.83
76.33,0.97,2019-08-16T14:30:11Z,2463,5,68.7
68.48,0.96,2019-08-16T14:26:21Z,2462,5,57.07
75.72,0.98,2019-08-16T14:01:39Z,2461,5,50.48
79.18,0.99,2019-08-16T14:00:41Z,2460,5,166.28
81.42,0.98,2019-08-16T13:38:52Z,2459,4,67.85
78.7,0.98,2019-08-16T10:18:04Z,2458,5,53.78
80.41,0.98,2019-08-16T09:22:32Z,2457,5,44.22
75.4,0.97,2019-08-16T09:18:33Z,2456,5,67.86
75.53,0.97,2019-08-16T09:17:28Z,2455,5,59.16
69.38,0.97,2019-08-16T09:12:49Z,2454,4,60.13
72.91,0.98,2019-08-16T08:42:41Z,2453,5,60.76
72.34,0.97,2019-07-23T14:25:14Z,2452,5,73.55
82.09,0.99,2019-06-26T06:42:32Z,2451,4,60.2
83.54,0.97,2019-06-26T06:41:34Z,2450,4,69.62
99.11,1,2019-06-26T06:40:34Z,2449,5,21.47
86.92,0.98,2019-06-26T06:37:58Z,2448,2,78.23
83.65,0.98,2019-06-26T06:35:46Z,2447,5,75.28
86.3,0.97,2019-06-26T06:32:43Z,2446,5,67.6
81.37,0.98,2019-06-13T07:01:49Z,2445,5,43.4
75.48,0.96,2019-06-13T07:01:08Z,2444,5,52.83
77.94,0.97,2019-06-08T10:13:34Z,2443,4,74.04
82.13,0.97,2019-06-08T10:11:51Z,2442,5,71.18
82.94,0.97,2019-06-08T10:10:30Z,2441,5,67.74
84.25,0.97,2019-06-08T10:09:28Z,2440,5,84.25
83.39,0.97,2019-06-03T20:11:21Z,2439,3,82
73.5,0.96,2019-06-03T18:41:18Z,2438,5,52.67
79.96,0.97,2019-06-02T17:53:37Z,2437,4,49.31
81.73,0.98,2019-06-02T17:52:51Z,2436,5,50.4
83.07,0.97,2019-06-02T17:51:47Z,2435,5,67.84
75.77,0.97,2019-06-02T17:50:28Z,2434,5,46.72
85.5,0.98,2019-05-28T16:18:04Z,2433,5,79.8
84.98,0.96,2019-05-28T16:16:16Z,2432,5,66.57
80.07,0.98,2019-05-28T16:14:14Z,2431,3,70.73
77.65,0.96,2019-05-25T07:59:00Z,2430,4,46.59
76.73,0.97,2019-05-25T07:58:19Z,2429,4,65.22
78.77,0.97,2019-05-25T07:56:54Z,2428,3,63.01
82.44,0.98,2019-05-25T07:56:05Z,2427,3,109.92
83.1,0.97,2019-03-15T18:48:17Z,2426,5,73.4
88.48,0.98,2019-03-15T18:46:25Z,2425,5,47.19
80.85,0.98,2019-03-02T18:50:14Z,2424,4,106.45
84.67,0.97,2019-03-02T18:47:26Z,2423,5,52.21
80.08,0.96,2019-03-02T18:46:41Z,2422,5,50.72
72.96,0.96,2019-03-01T11:23:03Z,2421,5,49.86
76.22,0.97,2019-03-01T11:22:10Z,2420,5,64.79
78.39,0.96,2019-03-01T11:21:14Z,2419,3,50.96
89.32,0.96,2019-02-27T19:12:07Z,2418,5,80.39
89.32,0.99,2019-02-27T19:11:16Z,2417,5,59.55
96.67,0.98,2019-02-27T19:10:27Z,2416,5,56.39
99.23,0.99,2019-02-27T19:09:42Z,2415,5,57.88
80.21,0.97,2019-02-27T19:07:44Z,2414,4,85.56
85.77,0.98,2019-02-27T19:06:33Z,2413,5,60.04
79.02,0.96,2019-02-26T18:45:19Z,2412,4,71.12
84.48,0.98,2019-02-26T18:43:59Z,2411,5,56.32
79.64,0.97,2019-02-26T18:43:11Z,2410,5,73
86.07,0.98,2019-02-26T18:42:16Z,2409,4,127.67
94.82,0.99,2019-02-26T18:40:17Z,2408,5,52.15
79.63,0.97,2019-02-26T18:38:51Z,2407,4,42.47
85.1,0.97,2019-02-26T18:38:13Z,2406,5,114.89
79.91,0.98,2019-02-26T18:36:28Z,2405,4,54.6
71.58,0.95,2019-02-25T20:25:12Z,2404,5,41.75
87.89,0.97,2019-02-25T20:24:28Z,2403,5,65.92
86.44,0.98,2019-02-25T20:23:41Z,2402,5,72.04
81.51,0.98,2019-02-25T20:22:52Z,2401,5,69.28
77.94,0.97,2019-02-25T20:21:54Z,2400,5,51.96
90.22,0.98,2019-02-25T20:20:52Z,2399,5,73.68
86.54,0.97,2019-02-25T20:20:03Z,2398,4,95.2
78.73,0.98,2019-02-25T20:19:09Z,2397,5,69.55
74.08,0.97,2019-02-23T17:23:43Z,2396,4,55.56
70.44,0.96,2019-02-23T17:21:45Z,2395,3,50.48
75.8,0.98,2019-02-23T17:20:49Z,2394,3,66.96
98.27,0.99,2019-02-23T17:19:17Z,2393,5,95
74.74,0.98,2019-02-23T17:18:35Z,2392,4,58.55
77.23,0.97,2019-02-23T17:17:36Z,2391,3,84.96
86.68,1,2019-02-23T17:16:20Z,2390,5,15.89
71.61,0.97,2019-02-22T05:38:36Z,2389,5,58.48
73.88,0.98,2019-02-22T05:37:31Z,2388,1,78.81
77.55,0.97,2019-02-22T05:36:18Z,2387,5,49.11
78.67,0.97,2019-02-22T05:35:29Z,2386,5,60.31
75.34,0.97,2019-02-22T05:34:43Z,2385,4,72.83
74.3,0.96,2019-02-22T05:33:28Z,2384,3,126.31
81.24,0.97,2019-02-22T05:31:25Z,2383,5,63.64
80.88,0.97,2019-02-22T05:30:29Z,2382,5,52.57
76.98,0.97,2019-02-22T05:29:46Z,2381,5,46.19
75.42,0.96,2019-02-22T05:29:01Z,2380,2,124.44
64.77,0.97,2019-02-22T05:26:39Z,2379,4,109.03
79.86,0.98,2019-02-22T05:24:42Z,2378,5,57.23
80.12,0.99,2019-02-22T05:23:45Z,2377,5,70.78
77.43,0.97,2019-02-22T05:22:39Z,2376,5,64.53
78.66,0.97,2019-02-05T07:19:36Z,2375,4,61.61
80.86,0.98,2019-02-05T07:18:46Z,2374,5,39.08
84.79,0.98,2019-02-05T07:17:23Z,2373,4,57.94
88.19,0.98,2019-02-05T07:16:34Z,2372,5,99.95
71.36,0.95,2019-02-05T07:14:20Z,2371,5,54.71
80.79,0.97,2019-02-05T07:13:11Z,2370,5,80.79
80.22,0.98,2019-02-05T07:12:14Z,2369,3,77.55
75.47,0.96,2019-02-05T07:09:27Z,2368,4,101.88
80.42,0.99,2019-01-23T17:49:06Z,2367,5,72.38
75.93,0.97,2019-01-23T17:48:14Z,2366,4,97.45
87.55,0.98,2019-01-23T17:46:00Z,2365,5,78.79
81.46,0.98,2019-01-23T17:44:54Z,2364,5,88.24
78.5,0.97,2019-01-23T17:43:49Z,2363,5,54.95
79.43,0.97,2019-01-23T17:42:58Z,2362,5,55.6
84.48,1,2019-01-23T17:42:11Z,2361,3,57.73
83.39,0.99,2019-01-23T17:41:22Z,2360,5,70.88
74.93,0.96,2019-01-23T17:40:29Z,2359,5,57.44
77.77,0.97,2019-01-23T17:39:34Z,2358,4,98.51
75.12,0.96,2019-01-23T17:38:15Z,2357,2,105.17
91,0.99,2019-01-23T17:36:34Z,2356,5,112.24
77.14,0.98,2018-11-12T08:57:04Z,2355,4,82.29
88.5,0.97,2018-10-21T05:52:02Z,2354,5,61.95
74.58,0.97,2018-10-21T05:47:38Z,2353,5,49.72
82.96,0.97,2018-10-21T05:46:05Z,2352,4,56.69
82.81,0.97,2018-10-20T19:36:29Z,2351,3,111.79
81.21,0.98,2018-10-19T20:16:20Z,2350,5,33.84
72.56,0.97,2018-10-16T15:16:33Z,2349,5,62.89
92.94,0.98,2018-10-14T11:38:52Z,2348,5,61.96
70.76,0.96,2018-10-14T11:38:13Z,2347,5,38.92
74.08,0.96,2018-10-14T08:08:44Z,2346,5,45.69
73.06,0.96,2018-10-14T08:07:49Z,2345,4,57.23
77.02,0.96,2018-10-12T15:26:22Z,2344,4,129.65
79.01,0.98,2018-10-12T15:23:29Z,2343,4,68.48
80.92,0.98,2018-10-12T15:22:19Z,2342,5,99.8
82.73,0.97,2018-10-12T15:20:51Z,2341,5,45.5
77.2,0.97,2018-10-12T15:20:07Z,2340,4,72.05
79.73,0.97,2018-10-12T15:18:45Z,2339,5,57.14
77.84,0.98,2018-10-10T19:10:20Z,2338,3,112.87
70.39,0.95,2018-10-10T19:08:40Z,2337,4,39.89
70.8,0.96,2018-10-04T17:42:51Z,2336,4,55.46
75.32,0.97,2018-10-04T17:41:54Z,2335,5,97.92
73.72,0.97,2018-10-04T17:40:40Z,2334,5,78.63
73.38,0.95,2018-10-04T17:39:29Z,2333,4,26.91
80.68,0.97,2018-10-04T17:38:47Z,2332,5,63.2
76.45,0.96,2018-10-04T17:37:52Z,2331,5,38.23
70.9,0.98,2018-10-04T17:35:55Z,2330,2,46.08
74.48,0.96,2018-10-04T17:34:55Z,2329,5,47.17
82.99,0.99,2018-10-04T17:34:04Z,2328,5,52.56
89.61,0.99,2018-10-04T17:33:13Z,2327,4,40.32
91.29,0.99,2018-10-04T17:32:30Z,2326,5,34.99
71.66,0.97,2018-10-04T17:31:52Z,2325,4,80.02
75.35,0.98,2018-10-04T17:30:35Z,2324,5,38.93
83.85,0.98,2018-07-27T12:58:27Z,2323,5,86.64
84.79,0.99,2018-05-12T16:19:31Z,2322,3,38.15
80.96,0.97,2018-05-12T16:15:47Z,2321,4,90.4
73.9,0.97,2018-05-12T16:14:42Z,2320,5,33.25
76.39,0.98,2018-05-12T16:12:01Z,2319,2,57.29
73.83,0.97,2018-05-12T16:09:16Z,2318,5,87.37
78.34,0.98,2018-05-12T16:07:06Z,2317,5,61.36
71.42,0.96,2018-05-12T16:06:11Z,2316,5,64.27
78.04,0.97,2018-05-12T12:03:30Z,2315,5,53.32
76.04,0.97,2018-05-12T12:02:47Z,2314,4,122.92
68.82,0.97,2018-05-12T12:01:17Z,2313,5,27.53
71.8,0.95,2018-05-06T09:50:38Z,2312,3,51.46
76.62,0.97,2018-05-06T09:49:36Z,2311,5,53.64
62.01,0.96,2018-03-30T05:34:38Z,2310,5,43.41
73.07,0.98,2018-03-30T05:33:31Z,2309,5,30.45
68.01,0.95,2018-03-24T04:52:07Z,2308,5,31.74
74.51,0.96,2018-03-24T04:50:49Z,2307,5,43.46
73.67,0.96,2018-03-09T17:52:28Z,2306,5,87.17
69.83,0.95,2018-03-09T17:51:19Z,2305,5,43.06
74.1,0.96,2018-03-09T17:50:13Z,2304,5,95.09
82.55,0.99,2018-02-27T11:41:35Z,2303,4,55.03
70.88,0.95,2018-02-25T09:49:51Z,2302,5,51.98
77.79,0.98,2018-02-25T09:48:56Z,2301,5,58.34
76.91,0.97,2018-02-25T09:47:51Z,2300,5,58.96
78.75,0.96,2018-02-25T09:46:53Z,2299,5,63
73.31,0.97,2018-02-25T09:45:58Z,2298,3,86.75
74.62,0.97,2018-02-25T09:44:27Z,2297,5,62.18
71.57,0.95,2018-02-24T05:36:21Z,2296,4,56.06
65.73,0.96,2018-02-24T05:35:28Z,2295,5,54.77
82.71,0.97,2018-02-24T05:34:08Z,2294,5,49.63
72.78,0.96,2018-02-24T05:33:21Z,2293,3,60.65
85.98,0.97,2018-02-24T05:32:02Z,2292,5,58.75
66.46,0.94,2018-02-24T05:30:29Z,2291,3,32.12
81.16,0.98,2018-02-24T05:29:38Z,2290,4,33.82
71.21,0.95,2018-02-24T05:12:48Z,2289,5,48.66
63.12,0.94,2018-02-23T05:36:41Z,2288,5,50.49
66.48,0.96,2018-02-23T05:35:36Z,2287,5,37.67
