wpm,accuracy,time,game_num,racers_num,points
48.05,0.95,2019-10-05T02:36:47Z,2877,4,14.41
52.3,0.94,2019-10-05T02:36:02Z,2876,5,36.61
45.82,0.94,2019-10-05T02:34:49Z,2875,4,48.87
47.56,0.95,2019-10-05T02:33:07Z,2874,5,31.71
51.17,0.97,2019-10-05T02:31:58Z,2873,3,31.56
51.26,0.94,2019-10-05T02:31:07Z,2872,5,29.9
53.52,0.98,2019-10-05T02:30:18Z,2871,3,49.06
60.48,0.98,2019-07-28T09:58:38Z,2870,5,62.49
45.5,0.96,2019-07-28T09:57:05Z,2869,3,44.74
52.02,0.95,2019-07-28T09:55:04Z,2868,5,39.01
68.17,0.97,2019-07-28T09:53:34Z,2867,5,54.54
50.4,0.96,2019-07-28T09:52:23Z,2866,3,54.6
55.98,0.96,2019-07-28T09:50:22Z,2865,5,26.12
48.91,0.96,2019-07-28T09:49:34Z,2864,5,85.59
48.35,0.96,2019-07-27T12:53:51Z,2863,5,49.96
45.16,0.95,2019-07-27T12:52:15Z,2862,5,27.85
50.43,0.96,2019-07-27T12:51:14Z,2861,5,52.11
47.22,0.95,2019-07-27T12:49:41Z,2860,5,36.99
59.06,0.98,2019-07-27T12:48:22Z,2859,3,32.48
46.89,0.97,2019-07-27T12:47:24Z,2858,5,58.61
53.11,0.97,2019-07-27T12:45:33Z,2857,5,33.64
43.84,0.94,2019-07-27T12:44:26Z,2856,5,54.07
61.54,0.97,2019-07-27T12:42:19Z,2855,5,20.51
46.76,0.96,2019-07-27T12:41:48Z,2854,4,17.92
48.27,0.96,2019-07-27T12:41:00Z,2853,5,49.08
51.26,0.95,2019-07-27T12:39:31Z,2852,5,32.46
51.6,0.96,2019-07-27T12:38:30Z,2851,5,22.36
53.06,0.97,2019-07-27T12:37:51Z,2850,5,46.87
53.03,0.97,2019-07-27T12:36:15Z,2849,5,43.31
57.79,0.97,2019-07-27T12:35:01Z,2848,2,50.09
52.73,0.96,2019-07-27T12:33:51Z,2847,3,31.64
45.84,0.95,2019-07-27T12:32:50Z,2846,5,35.9
53.35,0.97,2019-07-27T12:31:33Z,2845,5,44.46
51.35,0.95,2019-07-27T12:30:15Z,2844,5,46.22
62.54,0.97,2019-07-27T12:28:58Z,2843,5,32.31
57.99,0.97,2019-07-27T12:28:07Z,2842,4,28.03
59.56,0.95,2019-06-21T23:53:33Z,2841,5,30.77
58.63,0.96,2019-06-21T23:51:29Z,2840,4,45.92
48.37,0.96,2019-06-21T23:50:15Z,2839,2,43.53
54.9,0.96,2019-06-21T23:48:38Z,2838,5,58.56
37.08,0.96,2019-06-21T23:46:55Z,2837,5,17.92
43.88,0.95,2019-06-21T23:45:32Z,2836,4,45.34
52.37,0.95,2019-06-21T23:43:31Z,2835,3,61.97
51.16,0.96,2019-06-21T23:41:09Z,2834,5,55.42
54.88,0.96,2019-05-14T02:21:25Z,2833,4,57.63
48.51,0.95,2019-05-14T02:19:33Z,2832,4,28.3
38.81,0.92,2019-04-27T01:41:05Z,2831,4,27.17
53.95,0.95,2019-04-27T01:39:36Z,2830,5,47.65
49.38,0.94,2019-04-27T01:38:18Z,2829,5,46.09
67.18,0.97,2019-04-27T01:36:47Z,2828,5,26.87
42.66,0.95,2019-04-27T01:35:58Z,2827,4,34.12
54.49,0.94,2019-04-27T01:34:37Z,2826,4,34.51
65.55,0.99,2019-04-27T01:33:27Z,2825,4,42.6
49.5,0.95,2019-04-24T11:28:59Z,2824,5,38.78
55.12,0.96,2019-04-24T11:27:12Z,2823,5,46.85
55.57,0.95,2019-04-24T11:25:43Z,2822,5,43.53
43.03,0.92,2019-03-13T00:45:20Z,2821,5,18.65
48.76,0.96,2019-03-13T00:44:29Z,2820,3,26.82
45.4,0.95,2019-03-13T00:43:27Z,2819,3,34.81
46.91,0.94,2019-03-13T00:40:57Z,2818,4,49.26
57.44,0.97,2019-03-13T00:39:12Z,2817,5,26.81
55.83,0.96,2019-03-13T00:38:20Z,2816,5,52.11
55.04,0.96,2019-03-13T00:36:40Z,2815,4,57.8
69.13,0.98,2019-03-13T00:35:12Z,2814,5,28.8
47.16,0.95,2019-03-13T00:33:24Z,2813,5,46.37
52.98,0.96,2019-03-13T00:31:35Z,2812,5,58.27
45.5,0.95,2019-03-13T00:29:14Z,2811,3,28.06
52.87,0.96,2019-03-13T00:27:55Z,2810,5,54.63
