wpm,accuracy,time,game_num,racers_num,points
74.8,0.96,2021-03-03T05:39:25Z,2549,5,89.76
73.36,0.96,2021-03-03T05:38:20Z,2548,5,58.69
77.47,0.97,2021-03-03T05:37:23Z,2547,5,58.11
78.24,0.96,2021-03-03T05:35:54Z,2546,5,63.9
81.76,0.97,2021-03-03T05:34:59Z,2545,5,85.85
76.85,0.96,2021-03-03T05:34:00Z,2544,5,37.14
80.29,0.97,2021-03-03T05:28:12Z,2543,5,65.57
76.31,0.97,2021-03-03T05:27:10Z,2542,5,80.12
67.58,0.95,2021-03-03T05:25:57Z,2541,5,38.29
82.73,0.98,2021-03-03T05:24:46Z,2540,5,81.35
83.1,0.98,2021-03-03T05:22:36Z,2539,5,49.86
80.66,0.97,2021-03-03T05:21:59Z,2538,5,59.15
70.13,0.96,2021-02-24T05:40:16Z,2537,5,61.95
79.12,0.97,2021-02-24T05:35:56Z,2536,5,52.75
72.28,0.96,2021-02-24T05:32:36Z,2535,5,51.8
77.91,0.98,2020-09-01T02:00:35Z,2534,3,51.94
72.46,0.96,2020-09-01T01:20:55Z,2533,5,35.02
77,0.97,2020-09-01T01:09:12Z,2532,5,62.88
76.55,0.97,2020-08-24T13:57:23Z,2531,5,113.55
77.18,0.97,2020-08-24T13:55:59Z,2530,5,60.46
82.43,0.98,2020-08-24T13:54:10Z,2529,5,57.7
77.14,0.98,2020-08-24T13:52:25Z,2528,5,74.57
80.31,0.96,2020-08-24T13:51:31Z,2527,5,42.83
71.16,0.97,2020-08-24T13:50:41Z,2526,5,58.11
75.15,0.98,2020-08-24T13:48:32Z,2525,5,72.64
69.78,0.96,2020-08-24T13:47:26Z,2524,5,48.85
85.05,0.97,2020-08-24T13:45:38Z,2523,5,56.7
78.12,0.97,2020-08-24T13:44:05Z,2522,5,72.91
81.72,0.98,2020-08-24T13:40:40Z,2521,5,61.29
71.85,0.97,2020-08-24T13:39:38Z,2520,5,57.48
81.56,0.99,2020-08-24T13:38:34Z,2519,5,48.94
80.29,0.97,2020-08-24T13:37:05Z,2518,5,36.13
69.02,0.96,2020-08-24T13:36:19Z,2517,5,51.77
83.93,0.99,2020-08-24T13:23:23Z,2516,5,29.38
74.79,0.98,2020-08-24T13:18:35Z,2515,5,33.65
71.97,0.97,2020-08-24T13:02:25Z,2514,5,37.18
79.34,0.98,2020-08-24T12:55:25Z,2513,5,64.79
73.8,0.96,2020-08-24T12:52:02Z,2512,5,57.81
69.54,0.96,2020-08-24T12:47:52Z,2511,5,37.09
74.87,0.97,2020-08-24T12:47:10Z,2510,5,46.17
69.41,0.96,2020-08-22T18:49:44Z,2509,5,35.86
72.13,0.97,2020-08-22T18:47:10Z,2508,5,34.86
78.51,0.97,2020-08-22T18:40:39Z,2507,5,44.49
69.63,0.95,2020-08-22T18:39:13Z,2506,5,42.94
76.47,0.95,2020-08-22T18:38:25Z,2505,5,58.62
73.71,0.98,2020-08-22T18:36:56Z,2504,5,61.42
80.25,0.99,2020-08-22T18:35:20Z,2503,5,42.8
74.48,0.97,2020-08-22T18:33:56Z,2502,5,31.03
78.59,0.98,2020-08-22T18:32:58Z,2501,5,70.73
76.85,0.97,2020-08-22T18:31:38Z,2500,5,47.39
74.75,0.96,2020-08-22T18:30:22Z,2499,5,64.78
87.12,0.99,2020-08-22T18:29:22Z,2498,5,46.46
76.45,0.97,2020-08-22T18:28:21Z,2497,5,52.24
75.38,0.98,2020-08-22T18:26:44Z,2496,4,50.26
