wpm,accuracy,time,game_num,racers_num,points
74.94,0.97,2021-11-21T17:09:56Z,2985,5,49.96
81.95,0.97,2021-11-21T16:56:11Z,2984,5,42.34
82.14,0.97,2021-11-20T17:19:25Z,2983,5,56.13
67.11,0.96,2021-11-20T05:33:16Z,2982,5,10.07
81.02,0.96,2021-11-19T17:38:07Z,2981,5,74.27
81.79,0.97,2021-11-19T15:30:29Z,2980,5,89.97
83.93,0.97,2021-11-19T14:36:10Z,2979,4,60.15
100.67,1,2021-11-19T14:18:55Z,2978,5,35.23
77.72,0.96,2021-11-19T05:55:32Z,2977,5,80.31
90.83,0.97,2021-11-19T05:52:21Z,2976,5,56.01
76.4,0.96,2021-11-18T06:24:23Z,2975,5,53.48
79.39,0.97,2021-11-18T05:45:37Z,2974,5,95.27
80.63,0.97,2021-11-18T05:35:06Z,2973,5,55.09
82.26,0.98,2021-11-14T10:16:20Z,2972,5,57.58
74.43,0.96,2021-11-12T13:24:28Z,2971,5,48.38
77.97,0.99,2021-11-11T13:42:21Z,2970,4,61.07
88.56,0.97,2021-11-11T10:42:53Z,2969,5,66.42
76.67,0.98,2021-11-10T07:36:58Z,2968,4,100.94
74.52,0.98,2021-11-09T06:31:13Z,2967,3,50.92
84.18,0.97,2021-11-09T06:29:29Z,2966,3,84.18
77.76,0.98,2021-11-09T06:27:53Z,2965,3,44.07
85.13,0.99,2021-11-08T07:12:38Z,2964,5,69.52
79.88,0.97,2021-11-08T06:05:09Z,2963,5,57.25
79.59,0.97,2021-11-06T18:14:22Z,2962,5,58.37
96.27,1,2021-11-06T17:53:03Z,2961,5,64.18
75.05,0.98,2021-11-06T11:20:55Z,2960,4,50.03
85.18,0.99,2021-11-06T05:58:55Z,2959,5,56.78
78.48,0.97,2021-11-03T19:11:52Z,2958,5,47.09
82.68,0.98,2021-11-03T19:02:06Z,2957,4,88.19
87.45,0.99,2021-11-03T17:59:40Z,2956,5,59.76
81.07,0.98,2021-11-02T07:05:24Z,2955,5,59.45
74.85,0.97,2021-11-02T06:16:31Z,2954,5,39.92
75.08,0.96,2021-11-01T08:59:48Z,2953,5,58.81
82.73,0.97,2021-11-01T08:25:09Z,2952,5,55.15
74.47,0.95,2021-11-01T08:21:09Z,2951,5,52.13
80.17,0.98,2021-10-31T11:31:36Z,2950,5,64.13
73.91,0.95,2021-10-31T05:37:46Z,2949,4,45.58
78.66,0.97,2021-10-30T11:26:56Z,2948,5,70.8
89.95,0.99,2021-10-30T10:53:09Z,2947,5,46.47
91.49,0.99,2021-10-25T12:57:54Z,2946,5,79.29
88.72,0.97,2021-10-24T13:26:52Z,2945,5,69.5
79.46,0.96,2021-10-23T16:37:53Z,2944,3,63.57
78.66,0.96,2021-10-23T16:09:21Z,2943,5,34.09
86.32,0.97,2021-10-22T18:18:57Z,2942,5,83.44
84.45,0.97,2021-10-22T15:17:17Z,2941,5,77.41
76.65,0.97,2021-10-22T06:18:25Z,2940,5,37.05
89.54,0.96,2021-10-21T10:58:53Z,2939,5,56.71
86.01,0.99,2021-10-21T08:50:42Z,2938,5,77.4
81.99,0.98,2021-10-19T12:13:46Z,2937,4,87.46
81.49,0.97,2021-10-19T05:45:19Z,2936,5,120.88
82.77,0.98,2021-10-19T05:42:04Z,2935,5,78.64
87.74,0.99,2021-10-18T13:55:58Z,2934,5,55.57
81.88,0.99,2021-10-17T16:08:24Z,2933,5,27.29
74.13,0.97,2021-10-17T08:07:54Z,2932,5,38.3
88.21,0.96,2021-10-17T06:53:52Z,2931,5,85.27
72.57,0.95,2021-10-16T16:23:41Z,2930,5,49.59
88.07,0.98,2021-10-16T15:53:43Z,2929,5,76.33
82.24,0.97,2021-10-16T13:05:45Z,2928,5,60.31
80.64,0.96,2021-10-16T11:14:26Z,2927,4,68.54
84.14,0.98,2021-10-16T11:10:38Z,2926,5,67.31
82.77,0.97,2021-10-16T10:07:37Z,2925,5,84.15
79.3,0.98,2021-10-14T20:54:52Z,2924,5,42.29
82.44,0.95,2021-10-14T10:08:40Z,2923,5,34.35
88.47,0.97,2021-10-14T10:00:13Z,2922,4,73.73
82.05,0.97,2021-10-14T05:49:04Z,2921,5,57.43
86.29,0.98,2021-10-11T08:52:08Z,2920,5,64.72
66.05,0.94,2021-10-11T05:01:44Z,2919,5,15.41
83.19,0.98,2021-10-10T13:54:30Z,2918,5,65.16
84.91,0.97,2021-10-09T20:01:33Z,2917,5,72.17
81.43,0.98,2021-10-09T19:55:03Z,2916,5,59.71
83.01,0.98,2021-10-09T17:36:28Z,2915,5,44.27
85.36,0.97,2021-10-09T13:49:59Z,2914,5,59.75
86.73,0.97,2021-10-09T13:25:37Z,2913,5,44.81
84.5,0.97,2021-10-08T20:35:12Z,2912,5,66.2
78.35,0.97,2021-10-08T15:37:08Z,2911,5,80.96
81.34,0.98,2021-10-07T15:45:32Z,2910,4,70.49
79.82,0.96,2021-10-06T16:50:00Z,2909,4,75.83
81.01,0.98,2021-10-06T09:49:05Z,2908,5,52.66
85.18,0.98,2021-10-05T19:33:56Z,2907,5,56.79
87.53,0.98,2021-10-05T16:11:38Z,2906,5,62.73
86.09,0.98,2021-10-05T09:48:06Z,2905,5,76.05
78.29,0.97,2021-10-05T09:40:07Z,2904,5,52.19
79.98,0.97,2021-10-05T05:54:49Z,2903,5,73.31
72.28,0.96,2021-10-05T05:26:09Z,2902,5,72.28
88.98,0.98,2021-10-04T11:59:05Z,2901,5,50.42
79.64,0.97,2021-10-04T11:55:20Z,2900,5,128.75
76.67,0.97,2021-10-03T18:39:46Z,2899,4,94.56
81.76,0.97,2021-09-30T17:05:55Z,2898,5,57.23
79.53,0.98,2021-09-30T16:14:06Z,2897,5,51.69
81.76,0.97,2021-09-30T16:13:14Z,2896,5,53.14
75.63,0.96,2021-09-30T16:12:19Z,2895,4,66.81
83.98,0.96,2021-09-30T16:02:20Z,2894,5,55.99
82.5,0.98,2021-09-30T16:01:33Z,2893,5,77
78.98,0.97,2021-09-30T15:59:37Z,2892,4,75.03
75.37,0.95,2021-09-29T13:01:10Z,2891,5,42.71
80.99,0.97,2021-09-29T12:54:35Z,2890,5,55.35
79.86,0.97,2021-09-29T12:34:30Z,2889,5,45.25
72.83,0.96,2021-09-28T19:58:55Z,2888,5,57.05
86.96,0.99,2021-09-28T13:52:51Z,2887,5,52.17
85,0.99,2021-09-28T09:13:28Z,2886,5,60.92
78.08,0.97,2021-09-27T12:39:56Z,2885,5,63.76
73.1,0.96,2021-09-27T11:15:04Z,2884,4,92.59
75.26,0.96,2021-09-26T10:16:55Z,2883,5,58.95
74.93,0.97,2021-09-26T10:15:01Z,2882,5,32.47
78.34,0.96,2021-09-25T20:35:12Z,2881,5,54.84
84.37,0.98,2021-09-25T20:34:23Z,2880,5,47.81
76.98,0.97,2021-09-24T15:24:31Z,2879,5,60.3
79.27,0.97,2021-09-22T08:14:18Z,2878,4,110.98
79.9,0.98,2021-09-22T07:44:37Z,2877,5,57.26
77.87,0.96,2021-09-21T10:05:43Z,2876,5,37.64
81.5,0.97,2021-09-21T10:05:01Z,2875,5,52.98
89.1,0.98,2021-09-21T10:03:58Z,2874,5,71.28
86.28,0.98,2021-09-20T13:47:13Z,2873,5,48.89
76.82,0.97,2021-09-20T13:46:10Z,2872,5,38.41
64.56,0.95,2021-09-20T13:45:35Z,2871,5,32.28
74.74,0.97,2021-09-20T13:44:31Z,2870,4,93.43
75.51,0.96,2021-09-16T19:00:25Z,2869,5,36.5
77.64,0.97,2021-09-15T08:58:59Z,2868,3,40.11
