wpm,accuracy,time,game_num,racers_num,points
101.55,0.99,2021-11-22T03:49:12Z,2724,5,55.86
94.47,0.96,2021-11-19T22:04:53Z,2723,5,59.83
99.13,0.98,2021-11-19T22:04:12Z,2722,5,82.61
104.24,0.99,2021-11-19T07:09:07Z,2721,5,50.38
81.97,0.96,2021-11-19T07:08:30Z,2720,5,40.99
98.99,0.98,2021-11-19T07:07:53Z,2719,5,127.04
89.44,0.96,2021-11-19T07:06:54Z,2718,5,70.06
90.53,0.97,2021-11-19T07:06:10Z,2717,4,104.11
99.51,0.97,2021-11-19T07:05:07Z,2716,3,72.97
117.03,0.99,2021-11-16T15:42:07Z,2715,5,70.22
88.87,0.96,2021-11-16T15:40:17Z,2714,5,72.57
79.06,0.96,2021-11-16T15:39:25Z,2713,5,79.06
86.65,0.98,2021-11-16T15:38:23Z,2712,5,56.32
102.22,0.99,2021-11-16T15:37:41Z,2711,5,47.7
82.91,0.97,2021-11-16T15:37:06Z,2710,4,73.24
85.61,0.95,2021-11-09T20:20:21Z,2709,5,45.66
91.14,0.97,2021-11-09T20:18:55Z,2708,5,107.85
94.65,0.97,2021-11-09T20:17:53Z,2707,5,82.03
84.73,0.96,2021-11-09T20:17:08Z,2706,5,60.72
94.26,0.96,2021-11-09T20:16:22Z,2705,5,75.41
86.13,0.99,2021-10-14T05:52:27Z,2704,5,37.32
85.8,0.97,2021-10-14T05:51:57Z,2703,4,107.25
93.62,0.96,2021-10-06T22:05:05Z,2702,5,46.81
97.24,0.98,2021-09-15T05:15:43Z,2701,4,124.79
97.93,0.98,2021-09-07T05:51:54Z,2700,5,50.59
105.89,0.99,2021-09-06T04:07:51Z,2699,5,60.01
101.4,0.98,2021-09-06T04:06:57Z,2698,5,76.05
86.38,0.96,2021-09-06T04:06:14Z,2697,5,56.15
95.62,0.97,2021-08-26T04:14:20Z,2696,5,65.34
84.99,0.97,2021-08-26T04:13:41Z,2695,5,62.32
100.62,0.98,2021-08-25T06:18:57Z,2694,5,50.31
98.07,0.98,2021-08-25T06:18:25Z,2693,5,63.74
91.79,0.98,2021-08-25T06:17:46Z,2692,5,64.25
100.11,0.98,2021-08-25T06:16:48Z,2691,5,48.39
86.25,0.97,2021-08-24T04:34:22Z,2690,5,35.94
99.07,0.98,2021-08-24T04:33:55Z,2689,3,74.3
94.58,0.96,2021-08-24T04:33:22Z,2688,4,105.61
105.38,0.98,2021-08-24T04:24:40Z,2687,5,61.47
107.96,0.98,2021-08-24T04:22:45Z,2686,5,95.37
119.74,1,2021-08-24T04:21:57Z,2685,5,41.91
103.67,0.98,2021-08-20T06:41:59Z,2684,5,72.57
99.68,0.98,2021-08-20T06:41:14Z,2683,5,64.79
102.28,0.98,2021-08-20T06:40:34Z,2682,5,69.89
91.3,0.98,2021-08-20T06:39:19Z,2681,4,59.34
100.42,0.99,2021-08-20T06:38:38Z,2680,4,58.58
102.52,0.99,2021-08-20T06:38:02Z,2679,5,99.1
103.2,0.99,2021-08-20T06:31:23Z,2678,4,56.76
96.11,0.98,2021-08-20T06:30:49Z,2677,4,89.7
87.14,0.96,2021-08-20T06:29:49Z,2676,5,78.43
109.41,1,2021-08-20T06:20:15Z,2675,5,72.94
86.17,0.97,2021-08-20T06:19:40Z,2674,5,86.17
106.5,0.99,2021-08-20T04:59:06Z,2673,5,86.98
85.82,0.97,2021-08-20T04:58:19Z,2672,5,52.93
109.55,1,2021-08-20T04:57:23Z,2671,3,56.6
87.61,0.97,2021-08-20T04:56:55Z,2670,5,46.72
87.41,0.97,2021-08-20T04:55:42Z,2669,5,53.9
98.99,0.98,2021-08-20T04:55:01Z,2668,5,41.25
97.95,0.98,2021-08-20T00:04:06Z,2667,5,60.4
87.32,0.97,2021-08-20T00:03:16Z,2666,4,59.67
94.78,0.98,2021-08-20T00:02:31Z,2665,5,80.56
85.74,0.97,2021-08-20T00:01:50Z,2664,4,80.03
122.56,1,2021-08-20T00:00:55Z,2663,5,38.81
106.52,0.99,2021-08-20T00:00:30Z,2662,5,102.97
104.63,0.98,2021-08-19T23:49:04Z,2661,5,78.47
79.12,0.97,2021-08-19T23:48:15Z,2660,4,59.34
90.47,0.98,2021-08-19T23:47:30Z,2659,4,98.01
108.59,0.99,2021-08-19T23:46:43Z,2658,5,66.97
100.13,0.98,2021-08-19T23:46:05Z,2657,4,103.47
100.83,0.97,2021-08-19T23:40:36Z,2656,3,70.58
94.89,0.96,2021-08-19T23:39:55Z,2655,5,63.26
97.65,0.97,2021-08-19T23:39:19Z,2654,5,63.47
96.59,0.98,2021-08-19T23:38:44Z,2653,5,80.49
102.75,0.97,2021-07-16T08:29:10Z,2652,5,70.21
104.95,0.97,2021-07-16T08:28:29Z,2651,5,48.97
93.88,0.98,2021-07-16T08:28:03Z,2650,5,70.41
104.55,0.97,2021-07-16T08:27:13Z,2649,5,60.99
86.78,0.99,2021-07-16T08:26:43Z,2648,3,43.39
111.07,0.99,2021-07-16T08:24:22Z,2647,4,44.43
98.25,0.96,2021-07-16T08:23:21Z,2646,5,103.16
107.31,0.98,2021-07-16T08:22:12Z,2645,5,50.08
