wpm,accuracy,time,game_num,racers_num,points
106.58,0.99,2021-11-19T20:01:16Z,2624,5,85.26
100.17,0.97,2021-11-19T20:00:37Z,2623,5,103.51
84.97,0.96,2021-11-19T19:59:49Z,2622,5,48.15
102.96,0.98,2021-11-19T19:58:42Z,2621,5,121.84
110.7,0.99,2021-11-19T19:57:44Z,2620,5,73.8
92.84,0.97,2021-11-19T19:57:11Z,2619,4,92.84
107.17,0.98,2021-11-19T19:56:14Z,2618,5,76.8
107.11,0.98,2021-07-20T17:43:43Z,2617,5,99.97
115.74,0.99,2021-07-20T17:42:47Z,2616,5,113.81
113.89,0.97,2021-07-20T17:42:06Z,2615,5,104.4
94.2,0.96,2021-07-20T17:41:24Z,2614,5,56.52
104.48,0.97,2021-07-20T17:40:43Z,2613,5,97.52
96.82,0.97,2021-07-20T17:39:48Z,2612,4,66.16
101.6,0.97,2021-07-20T17:39:03Z,2611,4,125.3
109.97,0.97,2021-07-20T17:37:12Z,2610,5,131.96
119.34,0.98,2021-07-20T17:36:23Z,2609,5,135.26
117.31,0.99,2021-07-20T17:35:35Z,2608,5,93.84
97.92,0.97,2021-07-20T17:34:54Z,2607,5,88.13
123.17,0.99,2021-07-20T17:34:08Z,2606,5,63.64
97.51,0.97,2021-07-20T17:33:40Z,2605,5,123.52
117.03,0.99,2021-07-20T17:31:28Z,2604,5,70.22
114.19,0.99,2021-07-20T17:30:42Z,2603,5,91.35
95.76,0.96,2021-07-20T17:29:54Z,2602,5,59.05
103.84,0.97,2021-07-20T17:29:12Z,2601,4,122.88
103.33,0.97,2021-07-20T17:28:09Z,2600,5,75.78
91.59,0.96,2021-07-20T17:27:20Z,2599,5,61.06
112.21,0.98,2021-07-20T17:26:32Z,2598,5,172.06
124.98,1,2021-07-19T17:04:46Z,2597,5,83.32
119.02,0.98,2021-07-19T17:01:15Z,2596,5,73.39
129.09,1,2021-07-19T16:54:44Z,2595,5,98.97
136.07,1,2021-07-19T16:53:25Z,2594,5,90.71
119.02,0.98,2021-07-19T16:52:04Z,2593,5,251.92
119.84,0.99,2021-07-19T16:46:52Z,2592,5,101.87
124.31,0.98,2021-07-19T16:44:55Z,2591,4,78.73
119.47,0.99,2021-07-19T16:40:53Z,2590,5,141.37
119.86,0.99,2021-07-19T16:39:53Z,2589,5,115.87
121.45,0.99,2021-07-19T16:37:52Z,2588,5,80.97
121.78,1,2021-07-19T16:34:29Z,2587,5,85.25
99.32,0.98,2021-07-19T16:33:49Z,2586,5,74.49
113.94,0.99,2021-07-19T16:33:11Z,2585,4,70.26
112.27,0.98,2021-07-19T16:31:39Z,2584,5,185.24
118.74,0.99,2021-07-19T16:30:26Z,2583,3,87.07
116.64,0.99,2021-07-19T16:28:55Z,2582,5,122.48
119.08,0.98,2021-07-19T16:26:27Z,2581,5,79.39
109.12,0.99,2021-07-19T16:25:48Z,2580,3,132.77
97.73,0.97,2021-07-19T16:24:55Z,2579,5,125.41
109.46,0.99,2021-07-19T16:23:55Z,2578,5,76.62
106.84,0.99,2021-07-19T16:23:11Z,2577,3,65.88
107.57,0.97,2021-07-19T16:22:41Z,2576,5,39.44
125.08,0.99,2021-07-19T16:20:55Z,2575,5,83.39
101.75,0.98,2021-07-19T16:20:13Z,2574,4,69.53
109.3,0.97,2021-07-19T16:18:42Z,2573,5,78.33
121.09,0.99,2021-07-19T16:18:00Z,2572,4,74.67
115.46,0.99,2021-07-19T16:17:20Z,2571,5,67.35
120.29,0.98,2021-07-19T16:16:30Z,2570,5,90.22
115.67,0.98,2021-07-19T16:15:51Z,2569,5,79.04
113.83,0.99,2021-07-19T16:14:32Z,2568,5,87.27
113.26,0.99,2021-07-19T16:13:45Z,2567,4,132.14
120.26,0.99,2021-07-19T16:12:11Z,2566,4,138.3
112.98,0.99,2021-07-19T16:11:15Z,2565,5,60.26
115.67,0.98,2021-07-19T16:09:35Z,2564,5,133.01
107.67,0.98,2021-07-19T16:08:35Z,2563,5,95.1
112.68,0.98,2021-07-19T16:07:48Z,2562,4,120.2
100.68,0.98,2021-07-19T16:06:33Z,2561,5,70.48
111.55,0.99,2021-07-19T16:05:46Z,2560,5,70.65
101.93,0.98,2021-07-19T16:04:37Z,2559,5,86.64
112.14,0.99,2021-07-19T16:03:39Z,2558,5,104.66
101.75,0.97,2021-07-19T16:02:39Z,2557,5,101.75
88.28,0.97,2021-07-19T16:01:40Z,2556,5,88.28
90.77,0.97,2021-07-18T17:21:38Z,2555,5,54.46
107.42,0.99,2021-07-18T17:20:59Z,2554,5,75.19
110.98,0.99,2021-07-18T17:20:21Z,2553,3,94.33
101.98,0.98,2021-07-18T17:19:40Z,2552,4,98.58
105.76,0.98,2021-07-18T17:18:50Z,2551,5,66.98
90.59,0.96,2021-07-18T17:18:16Z,2550,3,75.49
96.27,0.97,2021-07-18T17:17:24Z,2549,5,60.97
110.83,0.98,2021-07-18T17:16:43Z,2548,5,114.52
91.38,0.97,2021-07-18T17:15:59Z,2547,5,80.72
87.49,0.96,2021-07-18T17:15:00Z,2546,5,56.87
