wpm,accuracy,time,game_num,racers_num,points
59.58,0.97,2021-05-20T05:57:20Z,2521,5,51.64
56.64,0.96,2020-05-09T18:40:01Z,2520,5,83.08
52.97,0.98,2020-04-20T17:54:46Z,2519,5,27.37
65.54,0.99,2020-04-20T17:48:46Z,2518,5,68.81
61.44,0.99,2020-04-20T17:46:11Z,2517,5,61.44
60.28,0.98,2020-04-20T17:43:51Z,2516,4,60.28
58.09,0.98,2020-04-20T17:41:59Z,2515,4,36.79
60.95,0.98,2020-04-20T17:37:46Z,2514,5,26.41
60.67,0.97,2020-04-20T17:36:49Z,2513,5,44.49
58.63,0.98,2020-04-20T17:35:25Z,2512,5,55.7
54.34,0.97,2020-04-20T15:45:23Z,2511,5,50.72
50.52,0.96,2020-04-20T15:44:00Z,2510,4,29.47
55.5,0.96,2020-04-20T15:42:37Z,2509,5,35.15
64.33,0.98,2020-04-20T15:41:38Z,2508,5,27.88
55.68,0.98,2018-02-07T22:24:29Z,2507,2,27.84
55.51,0.98,2018-02-07T22:17:31Z,2506,5,28.68
55.27,0.97,2018-02-07T22:16:31Z,2505,5,46.98
56.63,0.98,2017-10-03T00:15:04Z,2504,5,58.52
61.91,1,2017-10-03T00:13:43Z,2503,5,43.34
55.03,0.98,2017-10-03T00:12:44Z,2502,5,42.19
59.19,0.98,2017-10-03T00:11:39Z,2501,5,55.25
58.63,0.98,2017-08-21T15:17:10Z,2500,5,40.06
64.18,0.98,2017-08-21T15:16:12Z,2499,5,44.92
54.54,0.96,2017-08-21T15:15:07Z,2498,5,78.17
65.82,0.98,2017-08-21T15:12:55Z,2497,4,44.98
52.12,0.96,2017-08-21T15:12:06Z,2496,4,55.6
57.52,0.96,2017-08-21T15:10:27Z,2495,5,49.85
53.06,0.96,2017-08-21T15:08:58Z,2494,5,47.76
59.65,0.97,2017-08-21T15:07:28Z,2493,5,71.58
61.72,0.97,2017-08-21T15:05:47Z,2492,4,38.06
56.34,0.97,2017-08-17T04:55:59Z,2491,5,47.89
55.35,0.98,2017-08-17T04:54:51Z,2490,4,48.9
56.53,0.97,2017-08-17T04:53:34Z,2489,3,67.84
68.41,1,2017-08-17T04:51:52Z,2488,5,54.73
61.35,0.97,2017-08-17T04:50:51Z,2487,5,22.49
53.05,0.96,2017-08-17T04:50:21Z,2486,4,49.51
60.45,0.99,2017-08-17T04:48:48Z,2485,5,45.33
52.89,0.98,2017-08-17T04:47:44Z,2484,5,35.26
57.87,0.97,2017-08-17T04:46:38Z,2483,5,49.19
57.54,0.97,2017-08-17T04:45:18Z,2482,5,72.88
60.23,0.98,2017-08-17T04:43:35Z,2481,5,54.21
54.37,0.97,2017-08-17T04:42:24Z,2480,5,39.87
62.68,0.98,2017-08-17T04:41:14Z,2479,5,36.56
56.13,0.98,2017-08-17T04:40:29Z,2478,3,48.65
57.88,0.98,2017-08-17T04:39:04Z,2477,5,87.79
50.11,0.97,2017-08-15T08:01:44Z,2476,4,41.75
53.62,0.97,2017-08-15T08:00:15Z,2475,5,36.64
60.43,0.97,2017-08-15T07:59:03Z,2474,3,68.49
54.47,0.98,2017-08-15T07:57:38Z,2473,5,54.47
63.73,0.98,2017-08-15T07:56:07Z,2472,4,46.74
49.26,0.96,2017-08-15T07:55:02Z,2471,5,32.84
48.6,0.95,2017-08-15T07:54:00Z,2470,5,59.13
58.33,0.99,2017-08-15T07:52:15Z,2469,5,63.19
65.82,0.99,2017-08-15T07:50:44Z,2468,4,92.15
62.59,0.99,2017-08-15T07:49:14Z,2467,5,53.2
58.09,0.98,2017-08-15T07:48:10Z,2466,5,35.82
60.44,0.98,2017-08-15T07:47:12Z,2465,5,52.38
52.98,0.95,2017-08-15T07:46:00Z,2464,5,31.79
54.47,0.95,2017-08-15T07:45:02Z,2463,3,29.05
58.18,0.99,2017-08-15T07:44:10Z,2462,5,30.06
63.93,0.99,2017-08-15T07:43:14Z,2461,5,38.36
49.15,0.97,2017-08-15T04:18:23Z,2460,5,25.4
54.11,0.97,2017-08-14T03:43:03Z,2459,3,28.86
58.68,0.97,2017-08-14T03:42:05Z,2458,5,50.85
61.47,1,2017-08-14T03:41:01Z,2457,5,45.08
48.55,0.96,2017-08-08T01:42:35Z,2456,4,25.9
46.87,0.97,2017-08-08T01:41:27Z,2455,4,58.58
52.37,0.98,2017-08-08T01:39:15Z,2454,4,30.55
50.04,0.97,2017-08-08T01:38:16Z,2453,4,37.53
53.97,0.99,2017-08-08T01:37:03Z,2452,5,26.99
58.51,0.97,2017-08-08T01:36:00Z,2451,5,92.65
55.17,0.98,2017-08-08T01:34:03Z,2450,3,45.06
59.21,0.97,2017-08-08T01:32:38Z,2449,5,89.8
59.55,0.98,2017-08-08T01:30:46Z,2448,5,43.67
61.33,0.99,2017-08-08T01:29:33Z,2447,5,60.3
64.76,0.98,2017-08-08T01:28:22Z,2446,5,34.54
57.88,0.98,2017-08-08T01:27:37Z,2445,1,70.42
57.24,0.97,2017-08-08T01:26:04Z,2444,4,36.25
60.32,0.98,2017-08-08T01:25:02Z,2443,3,62.33
59.08,0.98,2017-08-08T01:22:59Z,2442,3,73.85
50.89,0.97,2017-08-07T21:26:52Z,2441,3,29.69
65.67,0.98,2017-08-07T21:25:41Z,2440,5,63.48
50.78,0.98,2017-08-04T23:11:27Z,2439,2,54.17
65.13,0.98,2017-08-04T18:23:46Z,2438,5,62.96
54.29,0.96,2017-08-04T18:22:32Z,2437,4,74.19
51.45,0.97,2017-08-02T05:44:25Z,2436,3,48.02
59.26,0.97,2017-08-02T05:42:41Z,2435,4,36.54
55.17,0.96,2017-08-02T05:41:06Z,2434,4,39.54
52.54,0.97,2017-08-02T05:40:06Z,2433,5,43.79
52.51,0.97,2017-08-02T05:38:56Z,2432,5,28.01
48.7,0.97,2017-08-02T05:37:55Z,2431,3,22.73
54.15,0.97,2017-07-27T06:30:23Z,2430,5,56.86
47.36,0.96,2017-07-27T06:28:40Z,2429,4,40.25
48.35,0.96,2017-07-27T06:26:58Z,2428,5,23.37
51.67,0.96,2017-07-27T06:25:59Z,2427,4,31
57.54,0.99,2017-07-27T06:24:56Z,2426,5,67.13
60.39,0.98,2017-07-27T06:23:16Z,2425,5,58.38
48.76,0.98,2017-07-27T06:21:55Z,2424,5,17.07
52.89,0.97,2017-07-27T06:21:00Z,2423,5,54.65
56.2,0.99,2017-07-17T19:55:29Z,2422,5,0
53.8,0.98,2017-07-13T22:44:56Z,2421,5,0
49.34,0.97,2017-07-07T05:50:18Z,2420,5,0
55.17,0.97,2017-07-07T05:49:20Z,2419,5,0
55.49,0.98,2017-07-07T05:48:00Z,2418,5,0
55.91,0.98,2017-07-07T05:46:28Z,2417,5,0
63.33,0.97,2017-07-07T05:45:17Z,2416,5,0
54.52,0.98,2017-07-07T05:44:23Z,2415,5,0
58.55,0.98,2017-07-07T05:42:23Z,2414,5,0
52.26,0.96,2017-07-07T05:40:19Z,2413,5,0
59.5,0.97,2017-07-07T05:38:25Z,2412,4,0
64.45,0.98,2017-07-07T05:37:21Z,2411,4,0
59.37,0.98,2017-07-06T03:00:19Z,2410,5,0
55.4,0.98,2017-07-06T02:59:13Z,2409,5,0
56.55,0.98,2017-07-06T02:58:15Z,2408,3,0
54.05,0.96,2017-07-06T02:56:47Z,2407,4,0
67.69,0.98,2017-07-06T02:55:28Z,2406,5,0
57.23,0.98,2017-07-06T02:52:08Z,2405,5,0
53.76,0.96,2017-07-06T02:51:14Z,2404,4,0
62.99,0.99,2017-07-06T02:50:04Z,2403,5,0
60.22,0.97,2017-07-06T02:48:58Z,2402,5,0
68.55,0.97,2017-07-04T20:09:42Z,2401,4,0
53.22,0.96,2017-07-04T20:08:27Z,2400,5,0
55.17,0.98,2017-07-04T20:06:48Z,2399,5,0
58.08,0.97,2017-07-04T20:05:52Z,2398,4,0
