wpm,accuracy,time,game_num,racers_num,points
102.49,0.98,2021-09-04T08:05:05Z,2659,5,117.86
122.98,0.99,2021-08-29T12:04:40Z,2658,2,77.89
129.62,0.99,2021-08-29T12:03:08Z,2657,2,112.34
120.07,1,2021-08-29T12:01:59Z,2656,2,66.04
112.54,0.98,2021-05-02T01:24:19Z,2655,5,99.41
104.66,0.97,2021-05-02T01:23:34Z,2654,5,132.58
115.43,0.99,2021-04-26T17:34:42Z,2653,1,94.27
117.3,0.98,2020-10-22T06:38:30Z,2652,5,70.38
125.86,0.99,2020-10-09T10:31:22Z,2651,1,56.64
118.34,0.99,2020-10-09T10:30:49Z,2650,1,102.57
116.69,0.97,2020-10-09T01:30:42Z,2649,1,93.35
132.01,0.98,2020-10-08T19:26:16Z,2648,2,68.2
114.7,0.98,2020-10-07T16:05:00Z,2647,1,66.91
113.01,0.98,2020-10-07T05:46:34Z,2646,5,79.11
107.09,0.97,2020-10-07T05:45:07Z,2645,5,180.26
126.41,0.99,2020-10-07T05:43:49Z,2644,5,54.78
126.97,0.99,2020-10-07T00:31:07Z,2643,1,50.79
110.49,0.99,2020-10-07T00:12:52Z,2642,1,193.36
121.22,0.98,2020-10-07T00:11:51Z,2641,1,62.63
107.21,0.98,2020-10-07T00:07:40Z,2640,4,89.34
105.65,0.97,2020-10-07T00:06:57Z,2639,4,98.61
119.61,0.97,2020-10-06T21:02:02Z,2638,1,61.8
126.31,0.99,2020-10-06T19:10:04Z,2637,1,84.21
111.02,0.98,2020-10-05T08:04:48Z,2636,1,66.61
145.38,1,2020-10-05T07:07:40Z,2635,1,58.15
109.01,0.97,2020-10-02T09:53:29Z,2634,4,69.04
117.33,0.97,2020-10-02T01:51:35Z,2633,1,80.17
110.11,0.98,2020-10-01T19:32:42Z,2632,5,132.13
113.04,0.99,2020-10-01T05:05:48Z,2631,1,82.9
124.17,0.98,2020-09-30T08:23:28Z,2630,1,82.78
134.13,0.99,2020-09-30T08:22:28Z,2629,1,84.95
135.03,1,2020-09-30T07:54:27Z,2628,1,65.27
117.06,0.98,2020-09-30T06:38:42Z,2627,1,60.48
110.7,0.99,2020-09-29T09:47:58Z,2626,1,95.94
123.75,0.99,2020-09-28T04:42:16Z,2625,1,88.69
133.8,1,2020-09-27T23:41:39Z,2624,1,93.66
109.21,0.98,2020-09-27T22:35:25Z,2623,1,70.99
116.15,0.97,2020-09-27T22:20:55Z,2622,1,87.11
119.33,0.98,2020-09-27T22:18:30Z,2621,1,123.31
104.03,0.98,2020-09-27T22:17:08Z,2620,5,90.16
117.09,0.98,2020-09-27T22:15:19Z,2619,1,115.14
105.2,0.97,2020-09-27T22:13:19Z,2618,1,82.41
131.37,0.98,2020-09-27T22:12:14Z,2617,1,67.88
110.6,0.99,2020-09-27T21:50:16Z,2616,1,70.05
120.09,0.97,2020-09-27T21:46:21Z,2615,2,64.05
113.88,0.98,2020-09-27T12:42:27Z,2614,1,87.31
104.14,0.97,2020-09-27T12:33:20Z,2613,4,105.88
127.1,0.98,2020-09-25T22:01:00Z,2612,4,112.27
158.31,1,2020-09-25T21:57:50Z,2611,2,34.3
116.87,0.99,2020-09-25T21:00:18Z,2610,1,79.86
107.83,0.97,2020-09-25T09:29:07Z,2609,1,100.64
114.55,0.99,2020-09-25T09:27:56Z,2608,1,64.91
107.64,0.98,2020-09-25T08:24:57Z,2607,1,121.99
132.71,0.99,2020-09-25T08:22:33Z,2606,1,75.2
105.97,0.97,2020-09-25T08:05:12Z,2605,1,54.75
116.74,0.98,2020-09-25T06:54:48Z,2604,1,93.4
134.98,0.99,2020-09-25T06:53:16Z,2603,1,67.49
148.38,1,2020-09-25T06:24:18Z,2602,1,79.14
111.11,0.97,2020-09-25T06:08:42Z,2601,1,90.74
129.64,1,2020-09-23T23:13:10Z,2600,2,79.95
116.28,0.99,2020-09-23T20:58:27Z,2599,2,85.27
108.64,0.99,2020-09-23T05:34:06Z,2598,1,119.5
114.53,0.98,2020-09-22T21:17:51Z,2597,1,74.44
111.02,0.99,2020-09-22T10:12:41Z,2596,1,59.21
117.33,0.98,2020-09-22T09:00:15Z,2595,1,113.42
99.09,0.97,2020-09-22T08:45:02Z,2594,4,97.44
114.14,0.99,2020-09-22T08:41:42Z,2593,1,62.78
109.13,0.97,2020-09-22T08:33:15Z,2592,1,67.3
119.03,0.98,2020-09-22T08:31:22Z,2591,1,101.18
107.3,0.98,2020-09-22T00:46:52Z,2590,1,89.41
110.42,0.99,2020-09-21T21:15:01Z,2589,1,64.41
109.12,0.98,2020-09-21T21:12:43Z,2588,1,70.93
106.41,0.97,2020-09-21T21:12:06Z,2587,5,60.3
110.71,0.97,2020-09-21T21:11:27Z,2586,5,71.96
104.3,0.98,2020-09-21T21:00:59Z,2585,5,73.01
126.78,0.99,2020-09-21T20:51:54Z,2584,1,97.19
113.96,1,2020-09-21T04:58:32Z,2583,1,72.18
108.28,0.97,2020-09-21T01:09:33Z,2582,1,220.17
121.79,0.98,2020-09-21T01:08:16Z,2581,2,75.1
111.45,0.97,2020-09-21T01:07:51Z,2580,1,68.72
100.57,0.97,2020-09-21T00:59:22Z,2579,5,102.24
122.36,0.99,2020-09-21T00:57:44Z,2578,2,85.65
107.38,0.98,2020-09-21T00:57:15Z,2577,5,75.17
103.77,0.97,2020-09-21T00:56:43Z,2576,5,79.56
116.67,0.98,2020-09-21T00:55:53Z,2575,1,87.5
116.86,0.99,2020-09-21T00:52:29Z,2574,1,77.9
108.35,0.97,2020-09-21T00:51:04Z,2573,1,101.12
111.06,0.97,2020-09-21T00:49:24Z,2572,1,90.7
117.33,0.98,2020-09-21T00:48:27Z,2571,2,52.8
106.68,0.96,2020-09-21T00:48:07Z,2570,5,48.01
114.97,0.99,2020-09-21T00:47:42Z,2569,5,72.81
124.52,0.98,2020-09-21T00:46:52Z,2568,2,95.47
119.41,0.98,2020-09-21T00:46:24Z,2567,1,91.55
112.97,0.98,2020-09-21T00:42:06Z,2566,1,96.02
111.1,0.98,2020-09-21T00:41:19Z,2565,1,196.27
105.32,0.97,2020-09-20T22:45:26Z,2564,3,166.76
