wpm,accuracy,time,game_num,racers_num,points
104.54,0.96,2021-11-21T20:34:15Z,2817,5,116.73
122.87,0.99,2021-11-21T20:32:46Z,2816,4,88.06
111.57,0.97,2021-11-21T20:31:58Z,2815,4,76.24
116.96,0.98,2021-11-21T01:16:45Z,2814,4,111.11
121.33,0.98,2021-11-21T00:50:36Z,2813,5,163.79
118.33,0.97,2021-11-21T00:49:10Z,2812,5,114.39
113.77,0.99,2021-11-20T18:58:47Z,2811,5,72.05
114.92,0.97,2021-11-20T18:52:40Z,2810,5,80.45
121.73,0.99,2021-11-20T18:43:57Z,2809,5,123.76
100.57,0.97,2021-11-20T18:41:21Z,2808,5,90.51
88.58,0.95,2021-11-20T18:40:26Z,2807,3,51.67
98.17,0.97,2021-11-20T18:38:14Z,2806,5,140.72
104.18,0.97,2021-11-20T18:36:54Z,2805,4,107.65
102.1,0.98,2021-11-20T05:02:05Z,2804,5,61.26
109.16,0.98,2021-11-19T22:17:22Z,2803,5,107.34
112.69,0.98,2021-11-19T22:15:53Z,2802,5,144.62
107.4,0.96,2021-11-19T21:55:19Z,2801,4,141.42
111.68,0.97,2021-11-19T17:54:45Z,2800,4,120.99
115.15,0.97,2021-11-19T17:53:46Z,2799,5,71.01
122.47,0.98,2021-11-19T17:53:05Z,2798,4,75.52
106.32,0.97,2021-11-19T17:52:32Z,2797,5,62.02
110.45,0.97,2021-11-19T17:50:00Z,2796,5,117.81
109.99,0.98,2021-11-19T17:48:59Z,2795,4,196.15
105.06,0.97,2021-11-19T04:36:53Z,2794,5,122.57
120.77,0.98,2021-11-19T04:35:43Z,2793,5,76.48
116.51,0.99,2021-11-19T04:34:59Z,2792,4,99.03
105.08,0.97,2021-11-19T04:34:16Z,2791,5,36.78
110.27,0.97,2021-11-19T04:31:52Z,2790,5,66.16
98.95,0.96,2021-11-19T04:31:09Z,2789,5,67.61
106.17,0.95,2021-11-19T04:30:33Z,2788,5,51.32
97.45,0.97,2021-11-19T04:29:36Z,2787,4,73.09
99.59,0.94,2021-11-19T04:15:52Z,2786,5,51.46
113.66,0.98,2021-11-19T04:14:59Z,2785,3,43.57
125.07,0.99,2021-11-19T04:06:20Z,2784,5,125.07
130.58,0.99,2021-11-19T04:05:25Z,2783,5,87.05
104.32,0.97,2021-11-19T04:04:44Z,2782,5,76.5
108.56,0.97,2021-11-19T04:04:07Z,2781,4,104.94
106.52,0.98,2021-11-19T04:02:59Z,2780,2,145.57
108.91,0.98,2021-11-19T04:01:40Z,2779,5,54.45
100.2,0.97,2021-11-19T01:40:28Z,2778,5,60.12
102.62,0.97,2021-11-19T00:29:58Z,2777,5,104.33
104.97,0.97,2021-11-19T00:28:56Z,2776,5,117.22
106.28,0.98,2021-11-19T00:27:52Z,2775,5,81.48
114.85,0.98,2021-11-19T00:27:17Z,2774,5,53.6
107.78,0.98,2021-11-19T00:26:48Z,2773,5,132.93
91.21,0.98,2021-11-19T00:25:38Z,2772,5,72.96
98.42,0.96,2021-11-19T00:24:52Z,2771,5,104.98
111.82,0.98,2021-11-19T00:23:03Z,2770,5,134.19
109.78,1,2021-11-19T00:21:47Z,2769,5,76.85
117.51,0.99,2021-11-18T22:34:29Z,2768,4,107.72
111.47,0.98,2021-11-18T03:54:09Z,2767,5,44.59
103.39,0.97,2021-11-18T03:53:33Z,2766,3,84.44
108.42,0.97,2021-11-18T01:27:26Z,2765,5,83.12
113.31,0.97,2021-11-17T23:59:44Z,2764,5,77.43
117.9,0.97,2021-11-17T23:07:55Z,2763,2,241.69
135.4,1,2021-11-17T23:06:37Z,2762,5,67.7
96.11,0.95,2021-11-17T23:06:02Z,2761,2,144.16
117.39,0.98,2021-11-17T23:04:51Z,2760,4,121.3
103.78,0.96,2021-11-17T23:03:52Z,2759,5,115.88
117.26,0.97,2021-11-17T17:26:00Z,2758,5,68.4
123.21,0.99,2021-11-17T17:25:31Z,2757,3,63.66
111.4,0.96,2021-11-17T00:33:09Z,2756,4,74.27
121.52,0.99,2021-11-17T00:32:32Z,2755,5,93.17
113.68,0.98,2021-11-17T00:31:26Z,2754,5,96.63
130.97,0.98,2021-11-17T00:30:20Z,2753,5,106.96
95.09,0.95,2021-11-17T00:29:37Z,2752,5,74.49
120.99,0.97,2021-11-17T00:26:37Z,2751,5,100.82
135.12,1,2021-11-16T01:05:49Z,2750,4,90.08
109.61,0.97,2021-11-16T01:05:14Z,2749,5,62.11
100.85,0.97,2021-11-16T01:04:04Z,2748,5,124.38
101.96,0.96,2021-11-16T01:03:03Z,2747,5,93.46
112.97,0.98,2021-11-16T01:02:14Z,2746,5,161.93
113.02,0.96,2021-11-16T01:01:12Z,2745,5,146.93
118.94,0.98,2021-11-16T01:00:21Z,2744,3,77.31
124.18,0.98,2021-11-16T00:59:41Z,2743,5,190.41
126.88,0.99,2021-11-16T00:58:43Z,2742,5,179.75
114.28,0.96,2021-11-16T00:56:26Z,2741,5,108.56
129.95,0.99,2021-11-16T00:17:44Z,2740,5,64.98
120.74,0.98,2021-11-15T22:12:14Z,2739,5,88.54
114.5,0.99,2021-11-15T22:10:54Z,2738,5,188.92
86.17,0.95,2021-11-15T22:09:18Z,2737,5,67.5
126.83,0.99,2021-11-15T22:08:24Z,2736,5,188.13
92.84,0.95,2021-11-15T22:07:27Z,2735,5,60.35
103.66,0.97,2021-11-15T22:06:45Z,2734,5,77.75
97.95,0.95,2021-11-15T22:06:07Z,2733,5,86.53
106.42,0.97,2021-11-15T22:05:14Z,2732,4,101.1
118.78,0.98,2021-11-15T22:04:15Z,2731,5,57.41
121.07,0.98,2021-11-15T22:03:26Z,2730,4,70.62
108.66,0.97,2021-11-15T22:02:35Z,2729,4,92.36
103.81,0.97,2021-11-15T22:01:30Z,2728,5,77.86
97.53,0.96,2021-11-15T22:00:17Z,2727,5,71.52
115.34,0.97,2021-11-15T20:01:32Z,2726,4,173.01
102.27,0.94,2021-11-15T20:00:24Z,2725,5,73.3
108.14,0.97,2021-11-15T19:59:31Z,2724,5,203.66
128.5,0.99,2021-11-15T19:58:08Z,2723,5,134.92
101.32,0.96,2021-11-15T19:57:27Z,2722,5,60.79
120.67,0.98,2021-11-15T19:56:43Z,2721,5,118.66
95.57,0.95,2021-11-15T19:56:05Z,2720,5,84.42
116.53,0.99,2021-11-15T19:55:04Z,2719,4,114.59
116.28,0.97,2021-11-15T19:54:16Z,2718,5,83.33
108.62,0.97,2021-11-15T19:53:33Z,2717,5,105
133.85,0.99,2021-11-15T19:52:48Z,2716,5,69.16
109.32,0.98,2021-11-15T19:52:22Z,2715,4,85.63
108.47,0.97,2021-11-15T01:29:39Z,2714,5,88.58
106.62,0.97,2021-11-15T01:28:30Z,2713,5,103.07
124.29,0.98,2021-11-15T01:27:03Z,2712,5,68.36
105.01,0.98,2021-11-15T01:26:28Z,2711,5,64.76
115.97,0.99,2021-11-15T01:25:35Z,2710,3,56.05
117.37,0.98,2021-11-15T01:23:57Z,2709,4,97.8
127.77,0.99,2021-11-15T01:22:22Z,2708,5,89.44
113.73,0.98,2021-11-15T01:21:35Z,2707,5,64.45
118.53,0.98,2021-11-15T01:20:24Z,2706,5,100.75
99.58,0.96,2021-11-15T01:19:28Z,2705,5,106.22
93.8,0.97,2021-11-15T01:18:31Z,2704,5,78.16
139.8,1,2021-11-14T18:32:40Z,2703,5,74.56
112.18,0.97,2021-11-14T01:13:15Z,2702,4,89.74
114.92,0.98,2021-11-14T00:58:56Z,2701,4,93.85
115.51,0.98,2021-11-14T00:31:53Z,2700,5,96.26
113.75,0.97,2021-11-14T00:30:29Z,2699,5,91
118.59,0.98,2021-11-14T00:29:37Z,2698,5,166.02
110.55,0.97,2021-11-14T00:28:22Z,2697,4,128.97
113.81,0.98,2021-11-14T00:27:04Z,2696,3,229.52
112.35,0.97,2021-11-14T00:25:15Z,2695,5,71.16
99.12,0.97,2021-11-14T00:24:16Z,2694,5,80.95
116.62,0.98,2021-11-14T00:22:10Z,2693,4,112.74
115.13,0.98,2021-11-13T21:18:39Z,2692,3,72.92
115.28,0.99,2021-11-13T21:17:26Z,2691,3,161.39
102.86,0.97,2021-11-13T21:15:45Z,2690,5,51.43
105.29,0.97,2021-11-13T21:15:10Z,2689,5,78.96
104.13,0.97,2021-11-13T21:14:03Z,2688,4,166.61
124.45,0.98,2021-11-13T21:11:15Z,2687,5,145.19
120.52,0.97,2021-11-13T21:10:00Z,2686,4,84.37
113.55,0.98,2021-11-13T21:08:35Z,2685,5,145.72
99.48,0.96,2021-11-13T21:07:46Z,2684,5,87.87
116.74,0.98,2021-11-13T21:05:31Z,2683,5,118.68
118.37,0.99,2021-11-13T21:04:47Z,2682,2,82.86
108.96,0.98,2021-11-13T21:04:09Z,2681,5,72.64
120.67,0.97,2021-11-13T21:02:32Z,2680,5,209.16
128.57,0.99,2021-11-13T21:01:25Z,2679,5,115.71
113.03,0.99,2021-11-13T21:00:29Z,2678,5,126.22
86.26,0.97,2021-11-13T20:59:43Z,2677,4,64.69
110.92,0.98,2021-11-13T20:58:46Z,2676,3,114.61
118.07,0.98,2021-11-13T20:57:08Z,2675,5,82.65
106.27,0.97,2021-11-13T20:55:40Z,2674,5,65.53
111.34,0.98,2021-11-13T18:12:52Z,2673,5,96.49
96.04,0.97,2021-11-13T18:11:37Z,2672,5,88.03
114.2,0.98,2021-11-13T18:10:27Z,2671,5,91.36
110.61,0.97,2021-11-13T18:09:33Z,2670,5,116.14
119.85,0.98,2021-11-13T18:08:37Z,2669,5,91.89
110.18,0.98,2021-11-13T18:07:45Z,2668,5,148.75
94.39,0.95,2021-11-13T18:06:20Z,2667,5,100.69
108.89,0.97,2021-11-13T18:05:13Z,2666,5,116.15
109.59,0.98,2021-11-13T18:04:20Z,2665,5,56.62
105.07,0.97,2021-11-13T18:03:46Z,2664,5,103.32
102.22,0.97,2021-11-13T18:02:25Z,2663,4,211.25
109.5,0.96,2021-11-13T18:00:47Z,2662,5,76.65
109.88,0.97,2021-11-13T17:59:34Z,2661,5,80.58
