wpm,accuracy,time,game_num,racers_num,points
70.18,0.95,2021-10-09T20:00:58Z,2791,5,54.97
58.32,0.96,2021-10-09T19:59:30Z,2790,3,69.01
78.65,0.97,2021-10-09T19:57:57Z,2789,5,60.3
52.54,0.93,2021-10-09T19:56:40Z,2788,4,25.4
58.64,0.94,2021-10-09T19:54:05Z,2787,5,58.64
65.53,0.95,2021-10-09T19:52:41Z,2786,5,54.61
66.99,0.96,2021-10-09T19:50:02Z,2785,5,32.38
65.88,0.97,2021-10-09T19:48:32Z,2784,5,73.57
58.18,0.95,2021-10-09T19:47:16Z,2783,4,53.33
64.89,0.94,2021-10-09T19:40:50Z,2782,5,49.75
68.37,0.97,2021-10-09T19:39:49Z,2781,4,87.74
56.65,0.95,2021-10-04T05:54:11Z,2780,5,72.7
64.87,0.96,2021-10-04T05:52:30Z,2779,5,70.27
79.49,0.97,2021-10-04T05:50:55Z,2778,5,43.72
71.09,0.96,2021-10-04T05:50:01Z,2777,5,67.53
58.44,0.96,2021-10-04T05:49:02Z,2776,5,68.18
66.25,0.96,2021-10-04T05:47:35Z,2775,5,37.54
63.97,0.97,2021-10-04T05:46:40Z,2774,5,63.97
65.78,0.96,2021-10-04T05:45:23Z,2773,4,71.26
56.41,0.94,2021-10-04T05:43:30Z,2772,5,78.03
72.99,0.96,2021-10-04T05:41:33Z,2771,5,45.01
56.57,0.95,2021-10-04T05:40:35Z,2770,5,49.03
68.13,0.96,2021-10-04T05:38:55Z,2769,5,52.24
63.16,0.96,2021-10-04T05:37:56Z,2768,5,38.95
58.46,0.95,2021-10-04T05:37:07Z,2767,4,43.84
60.63,0.96,2021-10-04T05:36:03Z,2766,5,33.35
68.68,0.94,2021-10-04T05:35:20Z,2765,5,42.36
55.04,0.96,2021-10-03T05:16:10Z,2764,5,40.37
61.42,0.96,2021-10-03T05:14:32Z,2763,4,59.37
59.66,0.95,2021-10-03T05:12:47Z,2762,4,37.79
55.86,0.95,2021-10-03T05:11:49Z,2761,5,63.31
64.17,0.94,2021-10-03T05:10:04Z,2760,3,111.23
73.04,0.98,2021-10-03T05:08:12Z,2759,3,52.34
59.12,0.94,2021-10-03T05:07:21Z,2758,5,55.18
71.57,0.94,2021-10-03T05:06:10Z,2757,5,32.21
61.08,0.95,2021-10-03T05:05:28Z,2756,5,44.79
61.53,0.95,2021-10-03T05:04:34Z,2755,4,24.61
69.28,0.96,2021-10-03T05:03:50Z,2754,3,81.98
65.04,0.96,2021-10-03T05:02:32Z,2753,5,42.28
52.29,0.94,2021-10-03T05:01:38Z,2752,5,27.89
68.8,0.97,2021-10-03T05:00:48Z,2751,5,36.69
58.81,0.95,2021-10-03T04:59:52Z,2750,5,109.77
67.34,0.96,2021-10-03T04:57:45Z,2749,4,35.92
64.67,0.96,2021-10-03T04:56:56Z,2748,5,70.06
61.64,0.95,2021-10-03T04:54:25Z,2747,5,104.79
57.52,0.94,2021-10-03T04:52:34Z,2746,5,34.51
67.9,0.95,2021-10-03T04:51:40Z,2745,5,49.79
81.05,0.94,2021-10-03T04:50:41Z,2744,5,16.21
61.07,0.96,2021-10-03T04:50:21Z,2743,5,35.62
73.5,0.96,2021-09-20T21:10:41Z,2742,5,53.9
67.93,0.95,2021-09-20T21:09:38Z,2741,5,65.67
79.44,0.97,2021-09-20T21:08:13Z,2740,5,47.66
75.26,0.96,2021-09-20T21:07:21Z,2739,5,43.9
66.03,0.96,2021-09-20T21:05:51Z,2738,5,46.22
56.43,0.94,2021-09-20T21:04:57Z,2737,5,26.33
59.08,0.96,2021-03-20T20:32:01Z,2736,5,30.53
55.87,0.95,2021-03-07T05:23:54Z,2735,4,48.42
52.46,0.95,2021-03-07T05:21:48Z,2734,5,38.47
48.22,0.94,2021-03-07T05:20:40Z,2733,5,27.33
54.26,0.96,2021-02-10T20:44:08Z,2732,4,60.59
56.63,0.95,2021-02-10T20:42:34Z,2731,5,52.85
58.1,0.95,2021-02-10T20:41:09Z,2730,5,33.89
62.44,0.97,2021-02-10T20:40:16Z,2729,5,42.66
49.79,0.95,2021-02-10T20:39:12Z,2728,5,29.04
50.79,0.95,2021-02-04T07:11:49Z,2727,5,38.09
54.29,0.95,2021-02-04T07:10:38Z,2726,5,28.95
58.42,0.95,2021-02-04T07:09:45Z,2725,5,31.16
51.58,0.93,2021-02-04T07:08:52Z,2724,5,42.13
58.87,0.94,2021-02-04T07:07:38Z,2723,5,60.84
61.05,0.95,2021-02-04T07:06:15Z,2722,4,108.88
63.34,0.95,2021-01-11T07:46:16Z,2721,4,72.84
61.44,0.95,2021-01-11T07:44:34Z,2720,5,38.91
62.74,0.95,2021-01-11T07:43:30Z,2719,5,56.46
77.31,0.97,2021-01-11T07:42:14Z,2718,5,56.69
50.84,0.96,2021-01-11T07:40:29Z,2717,5,27.96
76,0.99,2021-01-11T07:39:18Z,2716,5,48.13
