wpm,accuracy,time,game_num,racers_num,points
66.61,0.98,2021-11-17T15:12:37Z,2853,5,38.86
57.17,0.96,2021-11-17T11:19:13Z,2852,5,37.16
68.39,0.97,2021-11-12T15:36:59Z,2851,5,35.34
51.32,0.95,2021-10-21T09:10:08Z,2850,5,35.92
67.81,0.97,2021-10-21T09:08:48Z,2849,5,50.85
57.35,0.97,2021-10-21T08:25:27Z,2848,4,57.35
62.41,0.96,2021-10-21T08:24:02Z,2847,3,47.85
66.56,0.97,2021-10-21T07:43:08Z,2846,5,68.78
66.06,0.95,2021-10-21T07:42:01Z,2845,5,38.54
66.09,0.96,2021-10-20T06:54:52Z,2844,5,46.26
55.6,0.97,2021-10-18T13:44:55Z,2843,5,34.28
67.27,0.97,2021-10-18T12:48:15Z,2842,5,72.88
62.54,0.96,2021-10-18T12:45:39Z,2841,5,63.58
76.07,0.98,2021-10-18T12:33:32Z,2840,5,36.77
70.41,0.96,2021-10-18T12:32:03Z,2839,5,37.55
67.86,0.94,2021-10-18T11:57:54Z,2838,5,32.8
79.01,0.97,2021-10-18T11:50:04Z,2837,5,50.04
64.78,0.96,2021-10-16T11:12:33Z,2836,5,37.79
60.07,0.96,2021-10-16T11:11:04Z,2835,5,39.05
62.98,0.96,2021-10-16T08:38:44Z,2834,5,45.14
60.31,0.94,2021-10-16T08:37:38Z,2833,5,51.26
54.67,0.95,2021-10-16T08:30:30Z,2832,5,41
57.27,0.94,2021-10-15T11:40:03Z,2831,5,92.58
55.21,0.95,2021-10-15T11:04:11Z,2830,4,56.13
49.71,0.94,2021-10-14T08:07:38Z,2829,5,34.8
65.23,0.96,2021-10-13T10:42:07Z,2828,4,68.5
75.6,0.98,2021-10-13T10:40:50Z,2827,5,42.84
68.25,0.97,2021-10-13T10:40:05Z,2826,5,46.64
63.56,0.97,2021-10-13T08:10:44Z,2825,5,37.08
75.94,0.98,2021-10-13T08:09:54Z,2824,5,37.97
60.79,0.94,2021-10-13T07:48:18Z,2823,5,58.76
49.72,0.94,2021-10-12T12:48:42Z,2822,5,48.06
53.87,0.96,2021-10-12T12:42:35Z,2821,4,35.91
51.32,0.96,2021-10-12T12:40:02Z,2820,5,23.09
59.09,0.95,2021-10-12T12:39:14Z,2819,5,50.22
73.41,0.97,2021-10-10T18:43:24Z,2818,5,63.62
64.47,0.97,2021-10-08T03:19:47Z,2817,5,58.02
61.34,0.98,2021-10-08T03:18:19Z,2816,5,34.76
62.4,0.96,2021-10-06T04:11:15Z,2815,5,69.68
67.9,0.95,2021-10-06T04:09:54Z,2814,5,33.95
73.78,0.99,2021-10-06T04:09:13Z,2813,5,46.73
65.68,0.94,2021-10-05T03:38:07Z,2812,3,78.81
71.74,0.98,2021-10-05T03:36:43Z,2811,5,47.83
76.69,0.97,2021-10-05T03:34:43Z,2810,5,34.51
63.03,0.96,2021-10-05T03:33:57Z,2809,5,44.12
61.15,0.97,2021-10-05T03:32:53Z,2808,5,65.22
55.83,0.96,2021-09-27T05:27:03Z,2807,5,35.36
61.84,0.97,2021-09-27T04:26:41Z,2806,4,48.44
62.36,0.96,2021-09-23T05:54:52Z,2805,5,84.19
70.87,0.98,2021-09-23T05:50:58Z,2804,5,53.16
71.86,0.97,2021-09-22T17:15:47Z,2803,5,35.93
64.68,0.97,2021-09-20T05:35:58Z,2802,5,39.89
54.47,0.94,2021-09-16T03:57:14Z,2801,5,25.42
66.14,0.96,2021-09-13T09:34:25Z,2800,5,63.94
53.53,0.94,2021-09-08T05:52:44Z,2799,5,43.72
67.23,0.98,2021-09-08T05:43:09Z,2798,5,41.46
63.98,0.97,2021-09-06T06:21:37Z,2797,5,49.05
65.56,0.96,2021-09-06T05:50:06Z,2796,4,38.24
66.34,0.94,2021-09-06T05:49:16Z,2795,5,45.33
58.26,0.96,2021-09-05T12:50:15Z,2794,5,56.31
78.15,0.97,2021-09-05T12:47:47Z,2793,5,53.4
52.52,0.95,2021-09-04T12:17:08Z,2792,5,42.01
54.54,0.95,2021-09-04T06:14:36Z,2791,5,43.63
65.41,0.97,2021-09-04T06:13:28Z,2790,5,42.52
65.97,0.95,2021-09-03T04:38:38Z,2789,5,26.39
60.71,0.96,2021-09-01T05:33:03Z,2788,4,43.51
59.42,0.96,2021-08-31T06:56:28Z,2787,4,41.59
63.48,0.96,2021-08-31T06:55:29Z,2786,5,69.83
65.09,0.97,2021-08-31T05:49:51Z,2785,5,37.97
54.23,0.95,2021-08-31T05:03:54Z,2784,4,77.73
66.15,0.95,2021-08-31T05:01:53Z,2783,5,40.79
45.77,0.96,2021-08-31T03:28:42Z,2782,4,25.94
58.73,0.96,2021-08-30T17:28:29Z,2781,5,28.38
59.39,0.96,2021-08-27T11:45:14Z,2780,4,64.33
55.17,0.94,2021-08-27T11:43:44Z,2779,5,34.02
58.36,0.95,2021-08-27T10:41:41Z,2778,4,35.99
60.59,0.97,2021-08-27T10:40:50Z,2777,5,47.46
59.37,0.95,2021-08-27T10:39:39Z,2776,5,52.44
53.19,0.95,2021-08-27T10:34:41Z,2775,5,47.87
59.35,0.96,2021-08-27T10:30:57Z,2774,5,38.58
66.71,0.96,2021-08-26T10:48:11Z,2773,5,60.04
59.22,0.95,2021-08-26T10:34:27Z,2772,5,36.52
65.89,0.97,2021-08-26T10:33:26Z,2771,5,38.43
62.22,0.96,2021-08-26T04:54:00Z,2770,4,66.37
51.72,0.92,2021-08-26T04:52:39Z,2769,5,23.28
62.41,0.96,2021-08-25T06:52:11Z,2768,5,61.37
58.69,0.95,2021-08-25T06:51:03Z,2767,5,41.08
68.5,0.96,2021-08-25T06:06:54Z,2766,5,57.08
49.97,0.95,2021-08-25T05:48:42Z,2765,5,32.48
63.04,0.95,2021-08-25T04:17:01Z,2764,5,48.33
68.93,0.96,2021-08-25T04:16:00Z,2763,5,40.21
69.32,0.97,2021-08-25T04:15:15Z,2762,5,46.21
56.86,0.95,2021-08-25T03:57:02Z,2761,3,47.38
62.54,0.97,2021-08-25T03:55:52Z,2760,5,30.23
62.4,0.95,2021-08-25T03:55:08Z,2759,5,84.24
66.11,0.98,2021-08-25T03:53:38Z,2758,5,49.58
65.65,0.97,2021-08-25T03:52:22Z,2757,5,38.29
66.7,0.97,2021-08-23T17:41:05Z,2756,5,67.81
57.22,0.95,2021-08-23T17:39:20Z,2755,5,35.29
54.68,0.97,2021-08-23T17:37:03Z,2754,5,33.72
54.46,0.95,2021-08-23T06:30:07Z,2753,5,44.48
69.39,0.96,2021-08-23T06:28:49Z,2752,5,40.48
51.28,0.94,2021-08-22T06:05:44Z,2751,5,37.6
57.3,0.96,2021-08-22T06:04:32Z,2750,4,42.02
54.79,0.96,2021-08-22T06:03:13Z,2749,5,56.61
59.04,0.96,2021-08-22T06:01:07Z,2748,5,83.64
59.14,0.95,2021-08-22T05:59:21Z,2747,5,52.24
57.67,0.96,2021-08-22T05:58:14Z,2746,5,49.98
56.59,0.93,2021-08-20T05:29:02Z,2745,5,44.33
67.21,0.97,2021-08-20T05:27:45Z,2744,4,40.32
50.97,0.95,2021-08-20T04:42:13Z,2743,5,42.47
56.49,0.94,2021-08-20T04:40:56Z,2742,5,48.96
61.36,0.98,2021-08-20T04:39:46Z,2741,5,50.11
52.93,0.96,2021-08-20T04:38:40Z,2740,5,46.75
60.4,0.94,2021-08-20T04:37:09Z,2739,5,37.25
56.68,0.97,2021-08-17T05:18:04Z,2738,5,68.96
55.65,0.94,2021-08-17T05:16:24Z,2737,5,65.86
56.45,0.95,2021-08-17T05:14:38Z,2736,5,51.75
54.79,0.97,2021-08-17T04:55:04Z,2735,4,59.35
49.54,0.95,2021-08-16T16:56:18Z,2734,4,36.33
46.08,0.93,2021-08-15T04:30:33Z,2733,5,44.55
51.83,0.95,2021-08-15T04:29:01Z,2732,5,41.47
46.49,0.95,2021-08-15T04:01:02Z,2731,5,26.35
60.7,0.96,2021-08-15T04:00:03Z,2730,5,39.45
57.19,0.96,2021-08-12T04:17:51Z,2729,5,46.71
52.58,0.95,2021-08-12T04:16:49Z,2728,5,24.54
45.51,0.95,2021-08-12T04:15:47Z,2727,4,21.99
46.81,0.95,2021-08-10T17:06:31Z,2726,4,46.03
55.9,0.96,2021-08-10T17:03:56Z,2725,5,27.02
52.82,0.93,2021-08-10T13:50:23Z,2724,5,27.29
57.09,0.95,2021-08-09T17:29:40Z,2723,4,67.55
63.93,0.96,2021-08-09T14:56:45Z,2722,5,34.1
51.93,0.95,2021-08-09T14:37:18Z,2721,5,41.54
52.78,0.95,2021-08-09T04:50:21Z,2720,4,42.22
49.8,0.94,2021-08-09T04:49:07Z,2719,5,39.84
52.5,0.94,2021-08-08T08:02:23Z,2718,5,32.37
65.89,0.98,2021-08-08T07:58:19Z,2717,5,28.55
