wpm,accuracy,time,game_num,racers_num,points
73.44,0.95,2021-11-18T18:08:41Z,2731,4,75.88
78.81,0.95,2021-11-16T16:54:15Z,2730,5,64.36
77.93,0.97,2021-11-16T16:53:16Z,2729,4,53.25
58.7,0.96,2021-11-11T20:04:56Z,2728,5,35.22
68.61,0.96,2021-11-11T20:03:48Z,2727,5,66.32
80.56,0.97,2021-11-11T20:02:37Z,2726,5,52.36
66.59,0.94,2021-11-11T14:30:24Z,2725,3,55.49
75.01,0.95,2021-11-11T14:29:19Z,2724,5,53.76
66.47,0.94,2021-11-11T14:28:29Z,2723,5,53.18
79.08,0.96,2021-11-11T14:27:28Z,2722,5,32.95
85.08,0.97,2021-11-11T14:26:54Z,2721,5,51.05
64.12,0.95,2021-11-05T13:20:20Z,2720,5,33.13
72.72,0.96,2021-11-05T13:18:59Z,2719,5,73.93
70.48,0.97,2021-11-05T13:16:48Z,2718,5,56.38
75.83,0.97,2021-11-05T13:15:30Z,2717,5,61.93
59.53,0.96,2021-10-19T21:38:34Z,2716,5,35.72
76.47,0.97,2021-10-19T21:35:14Z,2715,5,67.55
79.72,0.97,2021-10-19T21:34:13Z,2714,4,58.46
80.33,0.96,2021-10-19T21:33:18Z,2713,5,56.23
60.8,0.94,2021-10-07T18:59:21Z,2712,5,33.44
82.07,0.97,2021-10-04T12:51:19Z,2711,4,34.2
78.16,0.96,2021-10-04T12:50:45Z,2710,5,95.09
65.96,0.95,2021-10-04T09:40:00Z,2709,5,53.87
74.88,0.97,2021-10-04T09:39:03Z,2708,4,71.13
77.86,0.98,2021-10-03T12:45:50Z,2707,5,124.58
74.16,0.97,2021-10-03T12:43:58Z,2706,4,49.44
79.14,0.97,2021-10-03T12:43:07Z,2705,4,76.5
77.07,0.98,2021-10-03T12:42:06Z,2704,5,44.96
78.33,0.98,2021-10-03T12:41:19Z,2703,5,101.82
65.07,0.96,2021-10-03T12:33:19Z,2702,4,56.4
68.46,0.96,2021-09-30T21:45:44Z,2701,4,78.73
