wpm,accuracy,time,game_num,racers_num,points
184.73,0.99,2021-06-29T23:56:29Z,2791,3,190.88
158.92,0.97,2021-06-29T23:55:31Z,2790,4,58.27
157.64,0.99,2021-06-29T23:54:58Z,2789,4,170.77
184.9,0.99,2021-06-29T23:54:07Z,2788,2,95.53
143.92,0.97,2021-06-16T00:07:53Z,2787,3,33.58
176.6,1,2021-06-16T00:04:35Z,2786,5,138.33
157.23,0.98,2021-06-16T00:03:55Z,2785,4,107.44
170.48,0.99,2021-06-16T00:02:11Z,2784,5,88.08
154.86,0.99,2021-06-15T23:59:59Z,2783,5,103.24
132.02,0.98,2021-06-05T05:19:06Z,2782,5,121.01
94.92,0.97,2021-06-04T03:26:03Z,2781,5,77.52
110.79,0.98,2021-06-04T03:20:57Z,2780,5,99.71
98.63,0.96,2021-06-04T03:17:55Z,2779,5,59.18
113.27,0.99,2021-06-04T03:17:14Z,2778,5,96.28
115.68,0.99,2021-06-04T03:15:54Z,2777,4,117.61
82.58,0.96,2021-06-04T03:15:07Z,2776,5,63.31
96.5,0.98,2021-06-04T03:13:12Z,2775,4,93.28
126.15,1,2021-06-04T03:03:27Z,2774,5,79.89
87.83,0.98,2021-06-04T03:02:54Z,2773,5,84.9
104.25,0.99,2021-06-04T03:02:02Z,2772,5,64.29
98.32,0.98,2021-06-04T03:01:24Z,2771,5,109.79
109.33,0.99,2021-06-04T03:00:22Z,2770,5,61.95
111.94,0.99,2021-06-04T02:59:41Z,2769,5,69.03
106.98,0.98,2021-06-04T02:59:00Z,2768,5,82.02
91.53,0.97,2021-06-04T02:56:40Z,2767,5,61.02
109.85,0.99,2021-06-04T02:50:30Z,2766,5,76.9
117.16,0.98,2021-06-04T02:49:47Z,2765,5,101.54
101.84,0.98,2021-06-04T02:49:08Z,2764,5,45.83
83.71,0.96,2021-06-04T02:48:38Z,2763,5,65.57
97.15,0.98,2021-06-04T02:47:45Z,2762,4,61.53
110.15,0.98,2021-06-04T02:47:00Z,2761,5,115.65
102.36,0.98,2021-06-04T02:46:11Z,2760,4,107.48
