wpm,accuracy,time,game_num,racers_num,points
118.2,0.97,2021-11-21T19:26:20Z,3050,5,96.53
110.14,0.96,2021-11-21T16:41:27Z,3049,4,58.74
114.14,0.96,2021-11-21T05:11:48Z,3048,5,91.31
108.15,0.97,2021-11-21T01:20:50Z,3047,5,97.33
105.38,0.98,2021-11-21T01:07:32Z,3046,5,72.01
105.08,0.98,2021-11-21T01:06:57Z,3045,3,82.31
96.23,0.96,2021-11-21T01:06:16Z,3044,5,75.38
119.78,0.98,2021-11-21T01:00:19Z,3043,5,123.77
111.83,0.97,2021-11-21T00:46:45Z,3042,5,95.05
110.34,0.98,2021-11-21T00:46:12Z,3041,4,44.13
123.79,0.98,2021-11-20T21:16:05Z,3040,5,125.85
118.36,0.99,2021-11-20T21:11:10Z,3039,5,82.85
112.17,0.98,2021-11-20T21:10:36Z,3038,4,87.87
107.63,0.97,2021-11-20T20:46:41Z,3037,5,71.75
114.96,0.98,2021-11-20T19:12:16Z,3036,5,101.55
107.99,0.97,2021-11-20T18:44:18Z,3035,5,91.79
108.92,0.98,2021-11-20T18:22:36Z,3034,5,74.43
125.52,0.98,2021-11-20T17:51:46Z,3033,5,73.22
117.26,0.96,2021-11-20T17:51:09Z,3032,4,101.63
99.21,0.96,2021-11-20T17:40:21Z,3031,5,69.45
116.25,0.96,2021-11-20T05:45:38Z,3030,4,62
112.22,0.98,2021-11-20T05:42:44Z,3029,5,112.22
116.23,0.98,2021-11-20T05:41:56Z,3028,5,75.55
112.16,0.99,2021-11-20T04:40:38Z,3027,5,99.07
93.24,0.96,2021-11-20T04:38:33Z,3026,5,46.62
98.41,0.95,2021-11-20T04:28:24Z,3025,5,91.85
107.33,0.98,2021-11-20T04:27:35Z,3024,5,53.66
97.71,0.96,2021-11-20T04:15:36Z,3023,4,63.51
95.96,0.96,2021-11-20T04:15:02Z,3022,3,108.76
98.99,0.97,2021-11-20T04:13:56Z,3021,5,69.29
104.27,0.98,2021-11-20T04:13:14Z,3020,5,85.15
110.97,0.97,2021-11-20T04:12:31Z,3019,5,90.63
125.74,0.99,2021-11-20T04:11:46Z,3018,5,77.54
104.23,0.95,2021-11-20T04:11:13Z,3017,5,95.54
99.48,0.95,2021-11-20T04:10:25Z,3016,5,64.66
102.41,0.98,2021-11-20T04:09:45Z,3015,5,95.59
107.43,0.97,2021-11-20T04:09:02Z,3014,5,75.2
99.58,0.96,2021-11-20T04:05:54Z,3013,5,94.6
108.85,0.97,2021-11-20T04:05:14Z,3012,5,85.27
105.4,0.96,2021-11-20T04:04:29Z,3011,5,22.84
113.45,0.98,2021-11-20T03:54:49Z,3010,5,94.54
98.18,0.97,2021-11-20T03:47:57Z,3009,5,55.63
109.53,0.98,2021-11-19T05:46:12Z,3008,4,93.1
97.67,0.97,2021-11-19T03:32:00Z,3007,4,68.37
98.99,0.96,2021-11-19T03:31:20Z,3006,4,155.09
101.01,0.96,2021-11-19T03:29:46Z,3005,5,92.59
106.04,0.95,2021-11-18T03:09:39Z,3004,5,65.39
117.84,0.98,2021-11-18T02:55:34Z,3003,2,108.02
95.85,0.95,2021-11-18T02:52:46Z,3002,5,78.28
118.16,0.97,2021-11-18T02:48:54Z,3001,5,161.48
