wpm,accuracy,time,game_num,racers_num,points
93.81,0.97,2021-11-17T17:08:06Z,3016,5,67.23
97.1,0.98,2021-11-17T03:49:17Z,3015,5,56.64
86.59,0.96,2021-11-17T03:48:04Z,3014,5,102.47
87.19,0.97,2021-11-17T03:47:09Z,3013,5,63.94
98.14,0.97,2021-11-17T03:46:25Z,3012,5,111.22
95.02,0.98,2021-11-17T03:45:32Z,3011,5,96.61
108.04,0.99,2021-11-17T03:44:42Z,3010,5,73.83
102.29,0.99,2021-11-17T03:41:09Z,3009,5,98.88
83.45,0.96,2021-11-17T03:35:40Z,3008,4,51.46
86.08,0.95,2021-11-17T03:34:52Z,3007,5,94.69
98.6,0.97,2021-11-17T03:33:53Z,3006,5,133.11
107.94,0.99,2021-11-17T03:31:59Z,3005,5,55.77
96.17,0.97,2021-11-17T03:27:11Z,3004,2,144.26
106.66,0.98,2021-11-17T03:25:59Z,3003,5,74.66
92.07,0.97,2021-11-17T03:25:19Z,3002,4,55.24
86.61,0.96,2021-11-17T03:24:39Z,3001,3,93.83
96.77,0.98,2021-11-15T08:17:31Z,3000,5,91.94
96.1,0.98,2021-11-15T08:16:42Z,2999,5,78.48
100.58,0.98,2021-11-09T04:35:13Z,2998,5,58.67
91.63,0.98,2021-11-09T04:33:38Z,2997,5,73.31
80.34,0.96,2021-11-09T04:32:08Z,2996,5,89.71
89.27,0.98,2021-11-09T04:30:22Z,2995,5,59.51
107,0.99,2021-11-09T04:29:42Z,2994,5,139.1
98.73,0.98,2021-11-09T04:28:25Z,2993,4,159.61
101.08,0.98,2021-11-09T04:23:40Z,2992,5,72.44
109.09,0.98,2021-11-09T04:22:53Z,2991,5,134.55
95.45,1,2021-11-09T04:19:46Z,2990,5,42.95
91.61,0.97,2021-11-08T02:37:02Z,2989,4,59.55
106.11,0.98,2021-11-08T02:36:20Z,2988,5,54.82
95.78,0.97,2021-11-08T02:35:49Z,2987,5,95.78
99.8,0.98,2021-11-08T02:34:58Z,2986,3,144.71
88.33,0.97,2021-11-08T02:33:47Z,2985,5,55.94
103.16,0.97,2021-11-08T02:33:11Z,2984,5,70.49
103.82,0.98,2021-04-23T07:50:42Z,2983,5,76.13
101.46,0.98,2021-04-23T07:49:34Z,2982,5,67.64
109.65,0.99,2021-04-23T07:48:58Z,2981,5,60.31
112.48,0.99,2021-04-23T07:45:06Z,2980,3,86.24
108.57,0.98,2021-04-23T07:44:04Z,2979,4,63.34
110.03,0.98,2021-04-23T07:37:16Z,2978,5,102.69
112.46,1,2021-04-23T07:34:10Z,2977,4,82.47
100.84,0.97,2021-04-22T08:01:57Z,2976,5,43.7
99.13,0.98,2021-04-22T08:00:43Z,2975,4,59.48
97.21,0.97,2021-04-22T08:00:09Z,2974,5,76.15
115.38,0.99,2021-04-22T07:59:28Z,2973,5,101.92
101.04,0.98,2021-04-22T07:54:17Z,2972,5,95.99
101.33,0.98,2021-04-22T07:53:24Z,2971,4,65.86
93.46,0.97,2021-04-22T07:51:19Z,2970,5,52.96
102.22,0.98,2021-04-22T07:50:08Z,2969,5,81.77
102.51,0.99,2021-04-22T07:49:04Z,2968,5,123.01
105.93,0.96,2021-04-22T07:47:48Z,2967,5,44.14
93.05,0.98,2021-04-21T09:04:01Z,2966,5,55.83
102.04,0.98,2021-04-21T09:03:19Z,2965,4,79.93
105.63,0.97,2021-04-21T09:02:19Z,2964,5,61.62
100.78,0.97,2021-04-21T09:00:18Z,2963,5,97.42
103.91,0.98,2021-04-21T08:59:27Z,2962,5,135.09
107.81,0.98,2021-04-21T08:58:30Z,2961,4,73.67
105.87,0.99,2021-04-21T08:57:58Z,2960,5,59.99
97.84,0.96,2021-04-21T08:56:02Z,2959,5,68.49
101.16,0.98,2021-04-21T08:53:32Z,2958,5,67.44
111.57,1,2021-04-21T08:52:58Z,2957,5,39.05
100.47,0.99,2021-04-21T08:46:30Z,2956,5,56.93
100.68,0.97,2021-04-21T08:45:27Z,2955,5,85.58
110.02,0.98,2021-04-21T08:44:45Z,2954,5,67.85
99.9,0.97,2021-04-21T08:42:33Z,2953,5,71.6
88.13,0.97,2021-04-21T06:48:25Z,2952,5,83.73
108.54,0.99,2021-04-21T06:47:32Z,2951,5,77.79
97.24,0.97,2021-04-21T06:41:19Z,2950,5,92.38
102.22,0.97,2021-04-21T06:31:54Z,2949,5,71.56
100.32,0.97,2021-04-19T07:03:47Z,2948,5,73.57
103.4,0.98,2021-04-19T07:00:29Z,2947,4,60.32
106.75,0.99,2021-04-19T06:59:58Z,2946,4,60.49
88.18,0.96,2021-04-19T06:58:37Z,2945,4,38.21
98.34,0.98,2021-04-19T06:52:49Z,2944,5,122.93
99.38,0.97,2021-04-19T06:48:08Z,2943,5,71.22
104.01,0.98,2021-04-19T06:46:10Z,2942,4,128.28
100.38,0.98,2021-04-19T06:45:16Z,2941,5,53.54
104.63,0.98,2021-04-19T06:42:52Z,2940,5,83.7
101.64,0.98,2021-04-19T02:53:41Z,2939,5,111.8
103.12,0.97,2021-04-19T02:51:53Z,2938,4,99.68
97.08,0.98,2021-04-19T02:51:08Z,2937,4,90.6
98.36,0.97,2021-04-19T02:48:10Z,2936,5,60.66
107.81,0.97,2021-04-16T10:12:37Z,2935,5,98.83
93.68,0.97,2021-04-16T10:11:51Z,2934,5,96.8
93.33,0.96,2021-04-16T10:10:51Z,2933,5,112
88.17,0.97,2021-04-16T10:09:50Z,2932,5,117.56
95.14,0.98,2021-04-16T10:08:16Z,2931,5,31.71
122.78,0.99,2021-04-16T10:06:55Z,2930,5,83.9
97.61,0.98,2021-04-16T10:06:22Z,2929,5,97.61
80.57,0.96,2021-04-16T10:04:41Z,2928,5,48.34
97.63,0.97,2021-04-16T10:03:16Z,2927,4,107.39
95.74,0.97,2021-04-16T10:02:18Z,2926,4,94.14
74.93,0.97,2021-04-16T10:00:09Z,2925,4,49.95
97.34,0.98,2021-04-16T09:58:28Z,2924,3,90.85
73.74,0.97,2021-04-16T09:56:31Z,2923,5,52.85
81.98,0.96,2021-04-16T09:55:36Z,2922,5,124.33
84.29,0.96,2021-04-15T09:26:33Z,2921,5,57.6
102.72,0.98,2021-04-15T09:25:49Z,2920,5,71.9
85.66,0.96,2021-04-15T09:25:13Z,2919,5,91.37
111.29,0.98,2021-04-15T09:24:11Z,2918,5,77.9
106.15,0.97,2021-04-15T09:23:33Z,2917,5,70.76
95.47,0.97,2021-04-15T09:22:57Z,2916,5,63.64
94.85,0.98,2021-04-15T09:22:19Z,2915,4,140.69
91.56,0.96,2021-04-15T09:21:03Z,2914,4,80.87
84.94,0.97,2021-04-15T09:17:11Z,2913,5,67.95
96.15,0.98,2021-04-15T07:10:16Z,2912,5,81.72
87.98,0.97,2021-04-15T04:05:13Z,2911,5,55.72
96.83,0.96,2021-04-15T04:04:30Z,2910,5,45.19
111.97,0.99,2021-04-15T04:03:57Z,2909,5,61.58
88.11,0.97,2021-04-15T04:03:11Z,2908,5,64.61
90.08,0.97,2021-04-15T04:02:26Z,2907,5,42.04
81.58,0.97,2021-04-15T03:53:30Z,2906,5,63.91
92.57,0.96,2021-04-15T03:52:47Z,2905,5,86.4
70.04,0.95,2021-04-15T03:51:55Z,2904,5,64.2
91.89,0.97,2021-04-15T03:50:58Z,2903,5,39.82
96.8,0.98,2021-04-14T02:09:15Z,2902,5,58.08
83.43,0.96,2021-04-14T02:08:06Z,2901,4,51.45
99.94,0.98,2021-04-14T02:06:35Z,2900,5,123.26
85.92,0.98,2021-04-14T02:05:35Z,2899,5,45.82
84.19,0.97,2021-04-14T02:04:56Z,2898,4,65.95
90.68,0.97,2021-04-14T02:04:08Z,2897,4,69.52
