wpm,accuracy,time,game_num,racers_num,points
105.76,0.98,2021-04-14T17:58:53Z,2584,5,119.87
95.8,0.96,2021-04-14T17:57:23Z,2583,5,97.39
108.73,0.96,2021-04-13T19:29:30Z,2582,5,105.11
106.73,0.99,2021-04-13T19:28:46Z,2581,4,78.27
92.35,0.96,2021-04-13T19:28:07Z,2580,5,47.71
105.65,0.99,2021-04-13T19:24:26Z,2579,5,91.56
77.48,0.95,2021-04-13T19:23:38Z,2578,5,21.95
106.15,0.97,2021-04-13T19:23:07Z,2577,5,37.15
101.93,0.98,2021-04-13T19:21:19Z,2576,2,147.79
107.05,0.98,2021-04-10T16:47:42Z,2575,5,160.57
108.31,0.99,2021-04-07T18:28:27Z,2574,5,86.65
105.79,0.99,2021-03-27T16:50:12Z,2573,4,116.37
112.68,0.99,2021-03-27T16:48:47Z,2572,5,159.64
104.27,0.98,2021-03-27T16:47:40Z,2571,5,86.89
105.27,0.98,2021-03-27T16:46:53Z,2570,5,200.02
117.69,0.98,2021-03-27T16:45:20Z,2569,4,107.89
102.25,0.98,2021-03-27T16:43:41Z,2568,3,71.57
110.77,0.98,2021-03-27T16:43:07Z,2567,5,134.77
91.56,0.96,2021-03-27T16:42:14Z,2566,5,47.31
123.51,0.99,2021-03-27T16:41:41Z,2565,5,90.58
109.31,0.99,2021-03-27T16:40:55Z,2564,3,76.52
104.34,0.99,2021-03-27T16:40:16Z,2563,4,43.48
102.7,0.98,2021-03-24T18:51:58Z,2562,4,111.26
110.19,0.98,2021-03-24T18:50:55Z,2561,5,69.79
97.11,0.98,2021-03-10T19:09:29Z,2560,4,72.83
103.5,0.98,2021-03-10T19:08:47Z,2559,4,70.72
100.06,0.98,2021-03-10T19:08:14Z,2558,5,76.71
96.61,0.98,2021-03-10T19:07:33Z,2557,4,32.2
128.51,1,2021-03-10T19:07:03Z,2556,5,27.84
111.68,1,2021-02-27T17:42:47Z,2555,5,76.31
84.13,0.98,2021-02-27T17:42:12Z,2554,5,60.3
123.94,0.99,2021-02-27T17:41:33Z,2553,5,76.43
105.27,0.98,2021-02-27T17:41:06Z,2552,5,70.18
106.07,0.99,2021-02-27T17:40:31Z,2551,4,114.91
114.97,0.98,2021-02-20T17:46:28Z,2550,4,113.05
105.82,0.99,2021-02-20T17:45:41Z,2549,5,79.36
103.61,1,2021-02-17T18:59:45Z,2548,5,43.17
108.26,0.99,2021-02-17T18:59:14Z,2547,3,77.59
98.12,0.99,2021-02-17T18:58:38Z,2546,5,39.25
104.06,0.98,2021-02-17T18:57:01Z,2545,5,81.51
109.86,0.99,2021-02-17T18:55:29Z,2544,5,71.41
103.31,0.99,2021-02-10T19:13:09Z,2543,5,79.21
114.94,0.98,2021-01-30T17:40:42Z,2542,5,212.64
72.82,0.97,2021-01-23T17:41:47Z,2541,5,106.81
109.54,0.99,2021-01-23T17:40:22Z,2540,5,93.11
109.65,0.98,2021-01-20T19:01:17Z,2539,4,42.03
115.94,0.98,2021-01-20T19:00:56Z,2538,5,96.62
97.23,0.98,2021-01-20T19:00:12Z,2537,5,95.61
102.41,0.97,2021-01-16T17:40:44Z,2536,5,58.03
116.47,0.99,2021-01-16T17:40:16Z,2535,5,128.12
109.97,1,2021-01-13T18:36:35Z,2534,5,45.82
95.78,0.97,2021-01-13T18:35:58Z,2533,4,183.59
113.26,1,2021-01-13T18:31:04Z,2532,5,103.82
92.52,0.98,2021-01-13T18:30:18Z,2531,5,30.84
117.97,1,2021-01-13T18:29:36Z,2530,5,102.24
100.82,0.98,2021-01-13T18:27:54Z,2529,5,92.42
106.37,0.98,2021-01-13T18:27:05Z,2528,3,95.73
116.43,0.99,2021-01-13T18:25:52Z,2527,4,157.17
125.58,0.99,2021-01-13T18:24:58Z,2526,5,98.37
102.9,0.99,2021-01-06T18:59:01Z,2525,5,56.6
121.39,0.99,2021-01-06T14:45:44Z,2524,4,121.39
104.81,0.98,2021-01-06T14:45:00Z,2523,5,55.9
112.84,0.98,2020-12-27T18:04:18Z,2522,5,73.35
118.31,0.99,2020-12-27T18:03:44Z,2521,4,122.26
114.89,1,2020-12-27T18:00:00Z,2520,5,97.66
125.66,0.99,2020-12-26T17:25:43Z,2519,5,87.96
108.62,0.98,2020-12-26T17:25:15Z,2518,5,105
102.64,0.98,2020-12-26T17:24:32Z,2517,4,53.03
116.84,0.99,2020-12-26T17:24:03Z,2516,4,83.74
113.88,0.99,2020-12-26T17:23:14Z,2515,5,142.35
110.33,0.99,2020-12-26T17:22:18Z,2514,5,90.11
113.28,0.98,2020-12-26T17:21:37Z,2513,5,86.85
107.18,0.98,2020-12-26T17:21:02Z,2512,5,108.96
120.2,1,2020-12-26T17:20:12Z,2511,5,78.13
109.72,0.98,2020-12-26T17:19:15Z,2510,4,98.75
84.36,0.95,2020-12-26T17:18:33Z,2509,5,57.65
105.27,0.98,2020-12-26T17:17:46Z,2508,4,112.29
106.47,0.99,2020-12-26T17:16:39Z,2507,5,76.3
101.83,0.97,2020-12-26T17:16:00Z,2506,4,76.37
121.7,0.99,2020-12-26T17:15:11Z,2505,5,95.33
121.97,0.99,2020-12-19T17:15:59Z,2504,5,67.08
86.52,0.96,2020-12-19T17:15:29Z,2503,4,51.91
105.02,0.99,2020-12-19T17:12:03Z,2502,5,110.27
110.31,0.98,2020-12-10T19:33:47Z,2501,5,139.72
89.68,0.96,2020-11-29T18:52:58Z,2500,5,110.6
85.44,0.97,2020-11-29T18:51:47Z,2499,5,34.17
115.28,0.98,2020-11-29T18:51:15Z,2498,5,51.87
101.46,0.97,2020-11-29T18:50:49Z,2497,5,99.77
108.94,0.99,2020-11-29T18:45:57Z,2496,4,147.07
103.49,0.98,2020-11-29T18:44:04Z,2495,4,127.63
64.7,0.96,2020-11-29T18:43:07Z,2494,5,49.6
92.48,0.97,2020-11-26T17:07:21Z,2493,5,66.28
89.35,0.98,2020-11-26T17:06:31Z,2492,5,93.82
115.56,0.98,2020-11-26T17:05:20Z,2491,4,80.89
100.48,0.97,2020-11-13T14:46:36Z,2490,4,107.18
116.21,0.99,2020-11-13T14:45:44Z,2489,5,185.94
99.88,0.97,2020-11-13T14:44:41Z,2488,5,69.91
94.35,0.98,2020-11-13T14:44:03Z,2487,5,62.9
99.6,0.97,2020-11-13T14:43:27Z,2486,4,79.68
107.96,0.99,2020-11-08T18:38:51Z,2485,4,120.55
97.14,0.97,2020-11-08T18:34:28Z,2484,5,90.66
120,0.99,2020-11-05T19:35:17Z,2483,4,206
101.45,0.98,2020-10-24T16:52:36Z,2482,5,74.39
113.27,0.99,2020-10-24T16:51:53Z,2481,4,83.06
98.58,0.97,2020-10-24T16:51:07Z,2480,2,151.16
100.49,0.98,2020-10-14T14:56:43Z,2479,5,83.74
103.96,0.98,2020-10-09T18:36:38Z,2478,5,126.48
96.38,0.97,2020-10-09T18:29:51Z,2477,4,67.46
108.26,0.99,2020-10-04T18:00:31Z,2476,5,104.65
102.98,0.98,2020-10-04T17:56:45Z,2475,5,127.01
103.59,0.97,2020-10-04T17:55:25Z,2474,4,103.59
91.57,0.99,2020-10-04T17:54:28Z,2473,4,44.26
104.24,0.98,2020-10-04T17:53:40Z,2472,3,130.3
104.43,0.98,2020-10-03T16:53:39Z,2471,4,149.69
118.83,0.99,2020-10-03T16:28:03Z,2470,5,81.2
109.43,0.99,2020-10-03T16:26:37Z,2469,3,266.28
106.79,0.98,2020-10-03T16:24:56Z,2468,3,97.89
110.94,0.98,2020-09-13T18:07:42Z,2467,5,96.14
101.85,0.98,2020-09-13T18:07:01Z,2466,5,88.27
67.67,0.97,2020-09-13T18:05:51Z,2465,5,54.14
102.02,1,2020-09-12T17:03:44Z,2464,5,81.62
118.16,0.99,2020-09-12T17:03:03Z,2463,5,98.47
117.3,0.99,2020-09-12T17:02:21Z,2462,5,62.56
105.94,0.98,2020-09-12T17:01:32Z,2461,5,86.52
101.72,0.98,2020-09-12T17:00:49Z,2460,4,77.98
111.67,0.99,2020-09-12T17:00:09Z,2459,4,107.95
100.66,0.99,2020-09-12T16:59:27Z,2458,4,82.21
108.63,0.99,2020-08-23T18:00:32Z,2457,5,83.29
120.22,0.99,2020-08-23T17:58:08Z,2456,5,86.16
108.43,0.98,2020-08-23T17:56:56Z,2455,5,112.04
108.5,0.99,2020-08-18T21:43:14Z,2454,5,90.42
86.83,0.99,2020-06-21T17:35:13Z,2453,5,112.88
93.57,0.97,2020-06-21T17:31:20Z,2452,5,74.86
92.77,0.99,2020-06-16T18:33:14Z,2451,5,80.4
124.19,0.99,2020-06-16T18:32:25Z,2450,5,99.35
102.02,0.98,2020-06-14T17:21:41Z,2449,4,113.92
106.03,0.98,2020-06-14T17:12:46Z,2448,4,169.64
89.85,0.98,2020-05-24T18:14:54Z,2447,5,73.38
116.92,0.98,2020-05-06T11:19:38Z,2446,5,87.69
114.22,0.99,2020-05-03T17:59:55Z,2445,4,108.51
103.12,0.98,2020-05-03T17:59:05Z,2444,3,104.84
90.07,0.99,2020-05-03T17:58:14Z,2443,5,36.03
87.52,0.99,2020-05-03T17:57:46Z,2442,4,45.22
105.24,0.97,2020-05-03T17:57:06Z,2441,5,64.9
110.1,0.98,2020-04-26T14:29:46Z,2440,5,216.53
122.01,0.99,2020-04-26T14:28:25Z,2439,5,77.27
90.58,0.97,2020-04-14T12:16:45Z,2438,5,110.21
