wpm,accuracy,time,game_num,racers_num,points
56.63,0.95,2021-10-23T12:58:08Z,2829,5,33.98
65.19,0.96,2021-10-23T12:57:06Z,2828,5,70.63
69.76,0.96,2021-10-23T12:55:50Z,2827,5,45.34
61.07,0.97,2021-10-23T12:55:01Z,2826,4,42.75
64.78,0.97,2021-10-23T12:53:53Z,2825,5,39.95
62.58,0.95,2021-10-23T12:53:01Z,2824,5,59.46
73.32,0.98,2021-10-23T12:51:35Z,2823,5,78.21
65.39,0.97,2021-10-23T12:50:29Z,2822,5,69.75
60.68,0.94,2021-10-22T18:00:45Z,2821,4,33.38
63.08,0.95,2021-10-22T17:59:54Z,2820,5,64.13
56.09,0.95,2021-10-22T17:58:32Z,2819,4,39.26
64.17,0.96,2021-10-22T17:57:37Z,2818,5,44.92
62.65,0.94,2021-10-18T19:58:32Z,2817,5,29.24
64.05,0.97,2021-10-18T19:57:47Z,2816,5,49.1
65.94,0.96,2021-10-18T19:56:44Z,2815,5,46.16
73.74,0.98,2021-10-18T19:55:55Z,2814,5,49.16
78.41,0.97,2021-10-18T19:54:59Z,2813,3,67.95
64.24,0.96,2021-10-18T19:54:03Z,2812,5,17.13
69.45,0.97,2021-10-18T19:53:32Z,2811,4,69.45
66.15,0.97,2021-10-18T19:52:25Z,2810,5,67.26
63.63,0.97,2021-10-18T19:51:05Z,2809,5,48.78
62.75,0.97,2021-10-14T16:16:44Z,2808,5,38.69
53.37,0.96,2021-10-14T16:15:54Z,2807,4,57.81
56.85,0.96,2021-10-14T16:14:10Z,2806,5,56.85
64.33,0.95,2021-10-09T15:22:42Z,2805,5,48.25
62.23,0.96,2021-10-09T15:21:40Z,2804,5,30.08
64,0.96,2021-10-09T15:20:56Z,2803,5,32
69.75,0.97,2021-10-09T15:20:13Z,2802,5,46.5
60.25,0.95,2021-10-09T15:19:22Z,2801,5,39.16
61.22,0.95,2021-10-09T15:18:30Z,2800,5,95.91
49.17,0.93,2021-10-09T15:16:50Z,2799,5,45.89
68.77,0.96,2021-10-09T15:15:29Z,2798,5,73.36
64.47,0.97,2021-10-05T17:14:18Z,2797,5,50.5
57.09,0.95,2021-10-05T17:13:17Z,2796,3,74.22
68.03,0.95,2021-10-05T17:11:32Z,2795,5,43.08
69.39,0.97,2021-10-05T17:10:38Z,2794,5,49.73
73.54,0.98,2021-10-05T17:09:40Z,2793,5,35.54
57.15,0.96,2021-10-05T17:08:55Z,2792,5,56.19
